year,month,day,chlorophyll_0_100
1999,1,13,30.758555
1999,2,10,80.1715
1999,2,16,104.994
1999,3,31,160.26106
1999,4,9,18.695
1999,4,18,52.45
1999,5,5,32.98483
1999,5,19,46.429795
1999,6,10,38.20127
1999,6,27,44.2878659090909
1999,7,5,36.472
1999,7,17,55.2035
1999,7,31,143.58236
1999,8,13,77.375195
1999,8,27,86.52985
1999,9,10,35.36453
1999,10,23,60.314
1999,11,5,80.638
1999,11,12,131.6795
1999,11,24,73.554045
1999,12,10,38.169945
1999,12,23,73.272085
2000,1,10,22.1605
2000,1,31,28.845
2000,2,15,45.458835
2000,3,2,35.90465
2000,3,17,29.01645
2000,4,6,239.777
2000,4,12,222.2105
2000,4,23,117.73
2000,5,2,19.57915
2000,5,8,52.5315
2000,5,20,50.40635
2000,6,8,25.077625
2000,6,14,34.8565
2000,6,29,47.74595
2000,7,15,46.4765
2000,7,29,72.17269
2000,8,22,40.930475
2000,9,12,48.292525
2000,9,30,55.89
2000,10,16,41.6595
2000,10,25,64.1035
2000,11,22,41.966355
2000,12,8,40.254875
2001,1,5,22.86735
2001,1,20,26.84745
2001,2,13,40.27365
2001,2,27,16.002125
2001,3,14,100.722
2001,3,30,64.07097
2001,4,10,278.35282
2001,5,1,130.5455
2001,5,6,218.4785
2001,5,16,23.587
2001,5,25,33.836
2001,5,30,67.892755
2001,6,15,32.21555
2001,7,3,42.323135
2001,7,16,22.19905
2001,7,30,45.59491
2001,8,15,30.08799
2001,8,30,51.58295
2001,9,18,46.5187
2001,10,12,45.290205
2001,10,23,34.369155
2001,10,28,24.50565
2001,11,7,19.93071375
2001,11,23,31.86522
2001,12,8,34.38479
2002,1,11,27.550775
2002,3,1,30.063145
2002,3,13,209.576705
2002,3,18,33.77425
2002,3,19,31.02119
2002,3,29,356.87966
2002,4,12,66.372065
2002,4,18,78.3455
2002,5,4,4.68317
2002,5,22,24.41416
2002,6,5,31.486555
2002,6,23,39.3262532115869
2002,7,2,18.5625
2002,7,16,15.7555
2002,7,30,32.607
2002,8,13,32.627385
2002,8,28,43.570805
2002,9,28,40.110085
2002,10,3,37.535
2002,10,18,22.2795
2002,10,22,32.38
2002,10,31,58.777
2002,11,21,51.692865
2002,12,12,30.39444
2002,12,12,35.9249150010953
2003,1,15,23.7755
2003,2,17,10.527235
2003,3,4,33.43775
2003,3,5,27.2654936781609
2003,3,20,213.481185
2003,4,12,643.045
2003,4,18,663.625
2003,5,5,39.56059
2003,5,16,15.6199568591339
2003,5,29,18.175
2003,6,26,25.865035
2003,7,13,69.692886
2003,7,18,28.64284
2003,7,31,33.5285
2003,8,13,39.1635
2003,9,3,73.07
2003,9,16,45.39
2003,10,19,46.794455
2003,10,20,48.6048216524823
2003,10,20,145.448725
2003,10,20,37.70034
2003,10,20,47.36878
2003,10,31,53.07
2003,11,12,47.85
2003,12,22,25.7969018502203
2004,1,13,23.3625
2004,2,10,24.5125
2004,2,17,14.8255
2004,3,19,30.0275
2004,4,6,659.7925
2004,4,18,86.4884802133399
2004,5,8,34.0035000813197
2004,5,16,15.870259
2004,5,28,22.509
2004,6,10,20.0953484848485
2004,7,5,47.708
2004,7,6,58.3636440677966
2004,7,18,76.5075
2004,7,30,58.19
2004,8,18,42.764
2004,9,15,32.5095
2004,10,19,28.2865
2004,10,29,30.1435
2004,11,23,38.404
2004,12,16,20.944
2005,2,19,28.0225
2005,3,4,27.9425
2005,3,16,32.9895
2005,4,1,640.897207548145
2005,4,10,191.876132256228
2005,4,27,8.289
2005,5,31,30.6555
2005,6,17,26.4955517037037
2005,7,1,34.699
2005,7,13,26.909
2005,7,27,33.2345
2005,8,17,32.966
2005,10,5,20.602
2005,10,17,34.2215
2005,10,28,47.4941538461538
2006,1,25,17.9365
2006,2,18,22.319
2006,3,3,27.113
2006,3,15,21.5675
2006,3,31,253.6835
2006,4,12,211.225
2006,4,21,36.7122272727273
2006,5,6,20.01525
2006,5,30,49.9295
2006,6,8,36.412285
2006,7,6,36.7935
2006,7,20,36.3635
2006,8,1,7.0255
2006,8,25,28.4925
2006,10,5,26.0091017699758
2006,10,13,2.07417932235294
2006,11,12,22.7955
2006,12,13,26.945
2007,1,15,24.0275
2007,2,20,23.9725
2007,3,4,30.698
2007,3,18,77.66
2007,4,4,728.274
2007,4,7,937.587
2007,4,22,139.2025
2007,5,7,30.6535
2007,5,27,31.7140238095238
2007,6,20,20.7125
2007,7,7,27.8615
2007,7,19,22.79
2007,8,2,68.9295
2007,8,2,65.797
2007,8,9,40.016
2007,8,29,21.345
2007,9,11,24.383
2007,9,29,34.8774347826087
2007,10,11,19.6585
2007,10,18,29.2059285714286
2007,11,6,29.9165
2007,12,11,19.552
2008,1,4,20.1245
2008,2,5,33.29
2008,3,3,20.9975
2008,3,19,49.9115
2008,3,22,46.1945
2008,4,15,234.327958525858
2008,4,19,88.1218489570685
2008,5,11,9.4142
2008,6,3,47.1807
2008,6,19,24.13
2008,7,6,26.518
2008,7,6,20.6816228070175
2008,7,18,41.866
2008,8,1,33.506
2008,9,28,34.354
2008,10,6,34.224
2008,10,9,21.7074504761905
2008,10,20,28.328015741985
2008,11,13,30.3575
2009,1,27,26.6085
2009,2,11,20.339
2009,2,21,20.2775
2009,3,17,49.866
2009,3,27,661.2075
2009,4,10,466.001335615385
2009,4,24,87.0097403307313
2009,4,29,47.1248326880364
2009,6,4,23.6175
2009,6,16,34.819
2009,7,1,39.8375
2009,7,2,34.56
2009,7,13,35.632
2009,7,28,16.982
2009,8,25,28.193
2009,9,27,31.430415
2009,10,5,35.6560600116505
2009,10,19,35.2502048076923
2009,11,9,70.4055
2010,1,6,31.5185
2010,2,16,23.1805
2010,2,23,29.126
2010,3,9,294.1235
2010,3,21,94.1925
2010,4,10,26.10836
2010,4,25,7.84851
2010,5,11,18.5465
2010,6,23,24.8765
2010,7,2,24.94
2010,7,19,65.9315
2010,8,1,34.9615
2010,8,31,6.011
2010,10,13,33.731
2010,11,7,39.24875
2010,11,22,23.068
2011,1,17,35.736
2011,2,5,34.9945
2011,2,18,22.546
2011,3,7,26.3275
2011,3,31,27.596
2011,4,7,38.5569072603457
2011,4,23,125.176140908199
2011,5,6,27.01
2011,5,28,30.6856
2011,6,16,69.5915
2011,7,5,39.2875
2011,7,23,26.505
2011,8,8,17.5025
2011,8,31,29.0675
2011,9,24,34.4378310375747
2011,9,30,36.9899753487817
2011,10,14,39.935307127733
2011,11,7,55.3955
2011,11,22,56.395
2011,12,6,42.175
2012,1,23,46.0083
2012,2,11,62.233471
2012,2,19,51.4516757142857
2012,3,5,25.84675
2012,3,18,103.982907142857
2012,3,29,395.99555
2012,4,18,19.71595
2012,5,2,33.559
2012,5,15,30.92635
2012,6,1,29.29605
2012,6,18,47.7991
2012,7,4,30.89385
2012,7,21,27.06745
2012,8,5,34.78545
2012,8,21,36.39675
2012,9,25,30.6270172727273
2012,10,3,29.434555
2012,10,15,40.50854
2012,11,19,38.67685
2012,12,13,62.5539
2013,1,9,31.9414
2013,1,29,23.8492
2013,2,15,18.623
2013,2,26,20.217
2013,3,19,50.4463461538462
2013,4,5,62.0906642857143
2013,4,12,151.0604
2013,4,25,58.33775
2013,4,26,92.51545
2013,4,26,105.30025
2013,5,7,11.4316607134196
2013,5,21,26.0016
2013,5,28,24.5279163066339
2013,6,4,16.29225
2013,6,16,27.6494
2013,6,27,39.9448592592593
2013,7,13,24.1480596153846
2013,7,23,21.6052134615385
2013,8,4,46.6828846153846
2013,8,21,54.65785
2013,9,22,73.0187
2013,10,9,41.21145
2013,10,23,30.8456
2013,11,22,38.5205
2013,12,5,30.7341
2014,1,10,23.0667168641906
2014,2,3,25.3822771625342
2014,2,18,16.3867880878257
2014,3,3,29.9071458968034
2014,3,22,166.429076339711
2014,4,5,908.013405980808
2014,4,13,308.945450252744
2014,4,23,62.0508255595017
2014,5,2,28.0473430814786
2014,5,7,16.7950670577
2014,5,24,15.6106792428543
2014,6,17,32.7126272394219
2014,6,28,58.0470619914208
2014,7,22,40.2887347123576
2014,8,3,41.9645504661584
2014,8,6,39.964275791162
2014,8,16,39.6145988929337
2014,9,2,29.4128223567509
2014,9,20,20.5478334616524
2014,9,28,26.8727114282828
2014,10,8,22.8251711320426
2014,11,6,36.36445334375
2014,12,5,34.7195506540637
2014,12,16,59.6831152946716
2015,1,30,25.0451837115538
2015,2,18,79.6368798079757
2015,3,27,29.7104978282104
2015,4,13,356.516056247414
2015,4,18,544.374869491234
2015,4,22,359.752055711539
2015,4,27,296.433883822594
2015,5,5,141.790696519963
2015,5,19,14.9584875808057
2015,6,5,30.8858466526357
2015,6,25,34.8829279629454
2015,7,6,49.3096838726603
2015,8,4,29.7266381559748
2015,8,17,33.7108196868452
2015,9,10,36.543110080893
2015,9,20,25.5409812503705
2015,10,4,35.1890473282148
2015,10,11,40.3533467980327
2015,10,28,41.2198806117647
2015,11,19,34.2318847957697
2015,12,8,29.4808881018898
2015,12,17,58.4361836419531
2016,1,8,46.7232600873815
2016,2,3,22.7365013146032
2016,2,23,29.7471110968703
2016,3,11,53.0753774835391
2016,3,14,44.4967578480497
2016,3,25,61.6703823576079
2016,4,10,154.606998131271
2016,4,25,15.4133985203518
2016,5,13,26.3110357267526
2016,5,24,15.992542518363
2016,6,16,23.995884778773
2016,6,28,40.9335874640251
2016,6,28,31.9469652421915
2016,7,16,58.449369416596
2016,8,3,28.3479795829736
2016,8,15,31.4292226506896
2016,9,16,26.1328965164331
2016,10,6,22.4103608317433
2016,11,3,43.1314457158604
2016,11,25,59.6958095776861
2016,12,20,21.6944656549686
2017,1,16,18.4541425733227
2017,1,31,20.8654433406817
2017,3,2,23.1992455627157
2017,3,8,26.1721711089628
2017,3,30,345.876667745338
2017,4,10,356.795610160624
2017,4,23,58.5915519141956
2017,5,3,17.6221518795694
2017,5,23,20.6235905483665
2017,6,8,24.6182977763636
2017,6,28,20.8308059358007
2017,7,19,50.2149904230712
2017,7,29,33.9592990256334
2017,8,29,49.1888733560856
2017,10,3,23.6028387845155
2017,11,25,35.223994903507
2017,12,16,21.8847925077697
2018,2,7,16.9346673477718
2018,2,23,30.4425657543227
2018,3,20,136.875571009622
2018,4,3,299.621304249138
2018,4,13,394.556913
2018,5,1,10.2619324354057
2018,5,18,25.0160359995922
2018,5,21,54.8851736469783
2018,6,7,28.5476190001404
2018,6,28,28.0678015714286
2018,7,14,51.9483990025812
2018,7,28,40.0964974244337
2018,8,28,35.7783524164277
2018,9,15,27.6940629619327
2018,9,23,34.9732325341168
2018,10,5,32.8758705978981
2018,10,30,25.4462254146035
2018,11,19,27.0617182099287
2018,12,6,13.2100925052568
2018,12,21,16.6990021062055
