year,area_name,density_gradient_0_50,temperature_at_sea_floor,cold_intermediate_layer_volume,minimum_temperature_in_cold_intermediate_layer,area
1948,Scotion Shelf,-0.00139,NA,NA,NA,Scotion Shelf
1949,Scotion Shelf,-0.00968,NA,NA,NA,Scotion Shelf
1950,Scotion Shelf,-0.01883,NA,NA,NA,Scotion Shelf
1951,Scotion Shelf,-0.00092,NA,NA,NA,Scotion Shelf
1952,Scotion Shelf,0.00155,NA,NA,NA,Scotion Shelf
1953,Scotion Shelf,-0.00313,NA,NA,NA,Scotion Shelf
1954,Scotion Shelf,-0.0081,NA,NA,NA,Scotion Shelf
1955,Scotion Shelf,0.00138,NA,NA,NA,Scotion Shelf
1956,Scotion Shelf,-0.0107,NA,NA,NA,Scotion Shelf
1957,Scotion Shelf,0.00166,NA,NA,NA,Scotion Shelf
1958,Scotion Shelf,-0.01261,NA,NA,NA,Scotion Shelf
1959,Scotion Shelf,-0.0045,NA,NA,NA,Scotion Shelf
1960,Scotion Shelf,-0.00675,NA,NA,NA,Scotion Shelf
1961,Scotion Shelf,-0.00554,NA,NA,NA,Scotion Shelf
1962,Scotion Shelf,-0.00914,NA,NA,NA,Scotion Shelf
1963,Scotion Shelf,-0.00468,NA,NA,NA,Scotion Shelf
1964,Scotion Shelf,-0.0063,NA,NA,NA,Scotion Shelf
1965,Scotion Shelf,-0.00599,NA,NA,NA,Scotion Shelf
1966,Scotion Shelf,-0.00485,NA,NA,NA,Scotion Shelf
1967,Scotion Shelf,-0.00387,NA,NA,NA,Scotion Shelf
1968,Scotion Shelf,-0.00841,NA,NA,NA,Scotion Shelf
1969,Scotion Shelf,-0.00674,NA,NA,NA,Scotion Shelf
1970,Scotion Shelf,-0.00289,NA,NA,NA,Scotion Shelf
1971,Scotion Shelf,-0.00294,NA,NA,NA,Scotion Shelf
1972,Scotion Shelf,-0.00578,NA,NA,NA,Scotion Shelf
1973,Scotion Shelf,-0.00339,NA,NA,NA,Scotion Shelf
1974,Scotion Shelf,-0.01529,NA,NA,NA,Scotion Shelf
1975,Scotion Shelf,-0.00859,NA,NA,NA,Scotion Shelf
1976,Scotion Shelf,-0.00662,NA,NA,NA,Scotion Shelf
1977,Scotion Shelf,-0.00272,NA,NA,NA,Scotion Shelf
1978,Scotion Shelf,0.00044,NA,NA,NA,Scotion Shelf
1979,Scotion Shelf,-0.00531,NA,NA,NA,Scotion Shelf
1980,Scotion Shelf,-0.00796,NA,NA,NA,Scotion Shelf
1981,Scotion Shelf,-0.0014,NA,NA,NA,Scotion Shelf
1982,Scotion Shelf,-0.00486,NA,NA,NA,Scotion Shelf
1983,Scotion Shelf,0.00265,NA,NA,NA,Scotion Shelf
1984,Scotion Shelf,-0.00276,NA,NA,NA,Scotion Shelf
1985,Scotion Shelf,-0.01193,NA,NA,NA,Scotion Shelf
1986,Scotion Shelf,-0.00847,NA,NA,NA,Scotion Shelf
1987,Scotion Shelf,-0.00121,NA,NA,NA,Scotion Shelf
1988,Scotion Shelf,-0.00017,NA,NA,NA,Scotion Shelf
1989,Scotion Shelf,-0.00493,NA,NA,NA,Scotion Shelf
1990,Scotion Shelf,-0.00486,NA,NA,NA,Scotion Shelf
1991,Scotion Shelf,0.00107,NA,NA,NA,Scotion Shelf
1992,Scotion Shelf,-0.00285,NA,NA,NA,Scotion Shelf
1993,Scotion Shelf,-0.00067,NA,NA,NA,Scotion Shelf
1994,Scotion Shelf,0.0065,NA,NA,NA,Scotion Shelf
1995,Scotion Shelf,-2e-05,NA,NA,NA,Scotion Shelf
1996,Scotion Shelf,-0.0013,NA,NA,NA,Scotion Shelf
1997,Scotion Shelf,-0.00037,NA,NA,NA,Scotion Shelf
1998,Scotion Shelf,0.01015,NA,NA,NA,Scotion Shelf
1999,Scotion Shelf,0.00394,NA,NA,NA,Scotion Shelf
2000,Scotion Shelf,-0.00014,NA,NA,NA,Scotion Shelf
2001,Scotion Shelf,-0.00224,NA,NA,NA,Scotion Shelf
