event_id,value,variable,latitude,longitude,year,month,day,station,station_name,sea_surface_height
181C04004_2004004088,14.8255,Chlorophyll_A_0_100,44.25956,-63.32316,2004,2,17,HL2,NA,NA
181C07685_2007685000,23.9725,Chlorophyll_A_0_100,44.26271,-63.31394,2007,2,20,HL2,NA,NA
181C07685_2007685094,30.698,Chlorophyll_A_0_100,44.27064,-63.3216,2007,3,4,HL2,NA,NA
181C07686_2007686083,77.66,Chlorophyll_A_0_100,44.27,-63.32333,2007,3,18,HL2,NA,NA
181C08775_2008775001,20.9975,Chlorophyll_A_0_100,44.27058,-63.31328,2008,3,3,HL2,NA,NA
181C08775_2008775101,46.1945,Chlorophyll_A_0_100,44.27074,-63.31605,2008,3,22,HL2,NA,NA
181C08830_2008830001,26.518,Chlorophyll_A_0_100,44.27271,-63.31943,2008,7,6,HL2,NA,NA
181C08830_2008830002,20.6816228070175,Chlorophyll_A_0_100,44.2667,-63.1917,2008,7,6,HL2,NA,NA
181C08830_2008830098,41.866,Chlorophyll_A_0_100,44.26971,-63.31625,2008,7,18,HL2,NA,NA
181C08830_2008830179,33.506,Chlorophyll_A_0_100,44.26803,-63.31483,2008,8,1,HL2,NA,NA
18CY98079_98079037,160.26106,Chlorophyll_A_0_100,44.2667,-63.3167,1999,3,31,HL2,NA,NA
18DL19001_006,22.4501675404858,Chlorophyll_A_0_100,44.26896,-63.3156,2019,6,7,HL2,NA,NA
18HU00009_2000009007,50.40635,Chlorophyll_A_0_100,44.26667,-63.31667,2000,5,20,HL2,NA,NA
18HU00009_2000009153,25.077625,Chlorophyll_A_0_100,44.26667,-63.31667,2000,6,8,HL2,NA,NA
18HU00050_2000050002,55.89,Chlorophyll_A_0_100,44.29566,-63.2305,2000,9,30,HL2,NA,NA
18HU00050_2000050288,41.6595,Chlorophyll_A_0_100,44.26266,-63.313,2000,10,16,HL2,Halifax,1.1
18HU00050_2000050288,41.6595,Chlorophyll_A_0_100,44.26266,-63.313,2000,10,16,HL2,North Sydney,0.8
18HU00050_2000050288,41.6595,Chlorophyll_A_0_100,44.26266,-63.313,2000,10,16,HL2,Yarmouth,3
18HU00050_2000050328,64.1035,Chlorophyll_A_0_100,44.26667,-63.31667,2000,10,25,HL2,NA,NA
18HU00062_2000068088,40.254875,Chlorophyll_A_0_100,44.2715,-63.32117,2000,12,8,HL2,NA,NA
18HU00066_2000066020,41.966355,Chlorophyll_A_0_100,44.26947,-63.29167,2000,11,22,HL2,NA,NA
18HU01009_2001009008,130.5455,Chlorophyll_A_0_100,44.266,-63.30216,2001,5,1,HL2,NA,NA
18HU01009_2001009086,218.4785,Chlorophyll_A_0_100,44.26983,-63.31966,2001,5,6,HL2,NA,NA
18HU01009_2001009263,23.587,Chlorophyll_A_0_100,44.26522,-63.32547,2001,5,16,HL2,Halifax,1
18HU01009_2001009263,23.587,Chlorophyll_A_0_100,44.26522,-63.32547,2001,5,16,HL2,North Sydney,0.7
18HU01009_2001009263,23.587,Chlorophyll_A_0_100,44.26522,-63.32547,2001,5,16,HL2,Yarmouth,3
18HU01009_2001009290,33.836,Chlorophyll_A_0_100,44.27033,-63.31866,2001,5,25,HL2,NA,NA
18HU01022_2001022007,67.892755,Chlorophyll_A_0_100,44.2675,-63.31667,2001,5,30,HL2,NA,NA
18HU01022_2001022264,32.21555,Chlorophyll_A_0_100,44.27133,-63.32083,2001,6,15,HL2,Halifax,1
18HU01022_2001022264,32.21555,Chlorophyll_A_0_100,44.27133,-63.32083,2001,6,15,HL2,North Sydney,0.8
18HU01022_2001022264,32.21555,Chlorophyll_A_0_100,44.27133,-63.32083,2001,6,15,HL2,Yarmouth,3
18HU01061_2001061048,34.369155,Chlorophyll_A_0_100,44.2705,-63.31667,2001,10,23,HL2,NA,NA
18HU01061_2001061130,24.50565,Chlorophyll_A_0_100,44.26283,-63.31283,2001,10,28,HL2,NA,NA
18HU01061_2001061305,19.93071375,Chlorophyll_A_0_100,44.271,-63.31583,2001,11,7,HL2,NA,NA
18HU01064_2001072078,34.38479,Chlorophyll_A_0_100,44.26667,-63.31667,2001,12,8,HL2,NA,NA
18HU02032_7,39.3262532115869,Chlorophyll_A_0_100,44.2742,-63.31165,2002,6,23,HL2,NA,NA
18HU02054_2002054500,37.535,Chlorophyll_A_0_100,44.26662,-63.3173,2002,10,3,HL2,NA,NA
18HU02064_2002064066,22.2795,Chlorophyll_A_0_100,44.26639,-63.31755,2002,10,18,HL2,NA,NA
18HU02064_2002064120,32.38,Chlorophyll_A_0_100,44.26616,-63.3155,2002,10,22,HL2,NA,NA
18HU02064_2002064216,58.777,Chlorophyll_A_0_100,44.26313,-63.31816,2002,10,31,HL2,NA,NA
18HU02075_2002075211,30.39444,Chlorophyll_A_0_100,44.28383,-63.31717,2002,12,12,HL2,NA,NA
18HU02075_2002075216,35.9249150010953,Chlorophyll_A_0_100,44.28417,-63.32083,2002,12,12,HL2,NA,NA
18HU03005_2003005001,643.045,Chlorophyll_A_0_100,44.27193,-63.32455,2003,4,12,HL2,NA,NA
18HU03005_2003005085,663.625,Chlorophyll_A_0_100,44.26983,-63.32699,2003,4,18,HL2,NA,NA
18HU03010_2003010401,15.6199568591339,Chlorophyll_A_0_100,44.26833,-63.32466,2003,5,16,HL2,Halifax,1
18HU03010_2003010401,15.6199568591339,Chlorophyll_A_0_100,44.26833,-63.32466,2003,5,16,HL2,North Sydney,0.7
18HU03010_2003010401,15.6199568591339,Chlorophyll_A_0_100,44.26833,-63.32466,2003,5,16,HL2,Yarmouth,3
18HU03021_2003021065,18.175,Chlorophyll_A_0_100,44.26566,-63.31583,2003,5,29,HL2,NA,NA
18HU03038_9,69.692886,Chlorophyll_A_0_100,44.2711,-63.32078,2003,7,13,HL2,NA,NA
18HU03067_2003067002,48.6048216524823,Chlorophyll_A_0_100,44.27839,-63.29969,2003,10,20,HL2,NA,NA
18HU03067_2003067003,145.448725,Chlorophyll_A_0_100,44.27839,-63.29969,2003,10,20,HL2,NA,NA
18HU03067_2003067004,46.794455,Chlorophyll_A_0_100,44.28018,-63.30863,2003,10,19,HL2,NA,NA
18HU03067_2003067005,37.70034,Chlorophyll_A_0_100,44.27044,-63.31888,2003,10,20,HL2,NA,NA
18HU03067_2003067006,47.36878,Chlorophyll_A_0_100,44.26989,-63.31713,2003,10,20,HL2,NA,NA
18HU03067_2003067162,53.07,Chlorophyll_A_0_100,44.27745,-63.30957,2003,10,31,HL2,NA,NA
18HU03072_2003072081,47.85,Chlorophyll_A_0_100,44.26916,-63.31866,2003,11,12,HL2,NA,NA
18HU03078_2003078090,25.7969018502203,Chlorophyll_A_0_100,44.278,-63.319,2003,12,22,HL2,NA,NA
18HU04005_2004005001,659.7925,Chlorophyll_A_0_100,44.26883,-63.31433,2004,4,6,HL2,NA,NA
18HU04009_2004009003,86.4884802133399,Chlorophyll_A_0_100,44.26628,-63.31735,2004,4,18,HL2,NA,NA
18HU04009_2004009244,34.0035000813197,Chlorophyll_A_0_100,44.26663,-63.3157,2004,5,8,HL2,NA,NA
18HU04016_8,15.870259,Chlorophyll_A_0_100,44.26755,-63.3094,2004,5,16,HL2,Halifax,1
18HU04016_8,15.870259,Chlorophyll_A_0_100,44.26755,-63.3094,2004,5,16,HL2,North Sydney,0.7
18HU04016_8,15.870259,Chlorophyll_A_0_100,44.26755,-63.3094,2004,5,16,HL2,Yarmouth,3
18HU04019_2004019999,20.0953484848485,Chlorophyll_A_0_100,44.26649,-63.3165,2004,6,10,HL2,NA,NA
18HU04055_2004055001,28.2865,Chlorophyll_A_0_100,44.26583,-64.30117,2004,10,19,HL2,Halifax,1.1
18HU04055_2004055124,30.1435,Chlorophyll_A_0_100,44.26699,-64.316,2004,10,29,HL2,NA,NA
18HU05021_2005021096,26.4955517037037,Chlorophyll_A_0_100,44.26583,-63.31816,2005,6,17,HL2,NA,NA
18HU05055_2005055001,34.2215,Chlorophyll_A_0_100,44.25019,-63.31516,2005,10,17,HL2,NA,NA
18HU05055_2005055091,47.4941538461538,Chlorophyll_A_0_100,44.2699,-63.31958,2005,10,28,HL2,NA,NA
18HU06008_2006008007,36.7122272727273,Chlorophyll_A_0_100,44.26433,-63.32516,2006,4,21,HL2,NA,NA
18HU06008_2006008179,20.01525,Chlorophyll_A_0_100,44.273,-63.32416,2006,5,6,HL2,NA,NA
18HU06019_18HU06019326,36.412285,Chlorophyll_A_0_100,44.26548,-63.3168,2006,6,8,HL2,NA,NA
18HU06052_2006052007,26.0091017699758,Chlorophyll_A_0_100,44.26666,-63.31666,2006,10,5,HL2,NA,NA
18HU06052_2006052082,2.07417932235294,Chlorophyll_A_0_100,44.26666,-63.33333,2006,10,13,HL2,NA,NA
18HU07001_2007001008,728.274,Chlorophyll_A_0_100,44.27283,-63.32966,2007,4,4,HL2,NA,NA
18HU07001_2007001037,937.587,Chlorophyll_A_0_100,44.26983,-63.33499,2007,4,7,HL2,NA,NA
18HU07001_2007001181,139.2025,Chlorophyll_A_0_100,44.2695,-63.33,2007,4,22,HL2,NA,NA
18HU07011_18HU07011261,31.7140238095238,Chlorophyll_A_0_100,44.2659,-63.31658,2007,5,27,HL2,NA,NA
18HU07033_2007033003,68.9295,Chlorophyll_A_0_100,44.27166,-63.31833,2007,8,2,HL2,NA,NA
18HU07033_2007033093,40.016,Chlorophyll_A_0_100,44.2685,-63.32066,2007,8,9,HL2,NA,NA
18HU07045_2007045008,34.8774347826087,Chlorophyll_A_0_100,44.26857,-63.32329,2007,9,29,HL2,NA,NA
18HU07045_2007045076,19.6585,Chlorophyll_A_0_100,44.26677,-63.31562,2007,10,11,HL2,NA,NA
18HU07045_2007045195,29.2059285714286,Chlorophyll_A_0_100,44.26682,-63.33473,2007,10,18,HL2,NA,NA
18HU08004_2008004011,234.327958525858,Chlorophyll_A_0_100,44.275,-63.3203,2008,4,15,HL2,Halifax,1
18HU08004_2008004011,234.327958525858,Chlorophyll_A_0_100,44.275,-63.3203,2008,4,15,HL2,North Sydney,0.7
18HU08004_2008004011,234.327958525858,Chlorophyll_A_0_100,44.275,-63.3203,2008,4,15,HL2,Yarmouth,3
18HU08004_2008004066,88.1218489570685,Chlorophyll_A_0_100,44.274,-63.3283,2008,4,19,HL2,NA,NA
18HU08006_18HU08006004,9.4142,Chlorophyll_A_0_100,44.278,-63.3367,2008,5,11,HL2,NA,NA
18HU08009_18HU08009259,47.1807,Chlorophyll_A_0_100,44.26662,-63.3174,2008,6,3,HL2,NA,NA
18HU08037_2008037004,34.354,Chlorophyll_A_0_100,44.26254,-63.33832,2008,9,28,HL2,NA,NA
18HU08037_2008037040,34.224,Chlorophyll_A_0_100,44.26319,-63.30406,2008,10,6,HL2,NA,NA
18HU08037_2008037063,21.7074504761905,Chlorophyll_A_0_100,44.27104,-63.31755,2008,10,9,HL2,NA,NA
18HU08037_2008037229,28.328015741985,Chlorophyll_A_0_100,44.26909,-63.32205,2008,10,20,HL2,NA,NA
18HU09005_2009005009,466.001335615385,Chlorophyll_A_0_100,44.2652,-63.3355,2009,4,10,HL2,NA,NA
18HU09005_2009005105,87.0097403307313,Chlorophyll_A_0_100,44.2643,-63.338,2009,4,24,HL2,NA,NA
18HU09005_2009005175,47.1248326880364,Chlorophyll_A_0_100,44.261,-63.3373,2009,4,29,HL2,NA,NA
18HU09048_2009048009,31.430415,Chlorophyll_A_0_100,44.2745,-63.3195,2009,9,27,HL2,NA,NA
18HU09048_2009048066,35.6560600116505,Chlorophyll_A_0_100,44.2697,-63.32,2009,10,5,HL2,NA,NA
18HU09048_2009048233,35.2502048076923,Chlorophyll_A_0_100,44.2622,-63.329,2009,10,19,HL2,NA,NA
18HU10006_2010006008,26.10836,Chlorophyll_A_0_100,44.2712,-63.324,2010,4,10,HL2,NA,NA
18HU10006_2010006206,7.84851,Chlorophyll_A_0_100,44.2767,-63.3145,2010,4,25,HL2,NA,NA
18HU10070_IML201007021,39.24875,Chlorophyll_A_0_100,44.26783,-63.3205,2010,11,7,HL2,NA,NA
18HU11004_2011004015,38.5569072603457,Chlorophyll_A_0_100,44.2693,-63.3262,2011,4,7,HL2,NA,NA
18HU11004_2011004190,125.176140908199,Chlorophyll_A_0_100,44.27,-63.321,2011,4,23,HL2,NA,NA
18HU11009_18HU11009004,27.01,Chlorophyll_A_0_100,44.26303,-63.33402,2011,5,6,HL2,NA,NA
18HU11009_18HU11009381,30.6856,Chlorophyll_A_0_100,44.27118,-63.32272,2011,5,28,HL2,NA,NA
18HU11043_2011043009,34.4378310375747,Chlorophyll_A_0_100,44.2703,-63.3188,2011,9,24,HL2,NA,NA
18HU11043_2011043069,36.9899753487817,Chlorophyll_A_0_100,44.2735,-63.3277,2011,9,30,HL2,NA,NA
18HU11043_2011043191,39.935307127733,Chlorophyll_A_0_100,44.271,-63.3228,2011,10,14,HL2,NA,NA
18HU12042_101,29.434555,Chlorophyll_A_0_100,44.2725,-63.3132,2012,10,3,HL2,NA,NA
18HU12042_220,40.50854,Chlorophyll_A_0_100,44.2715,-63.3153,2012,10,15,HL2,NA,NA
18HU12042_7,30.6270172727273,Chlorophyll_A_0_100,44.2705,-63.3202,2012,9,25,HL2,NA,NA
18HU13004_011,62.0906642857143,Chlorophyll_A_0_100,44.2717,-63.3167,2013,4,5,HL2,NA,NA
18HU13004_068,151.0604,Chlorophyll_A_0_100,44.2658,-63.3163,2013,4,12,HL2,NA,NA
18HU13004_232,58.33775,Chlorophyll_A_0_100,44.1775,-63.2303,2013,4,25,HL2,NA,NA
18HU13004_235,92.51545,Chlorophyll_A_0_100,44.2682,-63.3168,2013,4,26,HL2,NA,NA
18HU13004_236,105.30025,Chlorophyll_A_0_100,44.3163,-63.3507,2013,4,26,HL2,NA,NA
18HU13008_005,11.4316607134196,Chlorophyll_A_0_100,44.26613,-63.31396,2013,5,7,HL2,NA,NA
18HU13008_248,24.5279163066339,Chlorophyll_A_0_100,44.2663,-63.3128,2013,5,28,HL2,NA,NA
18HU13013_006,16.29225,Chlorophyll_A_0_100,44.2675,-63.3175,2013,6,4,HL2,NA,NA
18HU13013_336,27.6494,Chlorophyll_A_0_100,44.2675,-63.3175,2013,6,16,HL2,NA,NA
18HU13037_017,73.0187,Chlorophyll_A_0_100,44.2597,-63.312,2013,9,22,HL2,NA,NA
18HU13037_249,41.21145,Chlorophyll_A_0_100,44.2592,-63.3095,2013,10,9,HL2,NA,NA
18HU14004_011,908.013405980808,Chlorophyll_A_0_100,44.26668,-63.31694,2014,4,5,HL2,NA,NA
18HU14004_106,308.945450252744,Chlorophyll_A_0_100,44.26894,-63.31976,2014,4,13,HL2,NA,NA
18HU14004_225,62.0508255595017,Chlorophyll_A_0_100,44.26664,-63.32432,2014,4,23,HL2,NA,NA
18HU14007_004,28.0473430814786,Chlorophyll_A_0_100,44.273,-63.3268,2014,5,2,HL2,NA,NA
18HU14007_220,15.6106792428543,Chlorophyll_A_0_100,44.265,-63.3192,2014,5,24,HL2,NA,NA
18HU14030_011,20.5478334616524,Chlorophyll_A_0_100,44.266,-63.3182,2014,9,20,HL2,NA,NA
18HU14030_088,26.8727114282828,Chlorophyll_A_0_100,44.2687,-63.315,2014,9,28,HL2,NA,NA
18HU14030_187,22.8251711320426,Chlorophyll_A_0_100,44.2663,-63.317,2014,10,8,HL2,NA,NA
18HU15004_006,544.374869491234,Chlorophyll_A_0_100,44.27118,-63.31354,2015,4,18,HL2,NA,NA
18HU15004_074,359.752055711539,Chlorophyll_A_0_100,44.2678,-63.32496,2015,4,22,HL2,NA,NA
18HU15004_140,296.433883822594,Chlorophyll_A_0_100,44.26634,-63.31683,2015,4,27,HL2,NA,NA
18HU15006_006,141.790696519963,Chlorophyll_A_0_100,44.26714,-63.31462,2015,5,5,HL2,NA,NA
18HU15030_007,25.5409812503705,Chlorophyll_A_0_100,44.27342,-63.32498,2015,9,20,HL2,NA,NA
18HU15030_170,35.1890473282148,Chlorophyll_A_0_100,44.25053,-63.32002,2015,10,4,HL2,NA,NA
18HU15030_287,40.3533467980327,Chlorophyll_A_0_100,44.28332,-63.32624,2015,10,11,HL2,NA,NA
18HU16003_010,154.606998131271,Chlorophyll_A_0_100,44.26486,-63.31688,2016,4,10,HL2,NA,NA
18HU16003_131,15.4133985203518,Chlorophyll_A_0_100,44.267,-63.31656,2016,4,25,HL2,NA,NA
18HU16006_303,15.992542518363,Chlorophyll_A_0_100,44.26658,-63.31654,2016,5,24,HL2,NA,NA
18HU16027_015,26.1328965164331,Chlorophyll_A_0_100,44.26572,-63.31544,2016,9,16,HL2,North Sydney,0.9
18HU16027_280,22.4103608317433,Chlorophyll_A_0_100,44.26664,-63.31658,2016,10,6,HL2,NA,NA
18HU18004_079,394.556913,Chlorophyll_A_0_100,44.2664,-63.3215,2018,4,13,HL2,NA,NA
18HU18008_267,54.8851736469783,Chlorophyll_A_0_100,44.26568,-63.30844,2018,5,21,HL2,NA,NA
18HU18030_008,27.6940629619327,Chlorophyll_A_0_100,44.26672,-63.31646,2018,9,15,HL2,Halifax,1.1
18HU18030_008,27.6940629619327,Chlorophyll_A_0_100,44.26672,-63.31646,2018,9,15,HL2,North Sydney,0.9
18HU18030_008,27.6940629619327,Chlorophyll_A_0_100,44.26672,-63.31646,2018,9,15,HL2,Yarmouth,3
18HU18030_099,34.9732325341168,Chlorophyll_A_0_100,44.2665,-63.31742,2018,9,23,HL2,NA,NA
18HU18030_257,32.8758705978981,Chlorophyll_A_0_100,44.267,-63.31808,2018,10,5,HL2,NA,NA
18HU99005_99003013,18.695,Chlorophyll_A_0_100,44.26,-63.31,1999,4,9,HL2,NA,NA
18HU99005_99003216,52.45,Chlorophyll_A_0_100,44.27,-63.31,1999,4,18,HL2,NA,NA
18HU99022_18HU99022011,44.2878659090909,Chlorophyll_A_0_100,44.26458,-63.3206,1999,6,27,HL2,NA,NA
18HU99054_99054004,60.314,Chlorophyll_A_0_100,44.26116,-63.32766,1999,10,23,HL2,NA,NA
18HU99054_99054226,80.638,Chlorophyll_A_0_100,44.28716,-63.27083,1999,11,5,HL2,NA,NA
18HU99054_99054286,131.6795,Chlorophyll_A_0_100,44.26203,-63.3215,1999,11,12,HL2,NA,NA
18MF12001_18MF12001002,29.29605,Chlorophyll_A_0_100,44.2684,-63.31497,2012,6,1,HL2,NA,NA
18MH03014_2003014001,39.56059,Chlorophyll_A_0_100,44.26663,-63.31656,2003,5,5,HL2,NA,NA
18MH06059_2006059001,22.7955,Chlorophyll_A_0_100,44.29386,-63.27053,2006,11,12,HL2,NA,NA
18NE00026_2000026000,47.74595,Chlorophyll_A_0_100,44.26667,-63.31667,2000,6,29,HL2,NA,NA
18NE00026_2000026103,46.4765,Chlorophyll_A_0_100,44.26165,-63.32168,2000,7,15,HL2,NA,NA
18NE00031_2000031126,72.17269,Chlorophyll_A_0_100,44.26568,-63.31385,2000,7,29,HL2,NA,NA
18NE00065_99065000,45.458835,Chlorophyll_A_0_100,44.26367,-63.33117,2000,2,15,HL2,Halifax,1
18NE00065_99065000,45.458835,Chlorophyll_A_0_100,44.26367,-63.33117,2000,2,15,HL2,Yarmouth,3
18NE00066_99066001,35.90465,Chlorophyll_A_0_100,44.262,-63.313,2000,3,2,HL2,NA,NA
18NE00066_99066123,29.01645,Chlorophyll_A_0_100,44.26583,-63.3145,2000,3,17,HL2,NA,NA
18NE01003_2001003000,40.27365,Chlorophyll_A_0_100,44.26818,-63.31677,2001,2,13,HL2,NA,NA
