year,area_name,salinity,sea_temperature,area
1948,Scotion Shelf,0.068,-1.396,Scotion Shelf
1949,Scotion Shelf,0.252,0.545,Scotion Shelf
1950,Scotion Shelf,0.511,-0.373,Scotion Shelf
1951,Scotion Shelf,0.08,1.364,Scotion Shelf
1952,Scotion Shelf,-0.043,0.5,Scotion Shelf
1953,Scotion Shelf,0.059,0.248,Scotion Shelf
1954,Scotion Shelf,0.266,-0.57,Scotion Shelf
1955,Scotion Shelf,-0.168,-0.331,Scotion Shelf
1956,Scotion Shelf,0.508,-0.123,Scotion Shelf
1957,Scotion Shelf,-0.185,-0.164,Scotion Shelf
1958,Scotion Shelf,0.137,-0.994,Scotion Shelf
1959,Scotion Shelf,0.136,-0.562,Scotion Shelf
1960,Scotion Shelf,0.486,-0.908,Scotion Shelf
1961,Scotion Shelf,0.139,-1.184,Scotion Shelf
1962,Scotion Shelf,0.158,-1.783,Scotion Shelf
1963,Scotion Shelf,0.292,0.293,Scotion Shelf
1964,Scotion Shelf,0.311,-1.782,Scotion Shelf
1965,Scotion Shelf,0.318,-1.591,Scotion Shelf
1966,Scotion Shelf,0.393,-0.395,Scotion Shelf
1967,Scotion Shelf,0.192,-1.051,Scotion Shelf
1968,Scotion Shelf,0.352,-0.552,Scotion Shelf
1969,Scotion Shelf,0.377,-0.085,Scotion Shelf
1970,Scotion Shelf,-0.024,0.244,Scotion Shelf
1971,Scotion Shelf,-0.176,-1.003,Scotion Shelf
1972,Scotion Shelf,0.335,-0.053,Scotion Shelf
1973,Scotion Shelf,-0.136,-0.669,Scotion Shelf
1974,Scotion Shelf,0.417,-1.458,Scotion Shelf
1975,Scotion Shelf,0.165,-0.685,Scotion Shelf
1976,Scotion Shelf,0.241,-0.379,Scotion Shelf
1977,Scotion Shelf,0.273,-0.862,Scotion Shelf
1978,Scotion Shelf,-0.128,0.059,Scotion Shelf
1979,Scotion Shelf,0.207,-0.048,Scotion Shelf
1980,Scotion Shelf,0.259,-0.727,Scotion Shelf
1981,Scotion Shelf,0.071,-0.036,Scotion Shelf
1982,Scotion Shelf,0.275,0.103,Scotion Shelf
1983,Scotion Shelf,-0.036,0.915,Scotion Shelf
1984,Scotion Shelf,-0.167,0.03,Scotion Shelf
1985,Scotion Shelf,0.171,-1.855,Scotion Shelf
1986,Scotion Shelf,0.142,-0.881,Scotion Shelf
1987,Scotion Shelf,0.282,0.348,Scotion Shelf
1988,Scotion Shelf,0.088,-0.093,Scotion Shelf
1989,Scotion Shelf,0.294,-0.251,Scotion Shelf
1990,Scotion Shelf,0.405,-0.571,Scotion Shelf
1991,Scotion Shelf,-0.176,-0.416,Scotion Shelf
1992,Scotion Shelf,0.027,-0.956,Scotion Shelf
1993,Scotion Shelf,0.098,-0.715,Scotion Shelf
1994,Scotion Shelf,-0.322,0.294,Scotion Shelf
1995,Scotion Shelf,-0.136,-0.436,Scotion Shelf
1996,Scotion Shelf,-0.033,-0.915,Scotion Shelf
1997,Scotion Shelf,-0.14,-0.575,Scotion Shelf
1998,Scotion Shelf,-0.415,0.112,Scotion Shelf
1999,Scotion Shelf,0.023,0.873,Scotion Shelf
2000,Scotion Shelf,0.141,0.855,Scotion Shelf
2001,Scotion Shelf,0.113,-0.167,Scotion Shelf
2002,Scotion Shelf,0.114,-0.366,Scotion Shelf
2003,Scotion Shelf,0.347,-0.056,Scotion Shelf
2004,Scotion Shelf,0.187,-0.714,Scotion Shelf
2005,Scotion Shelf,0.091,0.081,Scotion Shelf
2006,Scotion Shelf,-0.047,0.587,Scotion Shelf
2007,Scotion Shelf,0.04,-0.505,Scotion Shelf
2008,Scotion Shelf,-0.02,0.349,Scotion Shelf
2009,Scotion Shelf,0.126,0.15,Scotion Shelf
2010,Scotion Shelf,0.009,1.737,Scotion Shelf
2011,Scotion Shelf,-0.068,-0.462,Scotion Shelf
2012,Scotion Shelf,-0.087,2.236,Scotion Shelf
2013,Scotion Shelf,-0.094,0.882,Scotion Shelf
2014,Scotion Shelf,0.267,1.178,Scotion Shelf
2015,Scotion Shelf,0.206,0.367,Scotion Shelf
2016,Scotion Shelf,0.015,1.337,Scotion Shelf
2017,Scotion Shelf,-0.141,0.991,Scotion Shelf
2018,Scotion Shelf,0.048,0.577,Scotion Shelf
2019,Scotion Shelf,-0.321,-0.041,Scotion Shelf
