section,station,latitude,longitude,year,month,day,event_id,sample_id,depth,standard_depth,chlorophyll,nitrate,phosphate,silicate
CSL,CSL1,46.95,-60.21,1999,4,15,18HU99005_99003155,99003155_210403,1,0,5.04,0.04,0.538,12.554
CSL,CSL1,46.95,-60.21,1999,4,15,18HU99005_99003155,99003155_210402,10,10,9.58,1.7,0.538,12.554
CSL,CSL1,46.95,-60.21,1999,4,15,18HU99005_99003155,99003155_210401,20,20,11.76,1.46,0.538,12.554
CSL,CSL1,46.95,-60.21,1999,4,15,18HU99005_99003155,99003155_210400,30,30,11.03,1.92,0.301,2.525
CSL,CSL1,46.95,-60.21,1999,4,15,18HU99005_99003155,99003155_210399,40,40,10.16,2.4,0.332,2.846
CSL,CSL1,46.95,-60.21,1999,4,15,18HU99005_99003155,99003155_210398,50,50,9.58,2.82,0.339,3.069
CSL,CSL1,46.95,-60.21,1999,4,15,18HU99005_99003155,99003155_210397,60,60,5.8,4.14,0.385,4.868
CSL,CSL1,46.95,-60.21,1999,4,15,18HU99005_99003155,99003155_210396,73,80,4.5,5.04,0.41000000000000003,6.0280000000000005
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,99003161_210417,1,0,9,0.12,0.202,1.463
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,99003161_210414,10,10,12.05,0.08,0.23,0.903
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,99003161_210413,30,30,6.16,4.08,0.395,4.086
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,99003161_210412,40,40,6.07,4.5200000000000005,0.395,4.424
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,99003161_210411,50,50,4,6.22,0.441,6.7490000000000006
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,99003161_210410,60,60,2.65,6.24,0.439,7.15
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,99003161_210409,80,80,1.61,5.96,0.451,5.925000000000001
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,99003161_210408,100,100,0.52,10.48,0.5750000000000001,13.02
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,99003161_210407,125,100,NA,13.36,0.654,17.445
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,99003161_210406,150,100,NA,19.32,0.803,26.355
CSL,CSL2,47.02,-60.11,1999,4,15,18HU99005_99003161,99003161_210405,175,100,NA,21.13,0.805,32.230000000000004
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210432,1,0,9.290000000000001,0.455,0.14300000000000002,1.602
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210430,10,10,12.92,0.88,0.276,1.2850000000000001
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210429,20,20,12.48,1.24,0.302,1.233
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210428,30,30,9.290000000000001,1.8800000000000001,0.31,1.55
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210427,40,40,4.54,1.8,0.335,1.872
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210426,50,50,1.72,1.74,0.325,1.482
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210425,60,60,1.31,1.78,0.324,1.5510000000000002
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210424,80,80,0.53,6.4,0.433,6.9590000000000005
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210423,110,100,0.26,14.48,0.679,18.080000000000002
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210422,125,100,NA,13.16,0.613,15.36
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210421,150,100,NA,16.48,0.684,18.765
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210420,200,250,NA,21.240000000000002,0.753,22.14
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210419,250,250,NA,21.94,0.779,32.160000000000004
CSL,CSL3,47.09,-59.980000000000004,1999,4,16,18HU99005_99003170,99003170_210418,325,250,NA,23.990000000000002,0.8260000000000001,34.74
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210449,1,0,11.61,1.1840000000000002,0.23,1.915
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210447,10,10,10.6,1.5370000000000001,0.23700000000000002,1.848
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210446,20,20,11.03,1.975,0.335,1.4000000000000001
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210445,30,30,7.55,1.846,0.258,0.778
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210444,40,40,7.33,2.2230000000000003,0.314,1.106
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210443,50,50,5.62,1.915,0.318,1.749
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210442,60,60,2.16,4.58,0.36200000000000004,4.992
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210441,80,80,0.43,11.03,0.559,14.1
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210440,100,100,0.48,11.85,0.5830000000000001,14.565000000000001
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210439,125,100,NA,11.265,0.524,13.83
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210438,150,100,NA,15.81,0.6910000000000001,20.89
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210437,200,250,NA,16.735,0.617,18.8
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210436,250,250,NA,20.943,0.729,28.55
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210435,300,250,NA,21.084,0.7090000000000001,28.64
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210434,400,500,NA,22.122,0.7240000000000001,31.48
CSL,CSL4,47.27,-59.78,1999,4,16,18HU99005_99003173,99003173_210433,460,500,NA,17.535,0.552,25.3
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210467,1,0,6.65,1.866,0.28300000000000003,1.116
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210466,10,10,6.65,1.97,0.29,1.116
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210465,20,20,5.8500000000000005,2.116,0.29200000000000004,1.0390000000000001
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210464,30,30,4.41,1.8250000000000002,0.6,0.8550000000000001
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210463,40,40,4.36,2.259,0.308,1.073
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210462,50,50,3.7800000000000002,2.144,0.28700000000000003,1.312
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210461,60,60,2.11,2.733,0.3,2.1470000000000002
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210460,80,80,0.19,8.802,0.433,9.387
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210459,100,100,0.16,12.27,0.5650000000000001,13.045
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210458,125,100,NA,14.4,0.612,15.99
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210457,150,100,NA,18.59,0.7150000000000001,20
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210456,200,250,NA,23.73,0.806,30.528000000000002
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210455,250,250,NA,21.012,0.7120000000000001,29.847
CSL,CSL5,47.43,-59.550000000000004,1999,4,16,18HU99005_99003179,99003179_210453,300,250,NA,23.988,0.75,31.755000000000003
