"year","station_name","sea_surface_temperature_from_moorings"
1926,"Halifax",6.171
1927,"Halifax",7.23
1928,"Halifax",7.396
1929,"Halifax",6.638
1930,"Halifax",8.038
1931,"Halifax",8.18
1932,"Halifax",7.338
1933,"Halifax",7.521
1934,"Halifax",7.446
1935,"Halifax",7.413
1936,"Halifax",7.621
1937,"Halifax",8.062
1938,"Halifax",8.088
1939,"Halifax",6.455
1940,"Halifax",6.267
1941,"Halifax",5.455
1942,"Halifax",6.485
1943,"Halifax",6.359
1946,"Halifax",6.361
1947,"Halifax",7.496
1948,"Halifax",6.567
1949,"Halifax",7.5
1950,"Halifax",6.764
1951,"Halifax",8.838
1952,"Halifax",7.555
1953,"Halifax",7.896
1954,"Halifax",7.455
1955,"Halifax",7.155
1956,"Halifax",7.071
1957,"Halifax",6.463
1958,"Halifax",7.638
1959,"Halifax",7.496
1960,"Halifax",8.013
1961,"Halifax",7.721
1962,"Halifax",6.93
1963,"Halifax",7.021
1964,"Halifax",6.555
1965,"Halifax",5.846
1966,"Halifax",6.596
1967,"Halifax",6.546
1968,"Halifax",7.388
1969,"Halifax",7.921
1970,"Halifax",7.321
1971,"Halifax",7.263
1972,"Halifax",6.746
1973,"Halifax",7.055
1974,"Halifax",7.046
1975,"Halifax",7.28
1976,"Halifax",7.671
1977,"Halifax",7.163
1978,"Halifax",7.638
1979,"Halifax",7.755
1980,"Halifax",8.288
1981,"Halifax",8.655
1982,"Halifax",8.571
1983,"Halifax",9.296
1984,"Halifax",7.855
1985,"Halifax",7.921
1986,"Halifax",7.33
1987,"Halifax",7.18
1988,"Halifax",6.38
1989,"Halifax",7.105
1990,"Halifax",7.046
1991,"Halifax",6.971
1992,"Halifax",6.513
1993,"Halifax",6.748
1994,"Halifax",6.712
1995,"Halifax",7.216
1996,"Halifax",7.094
1997,"Halifax",6.906
1998,"Halifax",7.325
1999,"Halifax",7.803
2000,"Halifax",8.153
2001,"Halifax",7.12
2002,"Halifax",7.428
2003,"Halifax",6.725
2004,"Halifax",6.886
2005,"Halifax",6.933
2006,"Halifax",8.221
2007,"Halifax",6.881
2008,"Halifax",7.56
2009,"Halifax",7.611
2010,"Halifax",8.095
2011,"Halifax",8.284
2012,"Halifax",8.727
2013,"Halifax",7.5
2014,"Halifax",7.82
2015,"Halifax",7.6
2016,"Halifax",8.448
2017,"Halifax",8.13
2018,"Halifax",7.795
2019,"Halifax",7.523
1921,"St.Andrews",7.002
1922,"St.Andrews",5.977
1923,"St.Andrews",5.377
1924,"St.Andrews",6.352
1925,"St.Andrews",6.169
1926,"St.Andrews",5.819
1927,"St.Andrews",6.785
1928,"St.Andrews",7.277
1929,"St.Andrews",6.702
1930,"St.Andrews",7.044
1931,"St.Andrews",7.285
1932,"St.Andrews",6.935
1933,"St.Andrews",6.677
1934,"St.Andrews",6.244
1935,"St.Andrews",6.194
1936,"St.Andrews",6.71
1937,"St.Andrews",7.61
1938,"St.Andrews",7.119
1939,"St.Andrews",6.577
1940,"St.Andrews",6.052
1941,"St.Andrews",6.352
1942,"St.Andrews",6.569
1943,"St.Andrews",6.26
1944,"St.Andrews",6.844
1945,"St.Andrews",7.144
1946,"St.Andrews",7.16
1947,"St.Andrews",7.702
1948,"St.Andrews",6.519
1949,"St.Andrews",8.277
1950,"St.Andrews",7.627
1951,"St.Andrews",8.502
1952,"St.Andrews",7.81
1953,"St.Andrews",8.369
1954,"St.Andrews",8.135
1955,"St.Andrews",7.652
1956,"St.Andrews",6.744
1957,"St.Andrews",7.394
1958,"St.Andrews",7.435
1959,"St.Andrews",6.61
1960,"St.Andrews",7.377
1961,"St.Andrews",6.71
1962,"St.Andrews",6.76
1963,"St.Andrews",7.227
1964,"St.Andrews",6.452
1965,"St.Andrews",6.235
1966,"St.Andrews",6.785
1967,"St.Andrews",6.21
1968,"St.Andrews",6.869
1969,"St.Andrews",7.56
1970,"St.Andrews",7.594
1971,"St.Andrews",7.569
1972,"St.Andrews",6.819
1973,"St.Andrews",7.31
1974,"St.Andrews",7.219
1975,"St.Andrews",6.952
1976,"St.Andrews",8.285
1977,"St.Andrews",6.96
1978,"St.Andrews",7.302
1979,"St.Andrews",7.719
1980,"St.Andrews",7.027
1981,"St.Andrews",7.319
1982,"St.Andrews",7.369
1983,"St.Andrews",7.96
1984,"St.Andrews",7.335
1985,"St.Andrews",6.705
1986,"St.Andrews",6.835
1987,"St.Andrews",6.896
1988,"St.Andrews",6.069
1989,"St.Andrews",6.477
1990,"St.Andrews",6.994
1991,"St.Andrews",7.152
1992,"St.Andrews",7.169
1993,"St.Andrews",6.677
1994,"St.Andrews",7.635
1995,"St.Andrews",7.585
1996,"St.Andrews",7.315
1997,"St.Andrews",7.227
1998,"St.Andrews",7.557
1999,"St.Andrews",8.203
2000,"St.Andrews",8.104
2001,"St.Andrews",7.176
2002,"St.Andrews",7.91
2003,"St.Andrews",6.952
2004,"St.Andrews",6.449
2005,"St.Andrews",7.195
2006,"St.Andrews",8.585
2007,"St.Andrews",7.229
2008,"St.Andrews",7.443
2009,"St.Andrews",7.486
2010,"St.Andrews",8.356
2011,"St.Andrews",8.26
2012,"St.Andrews",9.163
2013,"St.Andrews",8.329
2014,"St.Andrews",7.914
2015,"St.Andrews",7.591
2016,"St.Andrews",8.766
2017,"St.Andrews",8.175
2018,"St.Andrews",8.36
2019,"St.Andrews",7.698
