# Filename: SSTinSitu_Halifax_en.dat
# Creation date: 2020-09-24 17:33:52
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Station name: Halifax
# Longitude: -63.56967
# Latitude: 44.64783
# Climatological mean: 7.41
# Climatological standard deviation: 0.69
# Climatological reference years: 1981 to 2010
year,anomaly,normalizedAnomaly
1926,-1.239,-1.794
1927,-0.180,-0.261
1928,-0.014,-0.020
1929,-0.772,-1.118
1930, 0.628, 0.910
1931, 0.770, 1.115
1932,-0.072,-0.104
1933, 0.111, 0.161
1934, 0.036, 0.053
1935, 0.003, 0.005
1936, 0.211, 0.306
1937, 0.652, 0.944
1938, 0.678, 0.982
1939,-0.955,-1.384
1940,-1.143,-1.656
1941,-1.955,-2.833
1942,-0.925,-1.340
1943,-1.051,-1.523
1946,-1.049,-1.520
1947, 0.086, 0.125
1948,-0.843,-1.221
1949, 0.090, 0.130
1950,-0.646,-0.936
1951, 1.428, 2.069
1952, 0.145, 0.210
1953, 0.486, 0.705
1954, 0.045, 0.065
1955,-0.255,-0.370
1956,-0.339,-0.490
1957,-0.947,-1.372
1958, 0.228, 0.331
1959, 0.086, 0.125
1960, 0.603, 0.874
1961, 0.311, 0.451
1962,-0.480,-0.696
1963,-0.389,-0.563
1964,-0.855,-1.239
1965,-1.564,-2.265
1966,-0.814,-1.179
1967,-0.864,-1.251
1968,-0.022,-0.032
1969, 0.511, 0.741
1970,-0.089,-0.128
1971,-0.147,-0.213
1972,-0.664,-0.961
1973,-0.355,-0.515
1974,-0.364,-0.527
1975,-0.130,-0.189
1976, 0.261, 0.379
1977,-0.247,-0.358
1978, 0.228, 0.331
1979, 0.345, 0.500
1980, 0.878, 1.272
1981, 1.245, 1.804
1982, 1.161, 1.683
1983, 1.886, 2.733
1984, 0.445, 0.644
1985, 0.511, 0.741
1986,-0.080,-0.116
1987,-0.230,-0.334
1988,-1.030,-1.493
1989,-0.305,-0.442
1990,-0.364,-0.527
1991,-0.439,-0.635
1992,-0.897,-1.299
1993,-0.662,-0.960
1994,-0.698,-1.011
1995,-0.194,-0.281
1996,-0.316,-0.457
1997,-0.504,-0.730
1998,-0.085,-0.124
1999, 0.393, 0.570
2000, 0.743, 1.077
2001,-0.290,-0.421
2002, 0.018, 0.026
2003,-0.685,-0.992
2004,-0.524,-0.759
2005,-0.477,-0.690
2006, 0.811, 1.175
2007,-0.529,-0.766
2008, 0.150, 0.218
2009, 0.201, 0.292
2010, 0.685, 0.992
2011, 0.874, 1.266
2012, 1.317, 1.908
2013, 0.090, 0.131
2014, 0.410, 0.595
2015, 0.190, 0.276
2016, 1.038, 1.504
2017, 0.720, 1.043
2018, 0.385, 0.558
2019, 0.113, 0.164
