# Filename: SSTinSitu_StAndrews_en.dat
# Creation date: 2020-09-24 17:33:52
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Station name: St.Andrews
# Longitude: -67.0857
# Latitude: 45.0822
# Climatological mean: 7.32
# Climatological standard deviation: 0.58
# Climatological reference years: 1981 to 2010
year,anomaly,normalizedAnomaly
1921,-0.318,-0.550
1922,-1.343,-2.324
1923,-1.943,-3.362
1924,-0.968,-1.675
1925,-1.151,-1.992
1926,-1.501,-2.597
1927,-0.535,-0.925
1928,-0.043,-0.074
1929,-0.618,-1.069
1930,-0.276,-0.478
1931,-0.035,-0.060
1932,-0.385,-0.665
1933,-0.643,-1.112
1934,-1.076,-1.862
1935,-1.126,-1.949
1936,-0.610,-1.055
1937, 0.290, 0.502
1938,-0.201,-0.348
1939,-0.743,-1.285
1940,-1.268,-2.194
1941,-0.968,-1.675
1942,-0.751,-1.300
1943,-1.060,-1.833
1944,-0.476,-0.824
1945,-0.176,-0.305
1946,-0.160,-0.276
1947, 0.382, 0.661
1948,-0.801,-1.386
1949, 0.957, 1.656
1950, 0.307, 0.531
1951, 1.182, 2.045
1952, 0.490, 0.848
1953, 1.049, 1.814
1954, 0.815, 1.411
1955, 0.332, 0.574
1956,-0.576,-0.997
1957, 0.074, 0.128
1958, 0.115, 0.200
1959,-0.710,-1.228
1960, 0.057, 0.099
1961,-0.610,-1.055
1962,-0.560,-0.968
1963,-0.093,-0.161
1964,-0.868,-1.502
1965,-1.085,-1.877
1966,-0.535,-0.925
1967,-1.110,-1.920
1968,-0.451,-0.781
1969, 0.240, 0.416
1970, 0.274, 0.474
1971, 0.249, 0.430
1972,-0.501,-0.867
1973,-0.010,-0.017
1974,-0.101,-0.175
1975,-0.368,-0.637
1976, 0.965, 1.670
1977,-0.360,-0.622
1978,-0.018,-0.031
1979, 0.399, 0.690
1980,-0.293,-0.507
1981,-0.001,-0.002
1982, 0.049, 0.084
1983, 0.640, 1.108
1984, 0.015, 0.027
1985,-0.615,-1.064
1986,-0.485,-0.839
1987,-0.424,-0.733
1988,-1.251,-2.165
1989,-0.843,-1.458
1990,-0.326,-0.565
1991,-0.168,-0.291
1992,-0.151,-0.262
1993,-0.643,-1.112
1994, 0.315, 0.546
1995, 0.265, 0.459
1996,-0.005,-0.009
1997,-0.093,-0.161
1998, 0.237, 0.411
1999, 0.883, 1.528
2000, 0.784, 1.357
2001,-0.144,-0.250
2002, 0.590, 1.022
2003,-0.368,-0.637
2004,-0.871,-1.507
2005,-0.125,-0.217
2006, 1.265, 2.189
2007,-0.091,-0.158
2008, 0.123, 0.213
2009, 0.166, 0.288
2010, 1.036, 1.793
2011, 0.940, 1.627
2012, 1.843, 3.188
2013, 1.009, 1.746
2014, 0.594, 1.027
2015, 0.271, 0.470
2016, 1.446, 2.502
2017, 0.855, 1.480
2018, 1.040, 1.800
2019, 0.378, 0.654
