section,year,Calanus_finmarchicus_log10,Pseudocalanus_log10,copepods_log10,non_copepods_log10,Arctic_Calanus_species_log10,warm_offshore_copepods_log10,warm_shelf_copepods_log10,mesozooplankton_dry_biomass,zooplankton_wet_biomass
CSL,1999,4.273291160960969,4.122961419940045,5.419488993399014,4.510690765664212,3.830232469496122,4.935288289154016e-15,1.7095245102511833,NA,88.41537272493917
CSL,2000,4.055587578501814,3.8709386399159937,5.089305639891785,4.155439653319947,3.530422870871609,0.2724026289671399,1.8927944520044524,NA,63.7649643235032
CSL,2001,4.045657050919475,3.8581806442294737,5.100538514646866,4.266249092103937,3.8556790829352225,0.49289010341686906,2.04271678000868,11.809414364530545,90.86229752523488
CSL,2003,4.300516650517288,4.616592485557157,5.380844258087997,4.55547506914948,3.6155698546281467,-0.32535167058897296,0.9724243885628253,13.414499782482359,93.36513641031416
CSL,2004,4.16887885546297,4.267734391303559,5.284248681317427,4.635697056155821,3.914171136103854,0.19639295565000947,0.739335242127208,15.66634400377476,90.13994509671552
CSL,2005,4.225086086656731,4.234626882244338,5.317447799075693,4.231142580389941,3.8092811675404215,0.5326169898648287,2.3846798170259325,8.499682640609262,59.461982491125895
CSL,2006,4.189131900835985,4.210723242282413,5.1452902589594975,4.426534902174588,4.065314164637068,1.0685808393298635,1.5876325683121808,10.477065773682808,66.89490595460428
CSL,2007,4.222257983646592,3.536570545231627,5.228528087555978,4.02160190721098,3.962432822497816,0.7790889113542514,-4.2396641752873165e-15,8.0726186381847,55.0847467482131
CSL,2008,4.19334662107231,4.009313783865005,5.261481649571331,4.277700713745021,3.873705047701896,-1.5857676500044549e-15,1.204265696853892,7.415822906495418,55.96675322116568
CSL,2009,3.9933250616421883,4.006818728928659,5.177730275658074,4.243008721112093,4.219136225762176,1.1216493772674296,2.036280740140537,9.881562861932293,75.22554245486984
CSL,2010,4.1993946109072775,4.337623423987108,5.4365613533107116,4.420176072272413,3.7728466187636855,2.02071670206984,1.0965617155425211,10.367329415359833,59.84233508044649
CSL,2011,3.7547495781395566,3.9606097943098297,5.008481927573676,4.235526163124581,3.5683958131047127,0.9298027347932585,1.5803390850710375,5.826579539436788,35.221975429447426
CSL,2012,3.943148493372521,3.767606137380853,5.126698783434569,4.098544073498629,4.003116118926488,0.1675384248323664,2.8560813862528156,8.294161604357475,60.86811599309139
