"year","station","temperature_in_air"
1872,"Boston",8.12
1873,"Boston",7.83
1874,"Boston",8.04
1875,"Boston",6.95
1876,"Boston",7.64
1877,"Boston",8.84
1878,"Boston",8.92
1879,"Boston",7.93
1880,"Boston",8.96
1881,"Boston",8.58
1882,"Boston",8.16
1883,"Boston",7.65
1884,"Boston",8.27
1885,"Boston",7.55
1886,"Boston",7.9
1887,"Boston",7.99
1888,"Boston",7.32
1889,"Boston",9.19
1890,"Boston",8.34
1891,"Boston",9.03
1892,"Boston",8.48
1893,"Boston",7.22
1894,"Boston",8.62
1895,"Boston",8.33
1896,"Boston",7.98
1897,"Boston",8.39
1898,"Boston",8.82
1899,"Boston",8.49
1900,"Boston",8.89
1901,"Boston",7.85
1902,"Boston",8.23
1903,"Boston",8.11
1904,"Boston",6.69
1905,"Boston",7.81
1906,"Boston",8.31
1907,"Boston",7.39
1908,"Boston",8.71
1909,"Boston",8.35
1910,"Boston",8.48
1911,"Boston",8.56
1912,"Boston",8.37
1913,"Boston",9.33
1914,"Boston",7.89
1915,"Boston",8.73
1916,"Boston",7.88
1917,"Boston",6.92
1918,"Boston",7.98
1919,"Boston",8.67
1920,"Boston",8.07
1921,"Boston",9.37
1922,"Boston",8.76
1923,"Boston",8.23
1924,"Boston",8.29
1925,"Boston",9.01
1926,"Boston",7.5
1927,"Boston",9.05
1928,"Boston",8.8
1929,"Boston",8.78
1930,"Boston",9.34
1931,"Boston",9.7
1932,"Boston",9.41
1933,"Boston",9.18
1934,"Boston",8.03
1935,"Boston",8.05
1936,"Boston",9.37
1937,"Boston",10.29
1938,"Boston",10.02
1939,"Boston",9.42
1940,"Boston",8.57
1941,"Boston",10.02
1942,"Boston",10
1943,"Boston",9.51
1944,"Boston",10.11
1945,"Boston",10.18
1946,"Boston",10.27
1947,"Boston",10.19
1948,"Boston",9.68
1949,"Boston",11.58
1950,"Boston",10.02
1951,"Boston",10.82
1952,"Boston",11
1953,"Boston",11.37
1954,"Boston",10.19
1955,"Boston",10.54
1956,"Boston",9.73
1957,"Boston",10.76
1958,"Boston",9.58
1959,"Boston",10.46
1960,"Boston",10.34
1961,"Boston",10.01
1962,"Boston",9.49
1963,"Boston",10.01
1964,"Boston",9.68
1965,"Boston",9.3
1966,"Boston",10.35
1967,"Boston",9.28
1968,"Boston",9.76
1969,"Boston",10.25
1970,"Boston",10.16
1971,"Boston",10.11
1972,"Boston",9.91
1973,"Boston",11.19
1974,"Boston",10.04
1975,"Boston",10.44
1976,"Boston",10.56
1977,"Boston",10.41
1978,"Boston",9.5
1979,"Boston",10.65
1980,"Boston",10.14
1981,"Boston",10.54
1982,"Boston",9.86
1983,"Boston",11.46
1984,"Boston",10.46
1985,"Boston",10.3
1986,"Boston",10.22
1987,"Boston",9.88
1988,"Boston",10.54
1989,"Boston",10.19
1990,"Boston",11.25
1991,"Boston",11.67
1992,"Boston",9.82
1993,"Boston",10.66
1994,"Boston",10.74
1995,"Boston",10.57
1996,"Boston",10.54
1997,"Boston",10.81
1998,"Boston",11.91
1999,"Boston",11.71
2000,"Boston",10.7
2001,"Boston",11.42
2002,"Boston",12.07
2003,"Boston",10.19
2004,"Boston",10.61
2005,"Boston",10.77
2006,"Boston",11.81
2007,"Boston",11.12
2008,"Boston",11.43
2009,"Boston",10.64
2010,"Boston",12.55
2011,"Boston",11.87
2012,"Boston",12.7
2013,"Boston",11.46
2014,"Boston",11.22
2015,"Boston",11.48
2016,"Boston",12.5
2017,"Boston",12.03
2018,"Boston",12.03
2019,"Boston",11.83
2020,"Boston",12.28
1871,"Halifax",4.4
1872,"Halifax",4.78
1873,"Halifax",4.67
1874,"Halifax",4.89
1875,"Halifax",3.66
1876,"Halifax",4.46
1877,"Halifax",5.55
1878,"Halifax",6.08
1879,"Halifax",4.62
1880,"Halifax",4.88
1881,"Halifax",4.89
1882,"Halifax",4.47
1883,"Halifax",4.13
1884,"Halifax",4.62
1885,"Halifax",5.02
1886,"Halifax",5.64
1887,"Halifax",4.98
1888,"Halifax",4.22
1889,"Halifax",6.76
1890,"Halifax",4.95
1891,"Halifax",6.08
1892,"Halifax",5.82
1894,"Halifax",4.9
1895,"Halifax",5.91
1896,"Halifax",5.64
1897,"Halifax",5.63
1898,"Halifax",6.23
1899,"Halifax",5.62
1900,"Halifax",6.21
1901,"Halifax",6.48
1902,"Halifax",6.18
1903,"Halifax",5.49
1904,"Halifax",4
1905,"Halifax",4.43
1906,"Halifax",5.6
1907,"Halifax",4.48
1908,"Halifax",5.6
1909,"Halifax",5.64
1910,"Halifax",6
1911,"Halifax",5.28
1912,"Halifax",5.16
1913,"Halifax",6.29
1914,"Halifax",4.23
1915,"Halifax",6
1916,"Halifax",5.21
1917,"Halifax",4.64
1918,"Halifax",4.73
1919,"Halifax",5.45
1920,"Halifax",5.13
1921,"Halifax",5.52
1922,"Halifax",4.79
1923,"Halifax",4.49
1924,"Halifax",5.56
1925,"Halifax",5.16
1926,"Halifax",4.59
1927,"Halifax",5.21
1928,"Halifax",5.57
1929,"Halifax",5.46
1930,"Halifax",6.17
1931,"Halifax",6.76
1932,"Halifax",5.9
1933,"Halifax",5.49
1934,"Halifax",5.18
1935,"Halifax",5.28
1936,"Halifax",5.71
1937,"Halifax",6.54
1938,"Halifax",6.29
1939,"Halifax",5.64
1940,"Halifax",4.89
1941,"Halifax",4.93
1942,"Halifax",5.93
1943,"Halifax",5.32
1944,"Halifax",5.98
1945,"Halifax",6.02
1946,"Halifax",5.89
1947,"Halifax",6.21
1948,"Halifax",4.97
1949,"Halifax",6.87
1950,"Halifax",5.68
1951,"Halifax",7.23
1952,"Halifax",6.58
1953,"Halifax",7.47
1954,"Halifax",8.29
1960,"Halifax",6.61
1961,"Halifax",6.48
1962,"Halifax",5.73
1963,"Halifax",5.9
1964,"Halifax",5.98
1965,"Halifax",5.57
1966,"Halifax",6.89
1967,"Halifax",5.98
1968,"Halifax",6.38
1969,"Halifax",7.22
1970,"Halifax",6
1971,"Halifax",6.3
1972,"Halifax",5.45
1973,"Halifax",6.82
1974,"Halifax",5.83
1975,"Halifax",6.31
1976,"Halifax",6.72
1977,"Halifax",6.65
1978,"Halifax",5.83
1979,"Halifax",7.01
1980,"Halifax",5.78
1981,"Halifax",7.18
1982,"Halifax",6.37
1983,"Halifax",7.42
1984,"Halifax",7.3
1985,"Halifax",5.86
1986,"Halifax",5.95
