# Filename: airTemperatureAnnualAnomaly_Boston_en.dat
# Creation date: 2020-09-23 16:59:27
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Station name: Boston
# Station ID: USW00014739,USW00094701
# Longitude: -71.0106,-71.0667
# Latitude: 42.3606,42.35
# Elevation: 3.7,6.1
# Slope: 2.80 degC / 100 years
# Confidence interval: 2.5 % : 2.54 , 97.5 % : 3.03
# Climatological mean: 10.88
# Climatological standard deviation: 0.70
# Climatological reference years: 1981 to 2010
year,anomaly,normalizedAnomaly
1872,-2.76,-3.93
1873,-3.05,-4.34
1874,-2.84,-4.05
1875,-3.93,-5.59
1876,-3.24,-4.62
1877,-2.04,-2.90
1878,-1.96,-2.79
1879,-2.95,-4.20
1880,-1.92,-2.73
1881,-2.30,-3.28
1882,-2.72,-3.87
1883,-3.23,-4.59
1884,-2.61,-3.71
1885,-3.33,-4.73
1886,-2.98,-4.24
1887,-2.89,-4.12
1888,-3.56,-5.06
1889,-1.69,-2.41
1890,-2.54,-3.62
1891,-1.85,-2.64
1892,-2.40,-3.42
1893,-3.66,-5.20
1894,-2.26,-3.21
1895,-2.55,-3.63
1896,-2.90,-4.13
1897,-2.49,-3.55
1898,-2.06,-2.93
1899,-2.39,-3.39
1900,-1.99,-2.83
1901,-3.03,-4.32
1902,-2.65,-3.78
1903,-2.77,-3.95
1904,-4.19,-5.96
1905,-3.07,-4.37
1906,-2.57,-3.65
1907,-3.49,-4.97
1908,-2.17,-3.09
1909,-2.53,-3.60
1910,-2.40,-3.41
1911,-2.32,-3.30
1912,-2.51,-3.58
1913,-1.55,-2.20
1914,-2.99,-4.25
1915,-2.15,-3.06
1916,-3.00,-4.26
1917,-3.96,-5.64
1918,-2.90,-4.13
1919,-2.21,-3.15
1920,-2.81,-4.00
1921,-1.51,-2.15
1922,-2.12,-3.01
1923,-2.65,-3.77
1924,-2.59,-3.68
1925,-1.87,-2.66
1926,-3.38,-4.81
1927,-1.83,-2.60
1928,-2.08,-2.96
1929,-2.10,-2.98
1930,-1.54,-2.20
1931,-1.18,-1.68
1932,-1.47,-2.10
1933,-1.70,-2.42
1934,-2.85,-4.05
1935,-2.83,-4.02
1936,-1.51,-2.15
1937,-0.59,-0.84
1938,-0.86,-1.22
1939,-1.46,-2.07
1940,-2.31,-3.28
1941,-0.86,-1.22
1942,-0.88,-1.25
1943,-1.37,-1.95
1944,-0.77,-1.10
1945,-0.70,-0.99
1946,-0.61,-0.87
1947,-0.69,-0.98
1948,-1.20,-1.70
1949, 0.70, 0.99
1950,-0.86,-1.22
1951,-0.06,-0.08
1952, 0.12, 0.17
1953, 0.49, 0.69
1954,-0.69,-0.99
1955,-0.34,-0.48
1956,-1.15,-1.64
1957,-0.12,-0.17
1958,-1.30,-1.85
1959,-0.42,-0.60
1960,-0.54,-0.77
1961,-0.87,-1.24
1962,-1.39,-1.98
1963,-0.87,-1.23
1964,-1.20,-1.71
1965,-1.58,-2.25
1966,-0.53,-0.75
1967,-1.60,-2.28
1968,-1.12,-1.60
1969,-0.63,-0.90
1970,-0.72,-1.03
1971,-0.77,-1.09
1972,-0.97,-1.38
1973, 0.31, 0.44
1974,-0.84,-1.19
1975,-0.44,-0.62
1976,-0.32,-0.46
1977,-0.47,-0.67
1978,-1.38,-1.96
1979,-0.23,-0.33
1980,-0.74,-1.06
1981,-0.34,-0.49
1982,-1.02,-1.45
1983, 0.58, 0.82
1984,-0.42,-0.60
1985,-0.58,-0.83
1986,-0.66,-0.94
1987,-1.00,-1.42
1988,-0.34,-0.49
1989,-0.69,-0.98
1990, 0.37, 0.53
1991, 0.79, 1.13
1992,-1.06,-1.51
1993,-0.22,-0.32
1994,-0.14,-0.20
1995,-0.31,-0.45
1996,-0.34,-0.48
1997,-0.07,-0.10
1998, 1.03, 1.46
1999, 0.83, 1.18
2000,-0.18,-0.26
2001, 0.54, 0.76
2002, 1.19, 1.70
2003,-0.69,-0.98
2004,-0.27,-0.38
2005,-0.11,-0.16
2006, 0.93, 1.33
2007, 0.24, 0.34
2008, 0.55, 0.78
2009,-0.24,-0.35
2010, 1.67, 2.37
2011, 0.99, 1.41
2012, 1.82, 2.59
2013, 0.58, 0.82
2014, 0.34, 0.49
2015, 0.60, 0.86
2016, 1.62, 2.30
2017, 1.15, 1.63
2018, 1.15, 1.64
2019, 0.95, 1.35
2020, 1.40, 1.99
