# Filename: airTemperatureAnnualAnomaly_Halifax_en.dat
# Creation date: 2020-09-23 16:59:27
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Station name: Halifax
# Station ID: 8202251,8202251
# Longitude: -63.5,-63.509
# Latitude: 44.8,44.881
# Elevation: 14,NA
# Slope: 1.70 degC / 100 years
# Confidence interval: 2.5 % : 1.47 , 97.5 % : 1.98
# Climatological mean: 6.88
# Climatological standard deviation: 0.75
# Climatological reference years: 1981 to 2010
year,anomaly,normalizedAnomaly
1871,-2.48,-3.32
1872,-2.10,-2.81
1873,-2.21,-2.96
1874,-1.99,-2.67
1875,-3.22,-4.32
1876,-2.42,-3.25
1877,-1.33,-1.78
1878,-0.80,-1.07
1879,-2.26,-3.03
1880,-2.00,-2.69
1881,-1.99,-2.67
1882,-2.41,-3.24
1883,-2.75,-3.68
1884,-2.26,-3.03
1885,-1.86,-2.50
1886,-1.24,-1.66
1887,-1.90,-2.54
1888,-2.66,-3.57
1889,-0.12,-0.16
1890,-1.93,-2.59
1891,-0.80,-1.08
1892,-1.06,-1.42
1894,-1.98,-2.65
1895,-0.97,-1.30
1896,-1.24,-1.66
1897,-1.25,-1.68
1898,-0.65,-0.88
1899,-1.26,-1.69
1900,-0.67,-0.90
1901,-0.40,-0.54
1902,-0.70,-0.93
1903,-1.39,-1.86
1904,-2.88,-3.86
1905,-2.45,-3.29
1906,-1.28,-1.72
1907,-2.40,-3.22
1908,-1.28,-1.72
1909,-1.24,-1.66
1910,-0.88,-1.18
1911,-1.60,-2.14
1912,-1.72,-2.31
1913,-0.59,-0.79
1914,-2.65,-3.56
1915,-0.88,-1.18
1916,-1.67,-2.24
1917,-2.24,-3.00
1918,-2.15,-2.89
1919,-1.43,-1.92
1920,-1.75,-2.35
1921,-1.36,-1.83
1922,-2.09,-2.80
1923,-2.39,-3.20
1924,-1.32,-1.77
1925,-1.72,-2.31
1926,-2.29,-3.07
1927,-1.67,-2.24
1928,-1.31,-1.76
1929,-1.42,-1.91
1930,-0.71,-0.96
1931,-0.12,-0.16
1932,-0.98,-1.31
1933,-1.39,-1.86
1934,-1.70,-2.29
1935,-1.60,-2.14
1936,-1.17,-1.57
1937,-0.34,-0.45
1938,-0.59,-0.79
1939,-1.24,-1.66
1940,-1.99,-2.67
1941,-1.95,-2.61
1942,-0.95,-1.27
1943,-1.56,-2.10
1944,-0.90,-1.20
1945,-0.86,-1.16
1946,-0.99,-1.32
1947,-0.67,-0.90
1948,-1.91,-2.56
1949,-0.01,-0.02
1950,-1.20,-1.60
1951, 0.35, 0.46
1952,-0.30,-0.41
1953, 0.59, 0.79
1954, 1.41, 1.89
1960,-0.27,-0.37
1961,-0.40,-0.54
1962,-1.15,-1.54
1963,-0.98,-1.31
1964,-0.90,-1.21
1965,-1.31,-1.76
1966, 0.01, 0.02
1967,-0.90,-1.21
1968,-0.50,-0.66
1969, 0.34, 0.45
1970,-0.88,-1.18
1971,-0.58,-0.78
1972,-1.43,-1.92
1973,-0.06,-0.08
1974,-1.05,-1.41
1975,-0.57,-0.77
1976,-0.16,-0.22
1977,-0.23,-0.31
1978,-1.05,-1.40
1979, 0.13, 0.17
1980,-1.10,-1.47
1981, 0.30, 0.40
1982,-0.51,-0.69
1983, 0.54, 0.72
1984, 0.42, 0.57
1985,-1.02,-1.37
1986,-0.93,-1.25
1987,-0.65,-0.87
1988,-0.46,-0.62
1989,-1.02,-1.37
1990, 0.39, 0.52
1991, 0.17, 0.23
1992,-1.04,-1.39
1993,-0.95,-1.28
1994,-0.15,-0.19
1995,-0.25,-0.33
1996,-0.25,-0.34
1997,-0.89,-1.19
1998, 0.76, 1.02
1999, 1.69, 2.26
2000, 0.50, 0.67
2001, 0.62, 0.83
2002, 0.01, 0.02
2003, 0.13, 0.17
2004,-0.57,-0.77
2005, 0.33, 0.44
2006, 1.20, 1.60
2007,-0.38,-0.51
2008, 0.47, 0.63
2009, 0.01, 0.02
2010, 1.52, 2.04
2011, 0.70, 0.93
2012, 1.49, 2.00
2013, 0.22, 0.30
2014, 0.43, 0.58
2015,-0.22,-0.30
2016, 0.80, 1.07
2017, 0.80, 1.08
2018, 0.69, 0.92
2019, 0.06, 0.08
2020, 0.51, 0.69
