# Filename: airTemperatureAnnualAnomaly_SableIsland_en.dat
# Creation date: 2020-09-23 16:59:27
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Station name: Sable Island
# Station ID: 8204703,8204708
# Longitude: -59.9,-59.96
# Latitude: 43.9,43.946
# Elevation: 0,NA
# Slope: 1.40 degC / 100 years
# Confidence interval: 2.5 % : 1.03 , 97.5 % : 1.68
# Climatological mean: 8.01
# Climatological standard deviation: 0.69
# Climatological reference years: 1981 to 2010
year,anomaly,normalizedAnomaly
1897,-2.391,-3.47
1898,-0.324,-0.47
1899,-0.765,-1.11
1900,-0.090,-0.13
1901, 0.135, 0.20
1902,-0.149,-0.22
1903,-1.132,-1.64
1904,-1.390,-2.01
1905,-1.649,-2.39
1906,-0.607,-0.88
1907,-1.440,-2.09
1908,-0.457,-0.66
1909,-0.507,-0.73
1910, 0.151, 0.22
1911,-1.124,-1.63
1912,-1.507,-2.18
1913,-0.490,-0.71
1914,-1.990,-2.88
1915,-1.032,-1.50
1916,-1.224,-1.77
1917,-1.040,-1.51
1918,-1.407,-2.04
1919,-1.307,-1.89
1920,-0.782,-1.13
1921,-2.094,-3.03
1922,-1.255,-1.82
1923,-1.990,-2.88
1924,-1.299,-1.88
1925,-1.532,-2.22
1926,-1.457,-2.11
1927,-0.340,-0.49
1928,-0.607,-0.88
1929,-1.024,-1.48
1930,-0.407,-0.59
1931, 0.460, 0.67
1932,-0.515,-0.75
1933,-0.565,-0.82
1934,-0.757,-1.10
1935,-1.607,-2.33
1936,-0.432,-0.63
1937, 0.134, 0.19
1938,-0.190,-0.28
1939,-1.349,-1.95
1940,-1.132,-1.64
1941,-1.724,-2.50
1942,-0.107,-0.16
1943,-0.924,-1.34
1944,-0.624,-0.90
1945,-0.349,-0.51
1946,-0.257,-0.37
1947,-0.239,-0.35
1948,-1.524,-2.21
1949, 0.343, 0.50
1950,-0.565,-0.82
1951, 1.318, 1.91
1952, 0.568, 0.82
1953, 0.468, 0.68
1954, 0.376, 0.55
1955,-0.949,-1.37
1956,-0.524,-0.76
1957,-0.607,-0.88
1958, 0.176, 0.26
1959,-1.274,-1.85
1960, 0.276, 0.40
1961,-0.382,-0.55
1962,-0.924,-1.34
1963,-0.807,-1.17
1964,-0.965,-1.40
1965,-1.507,-2.18
1966,-0.365,-0.53
1967,-0.015,-0.02
1968,-0.307,-0.44
1969, 0.276, 0.40
1970,-0.132,-0.19
1971,-0.057,-0.08
1972,-0.749,-1.08
1973,-0.432,-0.63
1974,-0.999,-1.45
1975,-0.949,-1.37
1976,-0.007,-0.01
1977,-0.257,-0.37
1978,-0.640,-0.93
1979, 0.093, 0.13
1980,-0.974,-1.41
1981, 0.618, 0.90
1982,-0.440,-0.64
1983, 0.668, 0.97
1984, 0.668, 0.97
1985,-1.240,-1.80
1986,-0.907,-1.31
1987,-0.682,-0.99
1988,-0.432,-0.63
1989,-0.540,-0.78
1990,-0.174,-0.25
1991,-0.157,-0.23
1992,-0.782,-1.13
1993,-0.349,-0.51
1994, 0.210, 0.30
1995,-0.266,-0.38
1996,-0.296,-0.43
1997,-0.874,-1.27
1998, 0.401, 0.58
1999, 1.635, 2.37
2000, 0.793, 1.15
2001, 0.268, 0.39
2002, 0.026, 0.04
2003,-0.049,-0.07
2004,-0.474,-0.69
2005, 0.485, 0.70
2006, 1.135, 1.64
2007,-0.357,-0.52
2008, 0.218, 0.32
2009, 0.325, 0.47
2010, 1.319, 1.91
2011, 0.585, 0.85
2012, 1.718, 2.49
2013, 0.768, 1.11
2014, 1.196, 1.73
2015, 0.959, 1.39
2016, 1.125, 1.63
2017, 0.618, 0.90
2018, 0.626, 0.91
2019,-0.224,-0.32
2020, 0.774, 1.12
