# Filename: airTemperatureAnnualAnomaly_SaintJohn_en.dat
# Creation date: 2020-09-23 16:59:27
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Station name: Saint John
# Station ID: 8104901,8104901
# Longitude: -65.8,-65.89
# Latitude: 45.3,45.316
# Elevation: 10,NA
# Slope: 1.40 degC / 100 years
# Confidence interval: 2.5 % : 1.17 , 97.5 % : 1.68
# Climatological mean: 5.41
# Climatological standard deviation: 0.81
# Climatological reference years: 1981 to 2010
year,anomaly,normalizedAnomaly
1871,-2.41,-2.98
1872,-2.19,-2.71
1873,-2.20,-2.73
1874,-1.89,-2.33
1875,-3.06,-3.79
1876,-2.14,-2.65
1877,-1.21,-1.50
1878,-0.84,-1.03
1879,-2.34,-2.89
1880,-1.65,-2.05
1881,-1.54,-1.90
1882,-2.30,-2.85
1883,-2.43,-3.00
1884,-2.13,-2.63
1885,-2.22,-2.75
1886,-1.52,-1.88
1887,-2.08,-2.57
1888,-2.43,-3.00
1889,-0.44,-0.55
1890,-1.41,-1.75
1891,-0.38,-0.47
1892,-0.85,-1.06
1893,-1.56,-1.93
1894,-1.35,-1.67
1895,-0.75,-0.93
1896,-1.32,-1.63
1897,-1.13,-1.40
1898,-0.64,-0.79
1899,-1.24,-1.54
1900,-0.55,-0.68
1901,-0.34,-0.42
1902,-0.19,-0.24
1903,-0.63,-0.78
1904,-2.15,-2.66
1905,-1.54,-1.90
1906,-0.52,-0.64
1907,-1.63,-2.01
1908,-0.59,-0.74
1909,-0.44,-0.54
1910,-0.07,-0.09
1911,-0.83,-1.02
1912,-1.44,-1.78
1913,-0.27,-0.33
1914,-1.44,-1.78
1915,-0.03,-0.03
1916,-1.28,-1.58
1917,-2.10,-2.60
1918,-1.61,-1.99
1919,-0.80,-0.99
1920,-1.11,-1.38
1921,-0.29,-0.36
1922,-1.17,-1.45
1923,-1.90,-2.35
1924,-1.21,-1.50
1925,-1.15,-1.43
1926,-1.80,-2.23
1927,-0.34,-0.43
1928,-0.61,-0.76
1929,-0.88,-1.09
1930,-0.05,-0.07
1931, 0.50, 0.62
1932,-0.05,-0.07
1933,-0.66,-0.82
1934,-1.34,-1.66
1935,-1.04,-1.28
1936,-0.70,-0.87
1937, 0.54, 0.67
1938,-0.23,-0.28
1939,-0.84,-1.03
1940,-1.03,-1.27
1941,-0.64,-0.79
1942,-0.39,-0.48
1943,-1.04,-1.29
1944,-0.34,-0.42
1945,-0.29,-0.35
1946,-0.19,-0.24
1947,-1.18,-1.47
1948,-2.03,-2.51
1949,-0.60,-0.75
1950,-1.56,-1.93
1952, 0.28, 0.35
1953, 1.13, 1.40
1954,-0.04,-0.04
1955,-0.83,-1.02
1956,-1.13,-1.40
1957,-0.20,-0.25
1958,-0.64,-0.80
1959,-0.50,-0.62
1960, 0.20, 0.24
1961,-0.69,-0.86
1962,-1.09,-1.34
1963,-1.23,-1.52
1964,-1.00,-1.24
1965,-1.62,-2.00
1966,-0.20,-0.25
1967,-1.39,-1.73
1968,-0.84,-1.03
1969, 0.11, 0.13
1970,-0.94,-1.17
1971,-0.59,-0.74
1972,-1.44,-1.79
1973, 0.36, 0.45
1974,-0.82,-1.01
1975,-0.56,-0.69
1976,-0.59,-0.74
1977,-0.40,-0.50
1978,-1.11,-1.38
1979, 0.41, 0.50
1980,-0.99,-1.22
1981, 0.02, 0.03
1982,-0.88,-1.09
1983, 0.62, 0.77
1984, 0.27, 0.34
1985,-0.95,-1.18
1986,-0.79,-0.98
1987,-0.52,-0.64
1988,-0.44,-0.54
1989,-1.21,-1.50
1990, 0.53, 0.66
1991, 0.05, 0.06
1992,-1.09,-1.35
1993,-0.81,-1.00
1994,-0.44,-0.55
1995,-0.04,-0.04
1996,-0.14,-0.17
1997,-0.82,-1.01
1998, 1.02, 1.27
1999, 1.68, 2.08
2000, 0.26, 0.33
2001, 0.39, 0.48
2002, 0.12, 0.15
2003,-0.34,-0.43
2004,-0.74,-0.91
2005, 0.41, 0.50
2006, 1.61, 2.00
2007,-0.20,-0.25
2008, 0.66, 0.81
2009,-0.02,-0.02
2010, 1.79, 2.21
2011, 0.91, 1.12
2012, 1.59, 1.97
2013, 0.36, 0.45
2014, 0.21, 0.26
2015,-0.35,-0.44
2016, 0.99, 1.22
2017, 0.87, 1.08
2018, 0.46, 0.56
2019,-0.04,-0.06
2020, 0.77, 0.95
