# Filename: airTemperatureAnnualAnomaly_Sydney_en.dat
# Creation date: 2020-09-23 16:59:27
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Station name: Sydney
# Station ID: 8205702,8205702
# Longitude: -60,-60.042
# Latitude: 46.1,46.163
# Elevation: 6,NA
# Slope: 1.30 degC / 100 years
# Confidence interval: 2.5 % : 1.08 , 97.5 % : 1.61
# Climatological mean: 6.18
# Climatological standard deviation: 0.81
# Climatological reference years: 1981 to 2010
year,anomaly,normalizedAnomaly
1870,-0.678,-0.837
1872,-2.245,-2.771
1873,-2.414,-2.979
1874,-2.145,-2.647
1875,-3.270,-4.036
1876,-2.020,-2.493
1877,-1.537,-1.897
1878,-0.521,-0.643
1879,-1.987,-2.452
1880,-2.078,-2.565
1881,-1.753,-2.164
1882,-2.095,-2.586
1883,-2.228,-2.750
1884,-1.978,-2.442
1885,-1.645,-2.030
1886,-0.495,-0.611
1887,-1.362,-1.681
1888,-1.703,-2.102
1889, 0.438, 0.541
1890,-1.462,-1.804
1891,-0.662,-0.817
1892,-0.287,-0.354
1893,-1.073,-1.325
1894,-1.745,-2.154
1895,-0.687,-0.848
1896,-1.278,-1.578
1897,-1.362,-1.681
1898,-0.545,-0.673
1899,-1.312,-1.619
1900,-0.662,-0.817
1901, 0.205, 0.253
1902,-0.178,-0.220
1903,-1.528,-1.886
1904,-2.003,-2.473
1905,-2.062,-2.545
1906,-0.678,-0.837
1907,-2.087,-2.575
1908,-0.553,-0.683
1909,-0.370,-0.457
1910, 0.072, 0.088
1911,-1.087,-1.341
1912,-1.295,-1.598
1913,-0.270,-0.333
1914,-1.712,-2.113
1915,-0.370,-0.457
1916,-0.728,-0.899
1917,-0.987,-1.218
1918,-1.370,-1.691
1919,-0.562,-0.693
1920,-0.720,-0.889
1921,-0.878,-1.084
1922,-1.628,-2.010
1923,-2.020,-2.493
1924,-0.837,-1.033
1925,-1.645,-2.030
1926,-1.753,-2.164
1927,-0.437,-0.539
1928,-0.620,-0.765
1929,-0.987,-1.218
1930, 0.230, 0.284
1931, 0.572, 0.706
1932,-0.345,-0.426
1933,-0.712,-0.878
1934,-1.112,-1.372
1935,-1.045,-1.290
1936,-0.220,-0.272
1937, 0.572, 0.706
1938,-0.078,-0.097
1939,-0.987,-1.218
1940,-1.187,-1.465
1941,-1.395,-1.722
1942, 0.222, 0.274
1943,-1.012,-1.249
1944, 0.122, 0.150
1945, 0.305, 0.376
1946, 0.088, 0.109
1947, 0.063, 0.078
1948,-0.928,-1.146
1949, 0.455, 0.562
1950,-0.378,-0.467
1951, 1.113, 1.374
1952, 0.638, 0.788
1953, 0.830, 1.024
1954, 0.305, 0.376
1955,-0.312,-0.385
1956,-0.395,-0.488
1957,-0.437,-0.539
1958, 0.188, 0.232
1959,-0.670,-0.827
1960, 0.580, 0.716
1961,-0.028,-0.035
1962,-0.828,-1.022
1963,-0.453,-0.560
1964,-1.012,-1.249
1965,-1.153,-1.423
1966, 0.580, 0.716
1967, 0.013, 0.016
1968,-0.345,-0.426
1969, 0.722, 0.891
1970,-0.262,-0.323
1971, 0.005, 0.006
1972,-1.345,-1.660
1973,-0.337,-0.416
1974,-1.428,-1.763
1975,-0.912,-1.125
1976,-0.512,-0.632
1977,-0.328,-0.405
1978,-0.828,-1.022
1979, 0.388, 0.479
1980,-1.120,-1.382
1981, 0.513, 0.634
1982,-0.745,-0.920
1983, 0.605, 0.747
1984, 0.272, 0.335
1985,-1.278,-1.578
1986,-1.337,-1.650
1987,-0.495,-0.611
1988,-0.412,-0.508
1989,-0.778,-0.961
1990, 0.047, 0.058
1991,-0.320,-0.395
1992,-1.112,-1.372
1993,-1.003,-1.238
1994,-0.245,-0.302
1995,-0.187,-0.230
1996, 0.063, 0.078
1997,-1.037,-1.279
1998, 0.780, 0.963
1999, 1.772, 2.187
2000, 0.497, 0.613
2001, 0.572, 0.706
2002,-0.137,-0.169
2003,-0.037,-0.045
2004,-0.278,-0.344
2005, 0.730, 0.901
2006, 1.555, 1.919
2007,-0.145,-0.179
2008, 0.472, 0.582
2009, 0.197, 0.243
2010, 1.472, 1.816
2011, 0.522, 0.644
2012, 1.647, 2.032
2013, 0.497, 0.613
2014, 0.297, 0.366
2015,-0.312,-0.384
2016, 1.020, 1.259
2017, 0.788, 0.973
2018, 0.380, 0.469
2019,-0.128,-0.158
2020, 0.202, 0.249
