# Filename: airTemperatureAnnualAnomaly_Yarmouth_en.dat
# Creation date: 2020-09-23 16:59:27
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Station name: Yarmouth
# Station ID: 8206491,8206491
# Longitude: -66,-66.088
# Latitude: 43.8,43.831
# Elevation: 3,NA
# Slope: 1.10 degC / 100 years
# Confidence interval: 2.5 % : 0.82 , 97.5 % : 1.31
# Climatological mean: 7.41
# Climatological standard deviation: 0.60
# Climatological reference years: 1981 to 2010
year,anomaly,normalizedAnomaly
1879,-1.295,-2.146
1880,-0.714,-1.184
1881,-0.871,-1.444
1882,-1.907,-3.161
1883,-1.948,-3.229
1884,-1.173,-1.944
1885,-0.945,-1.566
1886,-0.695,-1.153
1887,-1.164,-1.930
1888,-1.706,-2.828
1889, 0.511, 0.846
1890,-0.623,-1.032
1891, 0.036, 0.059
1892,-0.606,-1.005
1893,-1.306,-2.165
1894,-0.906,-1.502
1895,-0.423,-0.701
1896,-0.998,-1.654
1897,-0.914,-1.516
1898,-0.589,-0.977
1899,-0.731,-1.212
1900,-0.156,-0.259
1901,-0.273,-0.452
1902,-0.414,-0.687
1903,-0.423,-0.701
1904,-2.014,-3.339
1905,-1.706,-2.828
1906,-0.748,-1.240
1907,-1.773,-2.939
1908,-0.639,-1.060
1909,-0.589,-0.977
1910,-0.098,-0.162
1911,-0.681,-1.129
1912,-1.048,-1.737
1913, 0.144, 0.239
1914,-1.489,-2.469
1915,-0.431,-0.715
1916,-1.456,-2.414
1917,-1.898,-3.146
1918,-1.323,-2.193
1919,-0.598,-0.991
1920,-0.981,-1.626
1921,-0.306,-0.507
1922,-0.862,-1.428
1923,-1.752,-2.905
1924,-1.056,-1.751
1925,-1.198,-1.986
1926,-1.673,-2.773
1927,-0.381,-0.632
1928,-0.464,-0.770
1929,-0.764,-1.267
1930, 0.069, 0.114
1931, 0.669, 1.109
1932,-0.056,-0.093
1933,-0.398,-0.659
1934,-0.764,-1.267
1935,-0.639,-1.060
1936,-0.223,-0.369
1937, 0.552, 0.915
1938,-0.164,-0.273
1939,-0.664,-1.101
1940,-1.264,-2.096
1941,-1.014,-1.682
1942,-0.548,-0.908
1943,-0.581,-0.963
1944,-0.206,-0.342
1945,-0.189,-0.314
1946,-0.264,-0.438
1947, 0.077, 0.128
1948,-0.798,-1.322
1949, 0.611, 1.012
1950,-0.373,-0.618
1951, 0.944, 1.565
1952, 0.244, 0.404
1953, 0.894, 1.482
1954,-0.089,-0.148
1955,-0.564,-0.936
1956,-0.731,-1.212
1957,-0.106,-0.176
1958,-0.506,-0.839
1959,-0.414,-0.687
1960, 0.002, 0.004
1961,-0.514,-0.853
1962,-0.956,-1.585
1963,-0.756,-1.253
1964,-0.931,-1.543
1965,-1.556,-2.580
1966,-0.498,-0.825
1967,-0.981,-1.626
1968,-0.439,-0.728
1969, 0.269, 0.446
1970,-0.623,-1.032
1971,-0.373,-0.618
1972,-0.914,-1.516
1973, 0.244, 0.404
1974,-0.781,-1.295
1975,-0.356,-0.590
1976,-0.189,-0.314
1977,-0.398,-0.659
1978,-1.023,-1.695
1979, 0.238, 0.394
1980,-0.756,-1.253
1981, 0.119, 0.197
1982,-0.398,-0.659
1983, 0.336, 0.556
1984, 0.352, 0.584
1985,-0.581,-0.963
1986,-0.356,-0.590
1987,-0.423,-0.701
1988,-0.273,-0.452
1989,-0.648,-1.074
1990, 0.611, 1.012
1991, 0.169, 0.280
1992,-1.198,-1.986
1993,-0.589,-0.977
1994,-0.148,-0.245
1995,-0.023,-0.038
1996,-0.489,-0.811
1997,-0.623,-1.032
1998, 0.469, 0.777
1999, 1.319, 2.186
2000, 0.327, 0.542
2001, 0.194, 0.321
2002, 0.386, 0.639
2003,-0.231,-0.383
2004,-0.914,-1.516
2005, 0.094, 0.156
2006, 1.044, 1.730
2007,-0.381,-0.632
2008, 0.469, 0.777
2009, 0.144, 0.239
2010, 1.244, 2.062
2011, 1.086, 1.800
2012, 2.132, 3.534
2013, 0.627, 1.040
2014, 0.752, 1.247
2015, 0.177, 0.294
2016, 1.336, 2.214
2017, 0.734, 1.217
2018, 0.927, 1.537
2019, 0.027, 0.045
2020, 0.897, 1.488
