"year","area","salinity","density_gradient_0_50","sea_temperature"
1948,"scotian_shelf_box",0.068,-0.00139,-1.396
1949,"scotian_shelf_box",0.252,-0.00968,0.545
1950,"scotian_shelf_box",0.511,-0.01883,-0.373
1951,"scotian_shelf_box",0.08,-0.00092,1.364
1952,"scotian_shelf_box",-0.043,0.00155,0.5
1953,"scotian_shelf_box",0.059,-0.00313,0.248
1954,"scotian_shelf_box",0.266,-0.0081,-0.57
1955,"scotian_shelf_box",-0.168,0.00138,-0.331
1956,"scotian_shelf_box",0.508,-0.0107,-0.123
1957,"scotian_shelf_box",-0.185,0.00166,-0.164
1958,"scotian_shelf_box",0.137,-0.01261,-0.994
1959,"scotian_shelf_box",0.136,-0.0045,-0.562
1960,"scotian_shelf_box",0.486,-0.00675,-0.908
1961,"scotian_shelf_box",0.139,-0.00554,-1.184
1962,"scotian_shelf_box",0.158,-0.00914,-1.783
1963,"scotian_shelf_box",0.292,-0.00468,0.293
1964,"scotian_shelf_box",0.311,-0.0063,-1.782
1965,"scotian_shelf_box",0.318,-0.00599,-1.591
1966,"scotian_shelf_box",0.393,-0.00485,-0.395
1967,"scotian_shelf_box",0.192,-0.00387,-1.051
1968,"scotian_shelf_box",0.352,-0.00841,-0.552
1969,"scotian_shelf_box",0.377,-0.00674,-0.085
1970,"scotian_shelf_box",-0.024,-0.00289,0.244
1971,"scotian_shelf_box",-0.176,-0.00294,-1.003
1972,"scotian_shelf_box",0.335,-0.00578,-0.053
1973,"scotian_shelf_box",-0.136,-0.00339,-0.669
1974,"scotian_shelf_box",0.417,-0.01529,-1.458
1975,"scotian_shelf_box",0.165,-0.00859,-0.685
1976,"scotian_shelf_box",0.241,-0.00662,-0.379
1977,"scotian_shelf_box",0.273,-0.00272,-0.862
1978,"scotian_shelf_box",-0.128,0.00044,0.059
1979,"scotian_shelf_box",0.207,-0.00531,-0.048
1980,"scotian_shelf_box",0.259,-0.00796,-0.727
1981,"scotian_shelf_box",0.071,-0.0014,-0.036
1982,"scotian_shelf_box",0.275,-0.00486,0.103
1983,"scotian_shelf_box",-0.036,0.00265,0.915
1984,"scotian_shelf_box",-0.167,-0.00276,0.03
1985,"scotian_shelf_box",0.171,-0.01193,-1.855
1986,"scotian_shelf_box",0.142,-0.00847,-0.881
1987,"scotian_shelf_box",0.282,-0.00121,0.348
1988,"scotian_shelf_box",0.088,-0.00017,-0.093
1989,"scotian_shelf_box",0.294,-0.00493,-0.251
1990,"scotian_shelf_box",0.405,-0.00486,-0.571
1991,"scotian_shelf_box",-0.176,0.00107,-0.416
1992,"scotian_shelf_box",0.027,-0.00285,-0.956
1993,"scotian_shelf_box",0.098,-0.00067,-0.715
1994,"scotian_shelf_box",-0.322,0.0065,0.294
1995,"scotian_shelf_box",-0.136,-2e-05,-0.436
1996,"scotian_shelf_box",-0.033,-0.0013,-0.915
1997,"scotian_shelf_box",-0.14,-0.00037,-0.575
1998,"scotian_shelf_box",-0.415,0.01015,0.112
1999,"scotian_shelf_box",0.023,0.00394,0.873
2000,"scotian_shelf_box",0.141,-0.00014,0.855
2001,"scotian_shelf_box",0.113,-0.00224,-0.167
2002,"scotian_shelf_box",0.114,-0.00478,-0.366
2003,"scotian_shelf_box",0.347,9e-04,-0.056
2004,"scotian_shelf_box",0.187,-0.00396,-0.714
2005,"scotian_shelf_box",0.091,0.00068,0.081
2006,"scotian_shelf_box",-0.047,0.00374,0.587
2007,"scotian_shelf_box",0.04,0.00153,-0.505
2008,"scotian_shelf_box",-0.02,0.00379,0.349
2009,"scotian_shelf_box",0.126,-0.00242,0.15
2010,"scotian_shelf_box",0.009,0.00594,1.737
2011,"scotian_shelf_box",-0.068,-0.00529,-0.462
2012,"scotian_shelf_box",-0.087,0.00596,2.236
2013,"scotian_shelf_box",-0.094,0.00603,0.882
2014,"scotian_shelf_box",0.267,0.00143,1.178
2015,"scotian_shelf_box",0.206,-0.00128,0.367
2016,"scotian_shelf_box",0.015,0.00391,1.337
2017,"scotian_shelf_box",-0.141,0.00281,0.991
2018,"scotian_shelf_box",0.048,-0.00271,0.577
2019,"scotian_shelf_box",-0.321,0.00027,-0.041
