# Filename: areasAnalysis_sigmaThetaGradient_en.dat
# Creation date: 2020-09-24 16:32:54
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Variable: Density gradient
# Depth: NA
# Boundary longitude: -65.55,-66.1,-67,-66.62,-66.52,-65.6,-65.61,-64.97,-64.25,-63.75,-63.25,-61.73,-61.31,-61.16,-60.93,-60.93,-59.825,-59.03,-58.5,-58.2,-57.6,-57.06,-58.88,-58.97,-61,-61.82,-62.2,-62.77,-63.85,-64.23,-64.95,-65.55
# Boundary latitude: 42.13,42.56,42.79,42.88,43.1,43.16,43.4,43.71,44.061,44.3058,44.55,45.02,45.2316,45.18,45.25,45.36,45.989,46.38,46.02,45.82,45.12,44.45,43.91,43.9,43.3,43.01,42.96,42.91,42.79,42.73,42.42,42.13
# Slope: 0.34
# Slope unit: kg m^-3
# Climatological mean: -0.00
# Climatological standard deviation: 0.00
# Climatological reference years: 1981 to 2010
year,anomaly
1948,-0.00139
1949,-0.00968
1950,-0.01883
1951,-0.00092
1952, 0.00155
1953,-0.00313
1954,-0.00810
1955, 0.00138
1956,-0.01070
1957, 0.00166
1958,-0.01261
1959,-0.00450
1960,-0.00675
1961,-0.00554
1962,-0.00914
1963,-0.00468
1964,-0.00630
1965,-0.00599
1966,-0.00485
1967,-0.00387
1968,-0.00841
1969,-0.00674
1970,-0.00289
1971,-0.00294
1972,-0.00578
1973,-0.00339
1974,-0.01529
1975,-0.00859
1976,-0.00662
1977,-0.00272
1978, 0.00044
1979,-0.00531
1980,-0.00796
1981,-0.00140
1982,-0.00486
1983, 0.00265
1984,-0.00276
1985,-0.01193
1986,-0.00847
1987,-0.00121
1988,-0.00017
1989,-0.00493
1990,-0.00486
1991, 0.00107
1992,-0.00285
1993,-0.00067
1994, 0.00650
1995,-0.00002
1996,-0.00130
1997,-0.00037
1998, 0.01015
1999, 0.00394
2000,-0.00014
2001,-0.00224
2002,-0.00478
2003, 0.00090
2004,-0.00396
2005, 0.00068
2006, 0.00374
2007, 0.00153
2008, 0.00379
2009,-0.00242
2010, 0.00594
2011,-0.00529
2012, 0.00596
2013, 0.00603
2014, 0.00143
2015,-0.00128
2016, 0.00391
2017, 0.00281
2018,-0.00271
2019, 0.00027
