# Filename: areasAnalysis_temperature0m_en.dat
# Creation date: 2020-11-19 12:17:39
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Area name: Scotian Shelf
# Variable: Temperature
# Depth: 0m
# Boundary longitude: -65.55,-66.1,-67,-66.62,-66.52,-65.6,-65.61,-64.97,-64.25,-63.75,-63.25,-61.73,-61.31,-61.16,-60.93,-60.93,-59.825,-59.03,-58.5,-58.2,-57.6,-57.06,-58.88,-58.97,-61,-61.82,-62.2,-62.77,-63.85,-64.23,-64.95,-65.55
# Boundary latitude: 42.13,42.56,42.79,42.88,43.1,43.16,43.4,43.71,44.061,44.3058,44.55,45.02,45.2316,45.18,45.25,45.36,45.989,46.38,46.02,45.82,45.12,44.45,43.91,43.9,43.3,43.01,42.96,42.91,42.79,42.73,42.42,42.13
# Slope: 0.82
# Slope unit: degreeC
# Climatological mean: -0.06
# Climatological standard deviation: 0.70
# Climatological reference years: 1981 to 2010
year,anomaly
1948,-1.336
1949, 0.605
1950,-0.313
1951, 1.424
1952, 0.560
1953, 0.308
1954,-0.510
1955,-0.271
1956,-0.063
1957,-0.104
1958,-0.934
1959,-0.502
1960,-0.848
1961,-1.124
1962,-1.723
1963, 0.353
1964,-1.722
1965,-1.531
1966,-0.335
1967,-0.991
1968,-0.492
1969,-0.025
1970, 0.304
1971,-0.943
1972, 0.007
1973,-0.609
1974,-1.398
1975,-0.625
1976,-0.319
1977,-0.802
1978, 0.119
1979, 0.012
1980,-0.667
1981, 0.024
1982, 0.163
1983, 0.975
1984, 0.090
1985,-1.795
1986,-0.821
1987, 0.408
1988,-0.033
1989,-0.191
1990,-0.511
1991,-0.356
1992,-0.896
1993,-0.655
1994, 0.354
1995,-0.376
1996,-0.855
1997,-0.515
1998, 0.172
1999, 0.933
2000, 0.915
2001,-0.107
2002,-0.306
2003, 0.004
2004,-0.654
2005, 0.141
2006, 0.647
2007,-0.445
2008, 0.409
2009, 0.210
2010, 1.797
2011,-0.402
2012, 2.296
2013, 0.942
2014, 1.238
2015, 0.427
2016, 1.397
2017, 1.051
2018, 0.637
2019, 0.019
