"year","area","temperature_at_sea_floor"
1952,"Cabot Strait",4.872
1953,"Cabot Strait",5.054
1954,"Cabot Strait",5.362
1955,"Cabot Strait",4.777
1956,"Cabot Strait",4.867
1957,"Cabot Strait",5.495
1959,"Cabot Strait",4.772
1960,"Cabot Strait",4.662
1961,"Cabot Strait",4.9
1962,"Cabot Strait",4.878
1964,"Cabot Strait",4.409
1965,"Cabot Strait",4.073
1966,"Cabot Strait",4.018
1967,"Cabot Strait",4.258
1968,"Cabot Strait",4.591
1969,"Cabot Strait",4.98
1970,"Cabot Strait",5.299
1971,"Cabot Strait",5.283
1972,"Cabot Strait",5.188
1973,"Cabot Strait",5.249
1974,"Cabot Strait",5.397
1975,"Cabot Strait",5.284
1976,"Cabot Strait",5.901
1977,"Cabot Strait",5.848
1978,"Cabot Strait",6.105
1979,"Cabot Strait",6.473
1980,"Cabot Strait",5.979
1981,"Cabot Strait",5.721
1982,"Cabot Strait",5.512
1983,"Cabot Strait",5.785
1984,"Cabot Strait",5.856
1985,"Cabot Strait",6.151
1986,"Cabot Strait",6.081
1987,"Cabot Strait",5.761
1988,"Cabot Strait",5.679
1989,"Cabot Strait",5.654
1990,"Cabot Strait",5.344
1991,"Cabot Strait",4.521
1992,"Cabot Strait",5.25
1993,"Cabot Strait",6.161
1994,"Cabot Strait",5.61
1995,"Cabot Strait",5.522
1996,"Cabot Strait",5.469
1997,"Cabot Strait",5.769
1998,"Cabot Strait",5.326
1999,"Cabot Strait",5.892
2000,"Cabot Strait",5.705
2001,"Cabot Strait",5.834
2002,"Cabot Strait",5.973
2003,"Cabot Strait",5.826
2004,"Cabot Strait",5.832
2005,"Cabot Strait",5.751
2006,"Cabot Strait",5.734
2007,"Cabot Strait",5.487
2008,"Cabot Strait",5.522
2009,"Cabot Strait",5.165
2010,"Cabot Strait",5.933
2011,"Cabot Strait",6.217
2012,"Cabot Strait",6.599
2013,"Cabot Strait",5.805
2014,"Cabot Strait",6.499
2015,"Cabot Strait",6.48
2016,"Cabot Strait",6.798
2017,"Cabot Strait",6.8
2018,"Cabot Strait",6.574
2019,"Cabot Strait",7.252
1950,"E Georges Bank",8.05
1951,"E Georges Bank",9.41
1952,"E Georges Bank",8.35
1953,"E Georges Bank",8.28
1954,"E Georges Bank",9.57
1955,"E Georges Bank",8.31
1956,"E Georges Bank",7.58
1957,"E Georges Bank",8.03
1958,"E Georges Bank",7.81
1959,"E Georges Bank",7.41
1960,"E Georges Bank",6.84
1961,"E Georges Bank",6.19
1962,"E Georges Bank",6.25
1963,"E Georges Bank",7.03
1964,"E Georges Bank",6.38
1965,"E Georges Bank",6.38
1966,"E Georges Bank",6
1967,"E Georges Bank",6.97
1968,"E Georges Bank",6.87
1969,"E Georges Bank",7.74
1970,"E Georges Bank",6.79
1971,"E Georges Bank",7.34
1972,"E Georges Bank",7.43
1973,"E Georges Bank",8.48
1974,"E Georges Bank",8.78
1975,"E Georges Bank",7.9
1976,"E Georges Bank",8.44
1977,"E Georges Bank",7.77
1978,"E Georges Bank",7.57
1979,"E Georges Bank",8.39
1980,"E Georges Bank",8.62
1981,"E Georges Bank",7.65
1982,"E Georges Bank",7.16
1983,"E Georges Bank",8.12
1984,"E Georges Bank",8.21
1985,"E Georges Bank",8.78
1986,"E Georges Bank",8.07
1987,"E Georges Bank",7.07
1988,"E Georges Bank",7.8
1989,"E Georges Bank",7.25
1990,"E Georges Bank",8.11
1991,"E Georges Bank",8.34
1992,"E Georges Bank",7.46
1993,"E Georges Bank",7.53
1994,"E Georges Bank",8.26
1995,"E Georges Bank",8.19
1996,"E Georges Bank",7.58
1997,"E Georges Bank",8.15
1998,"E Georges Bank",7.51
1999,"E Georges Bank",8.52
2000,"E Georges Bank",8.55
2001,"E Georges Bank",8.69
2002,"E Georges Bank",8.7
2003,"E Georges Bank",7.43
2004,"E Georges Bank",6.47
2005,"E Georges Bank",6.94
2006,"E Georges Bank",7.98
2007,"E Georges Bank",7.03
2008,"E Georges Bank",7.82
2009,"E Georges Bank",8.05
