# Filename: areasTemperatureAnnualAnomaly_EGeorgesBank_en.dat
# Creation date: 2020-09-23 19:08:00
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Area name: E Georges Bank
# Area number: 28
# Area longitude: -67,-66.32,-65.72,-66,-67
# Area latitude: 42.18,42.18,41.9,41.5,41.5
# Climatological mean: 7.85
# Climatological reference years: 1981 to 2010
year,depth,anomaly
1950,50, 0.20
1951,50, 1.56
1952,50, 0.50
1953,50, 0.43
1954,50, 1.72
1955,50, 0.46
1956,50,-0.27
1957,50, 0.18
1958,50,-0.04
1959,50,-0.44
1960,50,-1.01
1961,50,-1.66
1962,50,-1.60
1963,50,-0.82
1964,50,-1.47
1965,50,-1.47
1966,50,-1.85
1967,50,-0.88
1968,50,-0.98
1969,50,-0.11
1970,50,-1.06
1971,50,-0.51
1972,50,-0.42
1973,50, 0.63
1974,50, 0.93
1975,50, 0.05
1976,50, 0.59
1977,50,-0.08
1978,50,-0.28
1979,50, 0.54
1980,50, 0.77
1981,50,-0.20
1982,50,-0.69
1983,50, 0.27
1984,50, 0.36
1985,50, 0.93
1986,50, 0.22
1987,50,-0.78
1988,50,-0.05
1989,50,-0.60
1990,50, 0.26
1991,50, 0.49
1992,50,-0.39
1993,50,-0.32
1994,50, 0.41
1995,50, 0.34
1996,50,-0.27
1997,50, 0.30
1998,50,-0.34
1999,50, 0.67
2000,50, 0.70
2001,50, 0.84
2002,50, 0.85
2003,50,-0.42
2004,50,-1.38
2005,50,-0.91
2006,50, 0.13
2007,50,-0.82
2008,50,-0.03
2009,50, 0.20
2010,50, 0.63
2011,50, 0.23
2012,50, 1.80
2013,50, 0.49
2014,50, 0.85
2015,50, 0.91
2016,50, 0.90
2017,50, 1.56
2018,50, 0.48
2019,50,-0.04
