# Filename: areasTemperatureAnnualAnomaly_EmeraldBasin_en.dat
# Creation date: 2020-09-23 19:08:00
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Area name: Emerald Basin
# Area number: 12
# Area longitude: -61.4,-61,-62.15,-62.56,-62.75,-63.63,-63.07
# Area latitude: 44.8,44.35,43.7,43.71,43.45,43.32,44.21
# Climatological mean: 9.15
# Climatological reference years: 1981 to 2010
year,depth,anomaly
1950,250,-1.63
1951,250,-0.15
1952,250,-1.15
1953,250,-1.24
1954,250,-0.24
1955,250,-0.81
1956,250,-0.78
1957,250,-0.40
1958,250,-0.99
1959,250,-3.28
1960,250,-2.00
1961,250,-1.68
1962,250,-1.25
1963,250,-1.53
1964,250,-3.30
1965,250,-3.33
1966,250,-4.32
1967,250,-3.13
1968,250,-1.55
1969,250,-0.64
1970,250,-0.64
1971,250,-0.61
1972,250,-0.36
1973,250, 0.23
1974,250, 0.45
1975,250, 0.90
1976,250,-0.49
1977,250,-0.02
1978,250,-1.79
1979,250, 0.18
1980,250,-0.16
1981,250,-0.20
1982,250,-1.73
1983,250,-0.77
1984,250, 0.18
1985,250, 0.95
1986,250, 1.14
1987,250, 0.46
1988,250,-0.49
1989,250, 0.24
1990,250, 0.38
1991,250, 0.10
1992,250, 0.20
1993,250, 0.83
1994,250, 0.73
1995,250, 0.44
1996,250, 0.68
1997,250, 0.35
1998,250,-2.18
1999,250,-0.26
2000,250, 0.23
2001,250, 0.06
2002,250, 0.12
2003,250, 0.06
2004,250, 0.47
2005,250, 0.24
2006,250, 0.40
2007,250,-1.82
2008,250,-0.86
2009,250,-1.24
2010,250, 0.63
2011,250, 0.84
2012,250, 0.72
2013,250, 0.59
2014,250, 1.36
2015,250, 1.16
2016,250, 1.61
2017,250, 1.48
2018,250, 1.60
2019,250, 1.82
