# Filename: areasTemperatureAnnualAnomaly_GeorgesBasin_en.dat
# Creation date: 2020-09-23 19:08:00
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Area name: Georges Basin
# Area number: 26
# Area longitude: -67,-66.1,-66.32,-67,-67.7,-67.75
# Area latitude: 42.79,42.56,42.18,42.18,42.18,42.58
# Climatological mean: 8.26
# Climatological reference years: 1981 to 2010
year,depth,anomaly
1950,200,-1.33
1951,200,-0.75
1953,200,-0.69
1954,200,-0.59
1955,200,-0.78
1956,200,-0.53
1957,200,-0.26
1958,200,-0.61
1959,200,-1.88
1960,200,-0.25
1961,200,-1.56
1962,200,-1.20
1963,200,-0.60
1964,200,-2.38
1965,200,-2.28
1966,200,-2.27
1967,200,-1.89
1968,200,-1.17
1969,200,-0.90
1970,200,-0.85
1971,200,-0.18
1972,200, 0.22
1973,200, 0.24
1974,200, 0.50
1975,200, 0.31
1976,200, 0.36
1977,200,-0.69
1978,200,-0.90
1979,200, 0.05
1980,200,-0.22
1981,200,-0.76
1982,200,-1.08
1983,200, 0.06
1984,200, 0.13
1985,200, 0.74
1986,200, 0.43
1987,200,-0.22
1988,200,-0.16
1989,200,-0.30
1990,200,-0.24
1991,200,-0.07
1992,200, 0.10
1993,200, 0.13
1994,200, 0.47
1995,200, 0.62
1996,200, 0.50
1997,200, 0.16
1998,200,-1.39
1999,200, 0.50
2000,200, 0.53
2001,200, 0.08
2002,200, 0.18
2003,200, 0.44
2004,200, 0.01
2005,200,-0.19
2006,200, 0.26
2007,200,-0.76
2008,200,-0.58
2009,200,-0.05
2010,200, 0.95
2011,200, 0.54
2012,200, 0.52
2013,200, 1.05
2014,200, 1.17
2015,200, 1.02
2016,200, 1.40
2017,200, 1.53
2018,200, 1.92
2019,200, 1.73
