# Filename: areasTemperatureAnnualAnomaly_LurcherShoal_en.dat
# Creation date: 2020-09-23 19:08:00
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Area name: Lurcher Shoal
# Area number: 24
# Area longitude: -66.5,-65.61,-65.6,-66.52
# Area latitude: 44.21,43.4,43.16,43.1
# Climatological mean: 6.33
# Climatological reference years: 1981 to 2010
year,depth,anomaly
1950,50, 0.580
1951,50, 0.983
1952,50,-0.190
1953,50, 0.593
1954,50, 0.125
1955,50, 0.185
1956,50,-0.063
1957,50,-0.056
1958,50, 0.116
1959,50,-0.641
1960,50,-0.612
1961,50,-0.747
1962,50,-0.432
1963,50, 0.320
1964,50,-1.382
1965,50,-1.426
1966,50,-1.217
1967,50,-1.040
1968,50,-0.342
1969,50, 0.370
1970,50, 0.236
1971,50, 0.526
1972,50, 0.439
1973,50, 0.326
1974,50, 1.168
1975,50, 0.330
1976,50, 1.812
1977,50,-0.141
1978,50,-0.227
1979,50, 1.091
1980,50, 0.300
1981,50, 0.103
1982,50, 0.459
1983,50, 0.342
1984,50, 0.721
1985,50, 0.409
1986,50, 0.970
1987,50,-0.843
1988,50,-1.106
1989,50,-0.376
1990,50, 0.307
1991,50,-0.913
1992,50,-1.064
1993,50,-0.346
1994,50,-0.009
1995,50,-0.154
1996,50,-0.663
1997,50, 0.163
1998,50,-0.984
1999,50, 0.989
2000,50, 1.511
2001,50,-0.537
2002,50, 1.050
2003,50, 0.568
2004,50,-0.802
2005,50,-0.343
2006,50, 1.320
2007,50,-0.975
2008,50, 0.127
2009,50, 1.198
2010,50, 0.105
2011,50, 1.300
2012,50, 3.132
2013,50, 1.047
2014,50, 1.736
2015,50, 1.121
2016,50, 0.966
2018,50, 2.282
2019,50, 0.315
