# Filename: areasTemperatureAnnualAnomaly_MisaineBank_en.dat
# Creation date: 2020-09-23 19:08:00
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Area name: Misaine Bank
# Area number: 5
# Area longitude: -58.5,-58.2,-57.6,-59.35,-60,-60
# Area latitude: 46.02,45.82,45.12,44.53,44.66,45.41
# Climatological mean: 1.52
# Climatological reference years: 1981 to 2010
year,depth,anomaly
1950,100, 0.2353
1951,100, 1.0159
1952,100, 1.2411
1953,100, 0.5954
1954,100, 0.5821
1955,100, 0.4274
1956,100, 0.3961
1957,100,-0.4110
1958,100, 0.6000
1959,100,-0.7848
1960,100, 0.5699
1961,100,-0.7203
1962,100,-0.0564
1963,100, 0.4334
1964,100,-0.0276
1965,100,-0.2928
1966,100,-0.0900
1967,100, 0.2995
1968,100, 0.3144
1969,100, 0.2033
1970,100, 0.6423
1971,100, 0.6676
1972,100, 0.1697
1973,100,-0.3861
1974,100,-0.2091
1975,100, 0.1813
1976,100, 0.1789
1977,100, 1.1163
1978,100, 0.6338
1979,100, 0.3980
1980,100, 0.4330
1981,100, 0.9351
1982,100,-0.5793
1983,100, 0.0540
1984,100, 1.5520
1985,100,-0.3067
1986,100,-0.9928
1987,100,-0.5840
1988,100, 0.4143
1989,100,-0.6014
1990,100,-1.0614
1991,100,-0.7847
1992,100,-0.6200
1993,100,-0.1403
1994,100,-0.0702
1995,100,-0.3310
1996,100,-0.2161
1997,100, 0.0004
1998,100, 0.1486
1999,100, 0.6298
2000,100, 0.9821
2001,100,-0.0050
2002,100, 0.1727
2003,100,-0.8939
2004,100,-0.5612
2005,100, 0.2139
2006,100, 0.7249
2007,100,-0.3074
2008,100, 0.0348
2009,100, 0.4058
2010,100, 0.4340
2011,100, 0.7534
2012,100, 1.2833
2013,100, 0.3978
2014,100, 0.5984
2015,100, 1.0205
2016,100, 1.2216
2017,100, 0.4193
2018,100, 0.5426
2019,100,-0.2051
