"year","area","cold_intermediate_layer_volume","minimum_temperature_in_cold_intermediate_layer"
1972,"Scotian Shelf","4860","2.5"
1973,"Scotian Shelf","5012","2.2"
1974,"Scotian Shelf","4856","2.2"
1975,"Scotian Shelf","4777","2.2"
1976,"Scotian Shelf","4664","2.1"
1977,"Scotian Shelf","4554","2.2"
1978,"Scotian Shelf","4352","2.3"
1979,"Scotian Shelf","4034","2.5"
1980,"Scotian Shelf","4379","2.4"
1981,"Scotian Shelf","4139","2.4"
1982,"Scotian Shelf","4053","2.4"
1983,"Scotian Shelf","4349","2.2"
1984,"Scotian Shelf","4326","2.0"
1985,"Scotian Shelf","4474","2.0"
1986,"Scotian Shelf","4567","2.1"
1987,"Scotian Shelf","5090","2.0"
1988,"Scotian Shelf","  NA"," NA"
1989,"Scotian Shelf","  NA"," NA"
1990,"Scotian Shelf","5841","1.7"
1991,"Scotian Shelf","6461","1.6"
1992,"Scotian Shelf","6240","1.3"
1993,"Scotian Shelf","6109","1.6"
1994,"Scotian Shelf","5778","1.8"
1995,"Scotian Shelf","5872","1.7"
1996,"Scotian Shelf","5968","2.1"
1997,"Scotian Shelf","6302","1.9"
1998,"Scotian Shelf","7215","1.8"
1999,"Scotian Shelf","4983","2.6"
2000,"Scotian Shelf","3461","2.5"
2001,"Scotian Shelf","6955","2.1"
2002,"Scotian Shelf","5213","2.3"
2003,"Scotian Shelf","6840","1.4"
2004,"Scotian Shelf","7973","1.8"
2005,"Scotian Shelf","4937","2.2"
2006,"Scotian Shelf","4006","2.6"
2007,"Scotian Shelf","6803","2.1"
2008,"Scotian Shelf","6581","2.2"
2009,"Scotian Shelf","4953","2.2"
2010,"Scotian Shelf","4836","2.5"
2011,"Scotian Shelf","4848","2.8"
2012,"Scotian Shelf","2887","2.9"
2013,"Scotian Shelf","5043","2.5"
2014,"Scotian Shelf","3300","2.4"
2015,"Scotian Shelf","4084","2.0"
2016,"Scotian Shelf","4252","2.6"
2017,"Scotian Shelf","4624","2.4"
2018,"Scotian Shelf","  NA"," NA"
2019,"Scotian Shelf","5096","2.2"
