# Filename: coldIntermediateLayerAndMinimumTemperature_en.dat
# Creation date: 2020-09-23 15:35:39
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Area name: Scotian Shelf
# Area longitude: -65,-65,-65,-65,-65,-65,-64.8,-64.6,-64.4,-64.2,-64,-63.8,-63.6,-63.4,-63.2,-63,-62.8,-62.6,-62.4,-62.2,-62,-61.8,-61.6,-61.4,-61.2,-61,-60.8,-60.6,-60.4,-60.2,-60,-59.8,-59.6,-59.4,-59.2,-59.2,-58.8,-58.6,-58.2,-58,-57.8,-57.6,-57.4,-57.4,-57.6,-57.8,-57.8,-58,-58.2,-58.4,-58.6,-58.8,-59,-59.2,-59.4,-59.6,-59.8,-59.8,-59.6,-59.6,-59.6,-59.8,-60,-60.2,-60.4,-60.6,-60.8,-61,-61.2,-61.4,-61.6,-61.8,-62,-62.2,-62.4,-62.6,-62.8,-63,-63.2,-63.4,-63.6,-63.8,-64,-64.2,-64.4,-64.6,-64.8,-65
# Area latitude: 43.4,43.2,43,42.8,42.6,42.4,42.6,42.6,42.8,42.8,42.8,43,43,43,43,43,43,43,43,43,43,43.2,43.2,43.2,43.4,43.4,43.4,43.4,43.6,43.6,43.6,43.6,43.8,43.8,43.8,44,44,44.2,44.2,44.4,44.4,44.4,44.6,44.8,45,45.2,45.4,45.6,45.8,45.8,46,46,46.2,46.4,46.4,46.6,46.6,46.4,46.2,46,45.8,45.6,45.4,45.4,45.2,45.2,45,45,45,44.8,44.8,44.6,44.6,44.6,44.6,44.4,44.4,44.4,44.2,44.2,44.2,44,44,43.8,43.8,43.6,43.4,43.4
year,volume,minimumTemperature
1972,4860,2.5
1973,5012,2.2
1974,4856,2.2
1975,4777,2.2
1976,4664,2.1
1977,4554,2.2
1978,4352,2.3
1979,4034,2.5
1980,4379,2.4
1981,4139,2.4
1982,4053,2.4
1983,4349,2.2
1984,4326,2.0
1985,4474,2.0
1986,4567,2.1
1987,5090,2.0
1988,  NA, NA
1989,  NA, NA
1990,5841,1.7
1991,6461,1.6
1992,6240,1.3
1993,6109,1.6
1994,5778,1.8
1995,5872,1.7
1996,5968,2.1
1997,6302,1.9
1998,7215,1.8
1999,4983,2.6
2000,3461,2.5
2001,6955,2.1
2002,5213,2.3
2003,6840,1.4
2004,7973,1.8
2005,4937,2.2
2006,4006,2.6
2007,6803,2.1
2008,6581,2.2
2009,4953,2.2
2010,4836,2.5
2011,4848,2.8
2012,2887,2.9
2013,5043,2.5
2014,3300,2.4
2015,4084,2.0
2016,4252,2.6
2017,4624,2.4
2018,  NA, NA
2019,5096,2.2
