year,month,station,sea_surface_height
1920,1,Halifax,0.8
1920,2,Halifax,0.8
1920,3,Halifax,0.7
1920,4,Halifax,0.9
1920,5,Halifax,0.7
1920,6,Halifax,0.8
1920,7,Halifax,0.7
1920,8,Halifax,0.7
1920,9,Halifax,0.8
1920,10,Halifax,0.9
1920,11,Halifax,0.8
1920,12,Halifax,0.9
1921,1,Halifax,0.8
1921,2,Halifax,0.8
1921,3,Halifax,0.7
1921,4,Halifax,0.7
1921,5,Halifax,0.8
1921,6,Halifax,0.8
1921,7,Halifax,0.7
1921,8,Halifax,0.7
1921,9,Halifax,0.8
1921,10,Halifax,0.8
1921,11,Halifax,0.9
1921,12,Halifax,0.9
1922,1,Halifax,0.8
1922,2,Halifax,0.8
1922,3,Halifax,0.8
1922,4,Halifax,0.8
1922,5,Halifax,0.7
1922,6,Halifax,0.7
1922,7,Halifax,0.7
1922,8,Halifax,0.7
1922,9,Halifax,0.7
1922,10,Halifax,0.8
1922,11,Halifax,0.9
1922,12,Halifax,0.9
1923,1,Halifax,0.9
1923,2,Halifax,0.8
1923,3,Halifax,0.8
1923,4,Halifax,0.8
1923,5,Halifax,0.7
1923,6,Halifax,0.8
1923,7,Halifax,0.7
1923,8,Halifax,0.8
1923,9,Halifax,0.8
1923,10,Halifax,0.8
1923,11,Halifax,0.8
1923,12,Halifax,0.8
1924,1,Halifax,0.8
1924,2,Halifax,0.9
1924,3,Halifax,0.9
1924,4,Halifax,0.8
1924,5,Halifax,0.8
1924,6,Halifax,0.8
1924,7,Halifax,0.8
1924,8,Halifax,0.8
1924,9,Halifax,0.8
1924,10,Halifax,0.9
1924,11,Halifax,0.8
1924,12,Halifax,0.8
1925,1,Halifax,0.8
1925,2,Halifax,0.7
1925,3,Halifax,0.7
1925,4,Halifax,0.8
1925,5,Halifax,0.8
1925,6,Halifax,0.8
1925,7,Halifax,0.7
1925,8,Halifax,0.8
1925,9,Halifax,0.8
1925,10,Halifax,0.9
1925,11,Halifax,0.8
