year,area,sea_temperature,salinity
1948,scotian_shelf_box,-1.3960000000000001,NA
1949,scotian_shelf_box,0.5449999999999999,NA
1950,scotian_shelf_box,-0.373,NA
1951,scotian_shelf_box,1.3639999999999999,NA
1952,scotian_shelf_box,0.5,NA
1953,scotian_shelf_box,0.248,NA
1954,scotian_shelf_box,-0.5700000000000001,NA
1955,scotian_shelf_box,-0.331,NA
1956,scotian_shelf_box,-0.123,NA
1957,scotian_shelf_box,-0.16399999999999998,NA
1958,scotian_shelf_box,-0.994,NA
1959,scotian_shelf_box,-0.562,NA
1960,scotian_shelf_box,-0.9079999999999999,NA
1961,scotian_shelf_box,-1.1840000000000002,NA
1962,scotian_shelf_box,-1.7830000000000001,NA
1963,scotian_shelf_box,0.293,NA
1964,scotian_shelf_box,-1.782,NA
1965,scotian_shelf_box,-1.591,NA
1966,scotian_shelf_box,-0.395,NA
1967,scotian_shelf_box,-1.051,NA
1968,scotian_shelf_box,-0.552,NA
1969,scotian_shelf_box,-0.08499999999999999,NA
1970,scotian_shelf_box,0.244,NA
1971,scotian_shelf_box,-1.003,NA
1972,scotian_shelf_box,-0.053,NA
1973,scotian_shelf_box,-0.669,NA
1974,scotian_shelf_box,-1.458,NA
1975,scotian_shelf_box,-0.685,NA
1976,scotian_shelf_box,-0.379,NA
1977,scotian_shelf_box,-0.8620000000000001,NA
1978,scotian_shelf_box,0.059,NA
1979,scotian_shelf_box,-0.048,NA
1980,scotian_shelf_box,-0.7270000000000001,NA
1981,scotian_shelf_box,-0.036,NA
1982,scotian_shelf_box,0.10300000000000001,NA
1983,scotian_shelf_box,0.915,NA
1984,scotian_shelf_box,0.03,NA
1985,scotian_shelf_box,-1.855,NA
1986,scotian_shelf_box,-0.881,NA
1987,scotian_shelf_box,0.348,NA
1988,scotian_shelf_box,-0.093,NA
1989,scotian_shelf_box,-0.251,NA
1990,scotian_shelf_box,-0.571,NA
1991,scotian_shelf_box,-0.416,NA
1992,scotian_shelf_box,-0.956,NA
1993,scotian_shelf_box,-0.7150000000000001,NA
1994,scotian_shelf_box,0.294,NA
1995,scotian_shelf_box,-0.436,NA
1996,scotian_shelf_box,-0.915,NA
1997,scotian_shelf_box,-0.575,NA
1998,scotian_shelf_box,0.11199999999999999,NA
1999,scotian_shelf_box,0.873,NA
2000,scotian_shelf_box,0.855,NA
2001,scotian_shelf_box,-0.16699999999999998,NA
2002,scotian_shelf_box,-0.366,NA
2003,scotian_shelf_box,-0.055999999999999994,NA
2004,scotian_shelf_box,-0.714,NA
2005,scotian_shelf_box,0.08099999999999999,NA
2006,scotian_shelf_box,0.587,NA
2007,scotian_shelf_box,-0.505,NA
2008,scotian_shelf_box,0.349,NA
2009,scotian_shelf_box,0.15,NA
2010,scotian_shelf_box,1.7369999999999999,NA
2011,scotian_shelf_box,-0.462,NA
2012,scotian_shelf_box,2.2359999999999998,NA
2013,scotian_shelf_box,0.8819999999999999,NA
2014,scotian_shelf_box,1.178,NA
2015,scotian_shelf_box,0.367,NA
2016,scotian_shelf_box,1.337,NA
2017,scotian_shelf_box,0.9909999999999999,NA
2018,scotian_shelf_box,0.577,NA
2019,scotian_shelf_box,-0.040999999999999995,NA
1948,scotian_shelf_box,NA,0.068
1949,scotian_shelf_box,NA,0.252
1950,scotian_shelf_box,NA,0.511
1951,scotian_shelf_box,NA,0.08
1952,scotian_shelf_box,NA,-0.043
1953,scotian_shelf_box,NA,0.059
1954,scotian_shelf_box,NA,0.266
1955,scotian_shelf_box,NA,-0.168
1956,scotian_shelf_box,NA,0.508
1957,scotian_shelf_box,NA,-0.185
