section,station,latitude,longitude,date,depth,chlorophyll,nitrate,phosphate,silicate,cruiseNumber,temperature,salinity,sigmaTheta
CSL,CSL1,46.9575,-60.21733,1999-04-15,1,5.0358,0.04,0.17400000000000002,1.724,NA,NA,NA,NA
CSL,CSL1,46.9575,-60.21733,1999-04-15,10,9.58018,1.7,0.27,3.5795000000000003,NA,NA,NA,NA
CSL,CSL1,46.9575,-60.21733,1999-04-15,20,11.757489999999999,1.46,0.29,2.422,NA,NA,NA,NA
CSL,CSL1,46.9575,-60.21733,1999-04-15,30,11.03172,1.92,0.301,2.5245,NA,NA,NA,NA
CSL,CSL1,46.9575,-60.21733,1999-04-15,40,10.160789999999999,2.4,0.3315,2.8455,NA,NA,NA,NA
CSL,CSL1,46.9575,-60.21733,1999-04-15,50,9.58018,2.82,0.339,3.069,NA,NA,NA,NA
CSL,CSL1,46.9575,-60.21733,1999-04-15,60,5.80016,4.14,0.3845,4.868,NA,NA,NA,NA
CSL,CSL1,46.9575,-60.21733,1999-04-15,73,4.49625,5.04,0.40950000000000003,6.0275,NA,NA,NA,NA
CSL,CSL2,47.02133,-60.1145,1999-04-15,1,8.999559999999999,0.12,0.2015,1.463,NA,NA,NA,NA
CSL,CSL2,47.02133,-60.1145,1999-04-15,10,12.0478,0.08,0.2295,0.9025000000000001,NA,NA,NA,NA
CSL,CSL2,47.02133,-60.1145,1999-04-15,30,6.15986,4.08,0.395,4.086,NA,NA,NA,NA
CSL,CSL2,47.02133,-60.1145,1999-04-15,40,6.06994,4.5200000000000005,0.3945,4.423500000000001,NA,NA,NA,NA
CSL,CSL2,47.02133,-60.1145,1999-04-15,50,4.00166,6.22,0.441,6.7485,NA,NA,NA,NA
CSL,CSL2,47.02133,-60.1145,1999-04-15,60,2.65279,6.24,0.4385,7.149500000000001,NA,NA,NA,NA
CSL,CSL2,47.02133,-60.1145,1999-04-15,80,1.60554,5.96,0.4505,5.925000000000001,NA,NA,NA,NA
CSL,CSL2,47.02133,-60.1145,1999-04-15,100,0.5231,10.48,0.5745,13.02,NA,NA,NA,NA
CSL,CSL2,47.02133,-60.1145,1999-04-15,125,NA,13.36,0.6535000000000001,17.445,NA,NA,NA,NA
CSL,CSL2,47.02133,-60.1145,1999-04-15,150,NA,19.32,0.803,26.355,NA,NA,NA,NA
CSL,CSL2,47.02133,-60.1145,1999-04-15,175,NA,21.13,0.805,32.230000000000004,NA,NA,NA,NA
CSL,CSL3,47.09883,-59.987829999999995,1999-04-16,1,9.289869999999999,0.4545,0.14300000000000002,1.602,NA,NA,NA,NA
