area,year,ice_area,ice_volume,ice_duration,ice_first_day,ice_last_day
GSL+SS,1999,87.5,23.6,56,21,79
GSL+SS,2000,60.53846153846154,13.4,43,30,73
GSL+SS,2001,65.98461538461538,25.3,46,37,83
GSL+SS,2002,87.2,19.2,50,34,82
GSL+SS,2003,144.73076923076923,69.7,66,30,95
GSL+SS,2004,75.36923076923077,34.4,51,34,88
GSL+SS,2005,100.73846153846154,34.400000000000006,57,29,85
GSL+SS,2006,32.7,8.9,34,35,72
GSL+SS,2007,60.114285714285714,18,44,41,83
GSL+SS,2008,112.83846153846154,33.5,65,31,96
GSL+SS,2009,117.53846153846153,36.8,62,28,89
GSL+SS,2010,12.253846153846155,3.9,22,27,51
GSL+SS,2011,22.369230769230768,5.4,29,45,73
GSL+SS,2012,38.51538461538461,9,42,31,73
GSL+SS,2013,39.25,14.700000000000001,35,32,69
GSL+SS,2014,140.92307692307693,59.1,75,18,97
GSL+SS,2015,117.89999999999999,47,59,34,94
GSL+SS,2016,35.57692307692308,6,38,41,83
GSL+SS,2017,47.753846153846155,12.3,41,43,89
GSL+SS,2018,74.03846153846155,15.700000000000001,46,24,70
GSL+SS,2019,119.33333333333333,31.5,53,28,82
GSL+SS,2020,81.67692307692307,17.3,53,31,82
