section,year,Calanus_finmarchicus_log10,Pseudocalanus_log10,copepods_log10,non_copepods_log10,Arctic_Calanus_species_log10,warm_offshore_copepods_log10,warm_shelf_copepods_log10,zooplankton_meso_dry_weight
CSL,1999,4.273291160960965,4.122961419940052,5.419488993399007,4.510690765664209,3.830232469496118,-4.008945952982401e-15,1.709524510251179,NA
CSL,2000,4.054149500135225,3.8715065751459776,5.0895832733328,4.159532139688879,3.5342490935047963,0.2680848639634571,1.8947143373220177,NA
CSL,2001,4.045657050919468,3.8581806442294737,5.100538514646857,4.266249092103935,3.855679082935218,0.4928901034168844,2.0427167800086865,11.754898458325751
CSL,2004,4.168878855462966,4.267734391303561,5.284248681317421,4.635697056155821,3.914171136103853,0.19639295565001177,0.7393352421272146,15.66634400377478
CSL,2005,4.2250860866567255,4.234626882244341,5.317447799075686,4.231142580389939,3.80928116754042,0.5326169898648349,2.384679817025921,8.499682640609233
CSL,2006,4.189131900835981,4.210723242282416,5.14529025895949,4.4265349021745894,4.065314164637066,1.0685808393298661,1.587632568312185,10.477065773682792
CSL,2007,4.222257983646588,3.536570545231626,5.228528087555972,4.021601907210978,3.962432822497811,0.779088911354254,-1.5258627694691995e-14,8.072618638184741
CSL,2008,4.193346621072308,4.009313783865007,5.261481649571327,4.2777007137450225,3.8737050477018933,-6.917806171652385e-15,1.2042656968539043,7.415822906495345
CSL,2009,3.993325061642182,4.0068187289286605,5.1777302756580665,4.243008721112092,4.219136225762176,1.1216493772674376,2.0362807401405374,9.881562861932311
CSL,2010,4.187853505106267,4.34107914521769,5.4399792611102455,4.416691555547067,3.776666413287701,1.9934530818897527,1.1615477363213225,10.324670574450721
CSL,2011,3.7547495781395552,3.960609794309832,5.008481927573672,4.235526163124581,3.56839581310471,0.9298027347932531,1.5803390850710473,5.826579539436776
CSL,2012,3.9546895991735225,3.7641504161502803,5.123280875635025,4.102028590223977,3.9992963244024677,0.19480204501247741,2.791095365473975,8.336820445266529
CSL,2013,3.8019415117488014,3.856398597656313,4.977929623272443,4.164712260125508,3.779373579886573,0.23641036338865964,4.947431353485854e-15,13.239777004816556
CSL,2014,3.7484201390349883,4.393666730189707,5.333066847969892,4.626226934656371,3.873610081009736,0.5528810874023858,1.271899252586195e-14,9.194703385180775
CSL,2015,3.180212445567132,4.157703777787692,5.0819318653673955,4.419797206522662,3.0965904103094193,0.6168001659353876,-0.2759078930206253,4.439419781938597
CSL,2016,3.7715608968795857,3.986441202503465,5.207143797582356,4.700499380009438,3.8500053061772435,1.0001460843277539,0.7840021673283829,5.539474619746796
CSL,2017,3.6890952291269232,4.022320765498298,5.141845387948832,4.316867724699393,3.155764126694437,0.507917162604739,0.7794242483701279,6.974712658218729
CSL,2018,3.722305823659266,4.0499359265360395,5.130639011551919,4.424291481666187,3.8962711129968395,0.2815322701246618,1.569023728877212,6.236909313586704
CSL,2019,3.6813519026965134,3.860240240166833,5.087556188007989,4.5725615037542555,3.637942383785785,0.29808805040885034,1.1615477363213262,5.4892490362833435
CSL,2020,3.900734406770534,3.495769249156497,5.175048165865741,4.211370227375746,3.2591224554620726,0.6676213916774683,0.3546251358845421,5.196145087223959
CSL,2021,3.914611403363969,4.206831530966096,5.122196527241074,4.731342391532235,3.2642447754081556,0.2771807518995141,1.4516696665012476,5.729968844126051
CSL,2022,3.8562492378023974,3.8290388234794688,5.157842862640297,4.7707344260751325,3.351628713986882,-0.10547664149321417,2.2664506766498143,4.029590788610493
