station,year,Acartia_log10,Calanus_finmarchicus_log10,Calanus_hyperboreus_log10,Centropages_spp_log10,Centropages_typicus_log10,Eurytemora_log10,Metridia_spp_log10,Metridia_longa_log10,Metridia_lucens_log10,Microcalanus_spp_log10,Oithona_spp_log10,Oithona_atlantica_log10,Oithona_similis_log10,Paracalanus_spp_log10,Pseudocalanus_log10,Temora_longicornis_log10,other_copepods_log10,copepods_log10,non_copepods_log10,Arctic_Calanus_species_log10,warm_offshore_copepods_log10,warm_shelf_copepods_log10,zooplankton_meso_dry_weight,zooplankton_total_wet_weight
HL2,1999,NA,4.249133592185671,2.702032736705052,3.81251494456373,2.673463070876282,NA,0.026560422368972478,2.5452488056458265,3.997247252710424,3.287559388157308,0.07612454978155407,3.227069365819753,5.316375554965019,1.9122419352864193,4.602410146693375,2.834101970815361,4.221209282211041,5.451493040519332,4.514528887498932,2.7398326047110877,1.1308069302950123,2.8919024929002584,1.2988822105354167,25.194130572241082
HL2,2000,NA,4.259540541299726,1.7798094755148195,4.341948253160809,3.070239153744276,NA,0.03006881134347485,3.266189792777774,4.3168877485184485,4.213606737460963,0.12968947833285713,3.7060038031977465,5.311106890623811,3.106050071412381,4.601978878762188,3.420948879336876,4.174950936117466,5.470284173398312,4.104801858581696,2.000978720506784,2.3852667793034388,3.907775094513528,3.2925006054428403,27.798742321747078
HL2,2001,NA,4.232627375547425,3.133961707837427,3.970223516985788,2.2684959317623288,NA,-0.028316681054518282,2.000593627785834,3.7525716320600857,3.8276878210269993,0.09748188331629695,2.904908196152775,5.311083065447405,2.1270377414070154,4.354114793079184,2.654906289129073,4.1889017937686726,5.369166571521533,3.7761516583306642,3.280260731093811,0.6526453902628302,2.785780573914692,4.136631430325695,37.023134376102114
HL2,2002,NA,3.942093979344223,2.5012569077218254,1.114410793820171,0.8528040848194578,NA,0.09411796822902353,1.6158907350758382,3.7433106379368084,3.8518760007414126,-0.03792915571218976,2.374483080415215,4.740210963614918,1.7312854535598645,4.190150100364448,1.8490741077101163,3.8713799787234193,5.044377643146658,3.593531133362606,2.5641474224635807,0.9885464012947035,1.6534767417868346,2.040912737256935,19.090584264972705
HL2,2003,NA,4.161119707786943,3.090481440010766,3.3751861674286214,2.1696385376167706,NA,0.3391712717121392,2.244837995177966,3.8486294574751447,3.4340584809381522,0.018645333926549674,2.509364439531458,4.962346318054319,1.9932180622456561,4.734836311241794,2.600364209530296,4.219770585584888,5.302164707593204,3.8522278231424236,3.1827580585513506,0.506835421093268,2.580575435194253,3.2468044585643083,31.665536974809818
HL2,2004,NA,4.110555805800149,2.934266947115642,2.8185783181147905,1.2211733507854785,NA,0.039787944926290134,2.5682219422021233,3.3679715133415984,3.8750465850826763,0.11592470020425281,2.5564881009471923,5.270166410646875,1.6720524662596543,4.640348168024242,3.495073007588628,4.092573797395028,5.333474427406326,4.066301471591878,3.0160051257949685,0.2813571285386414,1.6033374698915441,4.368002991837651,31.287897471560633
HL2,2005,NA,3.984204774898106,2.6602094969945935,3.3735434554521047,1.0796871329209217,NA,0.13391182171364924,2.9721204852233645,3.918640198766764,3.5327414978701333,2.7396925409744277,2.708363900790655,5.329011329304523,1.4730650792444204,3.7433234776278113,3.334084374178145,4.174026332927992,5.389247702106591,3.908966367201717,2.8023513007934744,1.3365220277464624,1.3832497751593966,4.1391083648392595,20.44898517424209
HL2,2006,NA,4.0546340677854795,2.6759716709624066,2.9025144665381557,1.0399338425797944,NA,0.0035262655529305666,3.282107848019239,4.425608759038942,3.778204636174424,1.895113825637159,3.5042972450611876,5.051622281768744,1.5956180271561384,3.919269964632623,2.4124791974302378,3.86672286491502,5.1976659008889445,3.686330532298267,2.8526733247394693,1.6755260045563365,1.6038430780097388,3.2003665795718343,22.934292998997677
HL2,2007,NA,4.07899249304427,2.9884319874505185,3.3818809766041515,0.26185611201375153,NA,0.013923132569754344,2.3452042736817162,3.9646642519903432,3.7409702750042984,3.2201957769876244,2.734500519063269,5.1017016768338515,1.4399675660455595,4.395460407059338,1.6881370217390612,4.039317433069362,5.141463726741342,3.676106267171906,3.286710098546876,0.4447839828347033,1.4493902671410157,3.9279771976971727,25.128203588050123
HL2,2008,NA,4.252975485863793,3.324741498803611,4.133939794173141,0.8296316919915834,NA,0.08334464401438331,1.1809843887813372,3.5907103997228815,3.64854573162689,3.5541564550185885,3.026377845276088,5.208655458152734,1.5996221831215522,4.642876806022,3.187420253777037,4.38002658309397,5.312930938584922,4.006068205376455,3.420594188536432,0.47477904357612793,1.5071154268750604,3.048044346858669,20.167267343037405
HL2,2009,NA,4.059917280795889,2.4392846872044918,3.2849908144101203,1.7466445455010895,NA,0.10080393944147899,3.5611118430516693,3.7557344013258307,3.834562613166868,0.05530566866485889,3.6069314763743408,5.199012517733378,1.9797417452939146,4.44227264420214,2.922752415544134,4.275808943322969,5.330113642493788,3.7676801142694014,2.718804255073572,1.542185553509994,2.23203623502046,3.3629963527075604,22.395193187781736
HL2,2010,NA,4.167248549579736,2.702921843290252,2.858512122278342,1.0387848257236978,NA,1.1231783280225824,3.818617686918693,4.093053054513312,3.7313472373836976,3.236133329435448,3.5950460163748144,5.022906663553343,1.6697751881712801,3.944638460109068,2.719244458184497,4.29754360684693,5.17975901664749,3.7390633813613405,2.763477537234158,0.8031406667506269,1.6422416040365593,2.8517648351425398,20.435439874015533
HL2,2011,NA,3.854086826005757,2.450139154709487,3.792431813763124,1.4258404167644032,NA,2.7945747581290887,2.9918124973067353,3.580341203379352,4.021989682315128,3.1214883813159977,3.294596716621438,5.058605863672661,2.0248655683237478,4.146122886865725,3.334418190761514,4.250572141373714,5.196907356915807,4.092053882180817,2.606804274859697,0.8871564805190445,2.0648708574141255,5.7503200932650005,17.21003367498122
HL2,2012,NA,3.681896112696617,1.7559535338383228,3.9104993862165505,1.4223331702542283,NA,1.9091830771218048,1.4869367358901875,4.028846582723179,3.889984885934106,3.1111366197255026,3.8668016493129778,4.888405011863031,2.6168656415166045,3.8209494636675614,2.267957652126949,4.286511693384286,5.070739718331938,3.9338181492917212,1.7660246483590596,2.6685689564486315,2.4854971296526105,1.9399792019453885,14.240960240343272
