year,station_name,temperature_in_air,integrated_chlorophyll_0_100,sea_surface_temperature_from_moorings
1872,Boston,8.12,NA,NA
1873,Boston,7.83,NA,NA
1874,Boston,8.04,NA,NA
1875,Boston,6.95,NA,NA
1876,Boston,7.64,NA,NA
1877,Boston,8.84,NA,NA
1878,Boston,8.92,NA,NA
1879,Boston,7.93,NA,NA
1880,Boston,8.96,NA,NA
1881,Boston,8.58,NA,NA
1882,Boston,8.16,NA,NA
1883,Boston,7.65,NA,NA
1884,Boston,8.27,NA,NA
1885,Boston,7.55,NA,NA
1886,Boston,7.9,NA,NA
1887,Boston,7.99,NA,NA
1888,Boston,7.32,NA,NA
1889,Boston,9.19,NA,NA
1890,Boston,8.34,NA,NA
1891,Boston,9.03,NA,NA
1892,Boston,8.48,NA,NA
1893,Boston,7.22,NA,NA
1894,Boston,8.62,NA,NA
1895,Boston,8.33,NA,NA
1896,Boston,7.98,NA,NA
1897,Boston,8.39,NA,NA
1898,Boston,8.82,NA,NA
1899,Boston,8.49,NA,NA
1900,Boston,8.89,NA,NA
1901,Boston,7.85,NA,NA
1902,Boston,8.23,NA,NA
1903,Boston,8.11,NA,NA
1904,Boston,6.69,NA,NA
1905,Boston,7.81,NA,NA
1906,Boston,8.31,NA,NA
1907,Boston,7.39,NA,NA
1908,Boston,8.71,NA,NA
1909,Boston,8.35,NA,NA
1910,Boston,8.48,NA,NA
1911,Boston,8.56,NA,NA
1912,Boston,8.37,NA,NA
1913,Boston,9.33,NA,NA
1914,Boston,7.89,NA,NA
1915,Boston,8.73,NA,NA
1916,Boston,7.88,NA,NA
1917,Boston,6.92,NA,NA
1918,Boston,7.98,NA,NA
1919,Boston,8.67,NA,NA
1920,Boston,8.07,NA,NA
1921,Boston,9.37,NA,NA
1922,Boston,8.76,NA,NA
1923,Boston,8.23,NA,NA
1924,Boston,8.29,NA,NA
1925,Boston,9.01,NA,NA
1926,Boston,7.5,NA,NA
1927,Boston,9.05,NA,NA
1928,Boston,8.8,NA,NA
1929,Boston,8.78,NA,NA
1930,Boston,9.34,NA,NA
1931,Boston,9.7,NA,NA
1932,Boston,9.41,NA,NA
1933,Boston,9.18,NA,NA
1934,Boston,8.03,NA,NA
1935,Boston,8.05,NA,NA
1936,Boston,9.37,NA,NA
1937,Boston,10.29,NA,NA
1938,Boston,10.02,NA,NA
1939,Boston,9.42,NA,NA
1940,Boston,8.57,NA,NA
1941,Boston,10.02,NA,NA
1942,Boston,10,NA,NA
1943,Boston,9.51,NA,NA
1944,Boston,10.11,NA,NA
1945,Boston,10.18,NA,NA
1946,Boston,10.27,NA,NA
1947,Boston,10.19,NA,NA
1948,Boston,9.68,NA,NA
1949,Boston,11.58,NA,NA
1950,Boston,10.02,NA,NA
1951,Boston,10.82,NA,NA
1952,Boston,11,NA,NA
1953,Boston,11.37,NA,NA
1954,Boston,10.19,NA,NA
1955,Boston,10.54,NA,NA
1956,Boston,9.73,NA,NA
1957,Boston,10.76,NA,NA
1958,Boston,9.58,NA,NA
1959,Boston,10.46,NA,NA
1960,Boston,10.34,NA,NA
1961,Boston,10.01,NA,NA
1962,Boston,9.49,NA,NA
