year,month,day,station_name,integrated_chlorophyll_0_100,integrated_nitrate_0_50,integrated_nitrate_50_150,sea_surface_height
1999,1,13,HL2,30.758555,242.2565,898.79925,NA
1999,2,10,HL2,80.1715,202.631,1038.511,NA
1999,2,16,HL2,104.994,212.04,883.424,NA
1999,3,31,HL2,160.26106,5.0618,858.72225,NA
1999,4,9,HL2,18.695,11.266,554.753,NA
1999,4,18,HL2,52.45,31.1275,791.6345,NA
1999,5,5,HL2,32.98483,91.11865,538.981,NA
1999,5,19,HL2,46.429795,33.61015,893.2845,NA
1999,6,10,HL2,38.20127,62.41015,861.83975,NA
1999,6,27,HL2,44.2878659090909,2.16583333333333,1070.5008908046,NA
1999,7,5,HL2,36.472,55.362,1244.871,NA
1999,7,17,HL2,55.2035,48.915,1083.798,NA
1999,7,31,HL2,143.58236,14.14675,1055.07384051724,NA
1999,8,13,HL2,77.375195,67.02135,1198.376,NA
1999,8,27,HL2,86.52985,47.81745,1264.04275,NA
1999,9,10,HL2,35.36453,41.655525,1230.28025,NA
1999,10,23,HL2,60.314,41.338,864.79867,NA
1999,11,5,HL2,80.638,140.1785,1257.0895,NA
1999,11,12,HL2,131.6795,91.704,1148.0365,NA
1999,11,24,HL2,73.554045,2.9206,449.030115,NA
1999,12,10,HL2,38.169945,16.531,440.0785,NA
1999,12,23,HL2,73.272085,127.02625,800.82075,NA
2000,1,10,HL2,22.1605,193.77325,909.48275,NA
2000,1,31,HL2,28.845,255.3715,812.05625,NA
2000,2,15,HL2,45.458835,324.176,876.270264423077,NA
2000,3,2,HL2,35.90465,314.65325,1126.57025,NA
2000,3,17,HL2,29.01645,310.676,1010.58,NA
2000,4,6,HL2,239.777,119.9205,863.55705,NA
2000,4,12,HL2,222.2105,73.2825,605.00875,NA
2000,4,23,HL2,117.73,49.7675,476.19887,NA
2000,5,2,HL2,19.57915,50.86035,888.168,NA
2000,5,8,HL2,52.5315,18.3695,1179.7015,NA
2000,5,20,HL2,50.40635,220.14525,1363.92375,NA
2000,6,8,HL2,25.077625,341.4635,1416.8666,NA
2000,6,14,HL2,34.8565,45.0565,997.5415,NA
2000,6,29,HL2,47.74595,28.752,1053.39601,NA
2000,7,15,HL2,46.4765,30.41525,976.45278125,NA
2000,7,29,HL2,72.17269,28.904,1044.90270588235,NA
2000,8,22,HL2,40.930475,109.61825,1278.02825,NA
