year,area_name,salinity,sea_temperature
1948,Scotion Shelf,0.068,-1.396
1949,Scotion Shelf,0.252,0.545
1950,Scotion Shelf,0.511,-0.373
1951,Scotion Shelf,0.08,1.364
1952,Scotion Shelf,-0.043,0.5
1953,Scotion Shelf,0.059,0.248
1954,Scotion Shelf,0.266,-0.57
1955,Scotion Shelf,-0.168,-0.331
1956,Scotion Shelf,0.508,-0.123
1957,Scotion Shelf,-0.185,-0.164
1958,Scotion Shelf,0.137,-0.994
1959,Scotion Shelf,0.136,-0.562
1960,Scotion Shelf,0.486,-0.908
1961,Scotion Shelf,0.139,-1.184
1962,Scotion Shelf,0.158,-1.783
1963,Scotion Shelf,0.292,0.293
1964,Scotion Shelf,0.311,-1.782
1965,Scotion Shelf,0.318,-1.591
1966,Scotion Shelf,0.393,-0.395
1967,Scotion Shelf,0.192,-1.051
1968,Scotion Shelf,0.352,-0.552
1969,Scotion Shelf,0.377,-0.085
1970,Scotion Shelf,-0.024,0.244
1971,Scotion Shelf,-0.176,-1.003
1972,Scotion Shelf,0.335,-0.053
1973,Scotion Shelf,-0.136,-0.669
1974,Scotion Shelf,0.417,-1.458
1975,Scotion Shelf,0.165,-0.685
1976,Scotion Shelf,0.241,-0.379
1977,Scotion Shelf,0.273,-0.862
1978,Scotion Shelf,-0.128,0.059
1979,Scotion Shelf,0.207,-0.048
1980,Scotion Shelf,0.259,-0.727
1981,Scotion Shelf,0.071,-0.036
1982,Scotion Shelf,0.275,0.103
1983,Scotion Shelf,-0.036,0.915
1984,Scotion Shelf,-0.167,0.03
1985,Scotion Shelf,0.171,-1.855
1986,Scotion Shelf,0.142,-0.881
1987,Scotion Shelf,0.282,0.348
1988,Scotion Shelf,0.088,-0.093
1989,Scotion Shelf,0.294,-0.251
1990,Scotion Shelf,0.405,-0.571
1991,Scotion Shelf,-0.176,-0.416
1992,Scotion Shelf,0.027,-0.956
1993,Scotion Shelf,0.098,-0.715
1994,Scotion Shelf,-0.322,0.294
1995,Scotion Shelf,-0.136,-0.436
1996,Scotion Shelf,-0.033,-0.915
1997,Scotion Shelf,-0.14,-0.575
1998,Scotion Shelf,-0.415,0.112
1999,Scotion Shelf,0.023,0.873
2000,Scotion Shelf,0.141,0.855
2001,Scotion Shelf,0.113,-0.167
2002,Scotion Shelf,0.114,-0.366
2003,Scotion Shelf,0.347,-0.056
2004,Scotion Shelf,0.187,-0.714
2005,Scotion Shelf,0.091,0.081
2006,Scotion Shelf,-0.047,0.587
2007,Scotion Shelf,0.04,-0.505
2008,Scotion Shelf,-0.02,0.349
2009,Scotion Shelf,0.126,0.15
2010,Scotion Shelf,0.009,1.737
2011,Scotion Shelf,-0.068,-0.462
2012,Scotion Shelf,-0.087,2.236
2013,Scotion Shelf,-0.094,0.882
2014,Scotion Shelf,0.267,1.178
2015,Scotion Shelf,0.206,0.367
2016,Scotion Shelf,0.015,1.337
2017,Scotion Shelf,-0.141,0.991
2018,Scotion Shelf,0.048,0.577
2019,Scotion Shelf,-0.321,-0.041
