"station","cruiseNumber","year","month","day","longitude","latitude","depth","sea_temperature","salinity","sigmaTheta","descriptor"
"P5","99669",1999,1,14,-66.85,44.9333,0,3.35,32.06,25.51,"18VA99669"
"P5","99669",1999,1,14,-66.85,44.9333,10,3.36,32.06,25.51,"18VA99669"
"P5","99669",1999,1,14,-66.85,44.9333,25,3.37,32.06,25.51,"18VA99669"
"P5","99669",1999,1,14,-66.85,44.9333,50,3.37,32.07,25.51,"18VA99669"
"P5","99669",1999,1,14,-66.85,44.9333,75,3.34,32.07,25.52,"18VA99669"
"P5","99669",1999,1,14,-66.85,44.9333,90,3.34,32.07,25.52,"18VA99669"
"P5","99669",1999,1,28,-66.85,44.9333,0,2.94,31.57,25.15,"18VA99669"
"P5","99669",1999,1,28,-66.85,44.9333,10,3.02,31.63,25.19,"18VA99669"
"P5","99669",1999,1,28,-66.85,44.9333,25,3.17,31.73,25.26,"18VA99669"
"P5","99669",1999,1,28,-66.85,44.9333,50,3.36,31.85,25.34,"18VA99669"
"P5","99669",1999,1,28,-66.85,44.9333,75,3.64,31.96,25.4,"18VA99669"
"P5","99669",1999,1,28,-66.85,44.9333,90,3.74,31.99,25.42,"18VA99669"
"P5","99669",1999,2,11,-66.85,44.9333,0,2.82,31.59,25.18,"18VA99669"
"P5","99669",1999,2,11,-66.85,44.9333,10,2.85,31.62,25.2,"18VA99669"
"P5","99669",1999,2,11,-66.85,44.9333,25,2.93,31.7,25.25,"18VA99669"
"P5","99669",1999,2,11,-66.85,44.9333,50,3.09,31.8,25.32,"18VA99669"
"P5","99669",1999,2,11,-66.85,44.9333,75,3.99,32.26,25.61,"18VA99669"
"P5","99669",1999,2,11,-66.85,44.9333,90,4.28,32.43,25.71,"18VA99669"
"P5","99669",1999,3,19,-66.85,44.9333,0,2.63,31.55,25.17,"18VA99669"
"P5","99669",1999,3,19,-66.85,44.9333,10,2.66,31.73,25.3,"18VA99669"
"P5","99669",1999,3,19,-66.85,44.9333,25,2.7,31.76,25.33,"18VA99669"
"P5","99669",1999,3,19,-66.85,44.9333,50,2.69,31.76,25.33,"18VA99669"
"P5","99669",1999,3,19,-66.85,44.9333,75,2.77,31.83,25.37,"18VA99669"
"P5","99669",1999,3,19,-66.85,44.9333,90,2.98,31.96,25.46,"18VA99669"
"P5","99669",1999,4,15,-66.85,44.9333,0,3.95,31.19,24.76,"18VA99669"
"P5","99669",1999,4,15,-66.85,44.9333,10,3.87,31.31,24.86,"18VA99669"
"P5","99669",1999,4,15,-66.85,44.9333,25,3.77,31.56,25.07,"18VA99669"
"P5","99669",1999,4,15,-66.85,44.9333,50,3.8,31.67,25.16,"18VA99669"
"P5","99669",1999,4,15,-66.85,44.9333,75,3.82,31.78,25.24,"18VA99669"
"P5","99669",1999,4,15,-66.85,44.9333,90,3.84,31.86,25.31,"18VA99669"
"P5","99669",1999,4,23,-66.85,44.9333,0,4.72,30.26,23.95,"18VA99669"
"P5","99669",1999,4,23,-66.85,44.9333,10,4.68,30.49,24.14,"18VA99669"
"P5","99669",1999,4,23,-66.85,44.9333,25,4.66,30.67,24.28,"18VA99669"
"P5","99669",1999,4,23,-66.85,44.9333,50,4.66,30.86,24.43,"18VA99669"
"P5","99669",1999,4,23,-66.85,44.9333,75,4.33,31.71,25.14,"18VA99669"
"P5","99669",1999,4,23,-66.85,44.9333,90,4.23,31.96,25.34,"18VA99669"
"P5","99669",1999,5,27,-66.85,44.9333,0,6.74,31.27,24.52,"18VA99669"
"P5","99669",1999,5,27,-66.85,44.9333,10,6.69,31.25,24.51,"18VA99669"
"P5","99669",1999,5,27,-66.85,44.9333,25,6.6,31.31,24.56,"18VA99669"
"P5","99669",1999,5,27,-66.85,44.9333,50,6.37,31.56,24.79,"18VA99669"
"P5","99669",1999,5,27,-66.85,44.9333,75,6.07,31.69,24.93,"18VA99669"
"P5","99669",1999,5,27,-66.85,44.9333,90,5.72,31.9,25.14,"18VA99669"
"P5","99669",1999,6,25,-66.85,44.9333,0,9.29,31.58,24.4,"18VA99669"
"P5","99669",1999,6,25,-66.85,44.9333,10,8.9,31.67,24.53,"18VA99669"
"P5","99669",1999,6,25,-66.85,44.9333,25,8.73,31.71,24.58,"18VA99669"
"P5","99669",1999,6,25,-66.85,44.9333,50,8.6,31.7,24.6,"18VA99669"
"P5","99669",1999,6,25,-66.85,44.9333,75,8.33,31.76,24.68,"18VA99669"
"P5","99669",1999,6,25,-66.85,44.9333,90,7.96,31.84,24.8,"18VA99669"
"P5","99669",1999,7,28,-66.85,44.9333,0,11.48,31.88,24.26,"18VA99669"
"P5","99669",1999,7,28,-66.85,44.9333,10,11.45,31.9,24.28,"18VA99669"
