"station","cruiseNumber","year","month","day","longitude","latitude","pressure","temperature","salinity","sigmaTheta"
"HL2","99666",1999,1,13,-63.3167,44.2667,0,2.48,30.84,24.6
"HL2","99666",1999,1,13,-63.3167,44.2667,10,2.43,30.83,24.6
"HL2","99666",1999,1,13,-63.3167,44.2667,20,2.33,30.86,24.63
"HL2","99666",1999,1,13,-63.3167,44.2667,30,2.29,30.87,24.65
"HL2","99666",1999,1,13,-63.3167,44.2667,50,2.16,30.9,24.67
"HL2","99666",1999,1,13,-63.3167,44.2667,75,3.1,32.08,25.54
"HL2","99666",1999,1,13,-63.3167,44.2667,100,3.14,32.37,25.77
"HL2","99666",1999,1,13,-63.3167,44.2667,125,3.43,32.83,26.11
"HL2","99003",1999,4,9,-63.3163,44.2672,0,1.17,NA,NA
"HL2","99003",1999,4,9,-63.3163,44.2672,10,1.13,31.17,24.96
"HL2","99003",1999,4,9,-63.3163,44.2672,20,1.07,31.17,24.96
"HL2","99003",1999,4,9,-63.3163,44.2672,30,1.02,31.26,25.04
"HL2","99003",1999,4,9,-63.3163,44.2672,50,1.04,31.34,25.1
"HL2","99003",1999,4,9,-63.3163,44.2672,75,1.37,31.77,25.42
"HL2","99003",1999,4,9,-63.3163,44.2672,100,1.22,31.96,25.59
"HL2","99003",1999,4,9,-63.3163,44.2672,125,1.4,32.11,25.7
"HL2","99003",1999,4,18,-63.3178,44.2703,0,0.69,NA,NA
"HL2","99003",1999,4,18,-63.3178,44.2703,10,0.68,30.82,24.7
"HL2","99003",1999,4,18,-63.3178,44.2703,20,0.65,30.82,24.7
"HL2","99003",1999,4,18,-63.3178,44.2703,30,-0.31,30.86,24.77
"HL2","99003",1999,4,18,-63.3178,44.2703,50,0.39,31.29,25.1
"HL2","99003",1999,4,18,-63.3178,44.2703,75,1.04,31.73,25.42
"HL2","99003",1999,4,18,-63.3178,44.2703,100,1.61,32.14,25.71
"HL2","99003",1999,4,18,-63.3178,44.2703,125,2.12,32.48,25.94
"HL2","99666",1999,5,5,-63.3167,44.2667,0,3.72,31.67,25.16
"HL2","99666",1999,5,5,-63.3167,44.2667,10,1.76,31.56,25.23
"HL2","99666",1999,5,5,-63.3167,44.2667,20,0.36,31.51,25.27
"HL2","99666",1999,5,5,-63.3167,44.2667,30,0.53,31.59,25.33
"HL2","99666",1999,5,5,-63.3167,44.2667,50,0.57,31.74,25.44
"HL2","99666",1999,5,5,-63.3167,44.2667,75,1.11,31.94,25.58
"HL2","99666",1999,5,5,-63.3167,44.2667,100,1.77,32.15,25.71
"HL2","99666",1999,5,5,-63.3167,44.2667,125,1.51,32.32,25.86
"HL2","99666",1999,5,19,-63.3167,44.2667,0,7.87,30.68,23.9
"HL2","99666",1999,5,19,-63.3167,44.2667,10,5.47,30.86,24.34
"HL2","99666",1999,5,19,-63.3167,44.2667,20,2.18,31.52,25.17
"HL2","99666",1999,5,19,-63.3167,44.2667,30,2.21,31.7,25.31
"HL2","99666",1999,5,19,-63.3167,44.2667,50,1.69,31.93,25.53
"HL2","99666",1999,5,19,-63.3167,44.2667,75,1.98,32.2,25.73
"HL2","99666",1999,5,19,-63.3167,44.2667,100,2.64,32.59,25.99
"HL2","99666",1999,5,19,-63.3167,44.2667,125,4.36,33.25,26.36
"HL2","99666",1999,5,19,-63.3167,44.2667,150,5.97,33.81,26.62
"HL2","99012",1999,6,6,-63.3158,44.266,0,NA,NA,NA
"HL2","99012",1999,6,6,-63.3158,44.266,10,11.25,30.45,23.19
"HL2","99012",1999,6,6,-63.3158,44.266,20,6.07,30.97,24.37
"HL2","99012",1999,6,6,-63.3158,44.266,30,4.1,31.42,24.93
"HL2","99012",1999,6,6,-63.3158,44.266,50,1.93,32.06,25.62
"HL2","99012",1999,6,6,-63.3158,44.266,75,2.48,32.37,25.83
"HL2","99012",1999,6,6,-63.3158,44.266,100,4.91,33.43,26.44
"HL2","99012",1999,6,6,-63.3158,44.266,125,5.98,33.8,26.61
"HL2","99012",1999,6,6,-63.3158,44.266,150,6.25,33.89,26.64
"HL2","99018",1999,6,10,-63.3178,44.2662,0,NA,NA,NA
"HL2","99018",1999,6,10,-63.3178,44.2662,10,10.27,30.56,23.44
"HL2","99018",1999,6,10,-63.3178,44.2662,20,3.19,30.82,24.53
"HL2","99018",1999,6,10,-63.3178,44.2662,30,1.36,31.08,24.87
"HL2","99018",1999,6,10,-63.3178,44.2662,50,0.98,31.55,25.28
"HL2","99018",1999,6,10,-63.3178,44.2662,75,2.22,32.4,25.87
"HL2","99018",1999,6,10,-63.3178,44.2662,100,2.83,32.73,26.09
"HL2","99018",1999,6,10,-63.3178,44.2662,125,4.34,33.15,26.28
"HL2","99018",1999,6,10,-63.3178,44.2662,150,6.7,34.01,26.68
"HL2","99666",1999,6,10,-63.3167,44.2663,0,10.98,30.35,23.16
"HL2","99666",1999,6,10,-63.3167,44.2663,10,4.77,30.95,24.49
"HL2","99666",1999,6,10,-63.3167,44.2663,20,1.82,31.01,24.79
"HL2","99666",1999,6,10,-63.3167,44.2663,30,1.38,31.09,24.88
"HL2","99666",1999,6,10,-63.3167,44.2663,50,0.95,31.51,25.24
"HL2","99666",1999,6,10,-63.3167,44.2663,75,1.5,32.11,25.69
"HL2","99666",1999,6,10,-63.3167,44.2663,100,2.83,32.64,26.01
"HL2","99666",1999,6,10,-63.3167,44.2663,125,4.63,33.2,26.29
"HL2","99018",1999,6,21,-63.3183,44.2662,0,NA,NA,NA
"HL2","99018",1999,6,21,-63.3183,44.2662,10,12.8,31.06,23.38
"HL2","99018",1999,6,21,-63.3183,44.2662,20,4.85,31.01,24.53
"HL2","99018",1999,6,21,-63.3183,44.2662,30,2.13,31.47,25.14
"HL2","99018",1999,6,21,-63.3183,44.2662,50,1.81,32.03,25.6
"HL2","99018",1999,6,21,-63.3183,44.2662,75,1.72,32.29,25.82
"HL2","99018",1999,6,21,-63.3183,44.2662,100,2.42,32.55,25.98
"HL2","99018",1999,6,21,-63.3183,44.2662,125,3.66,32.96,26.2
"HL2","99022",1999,6,27,-63.3197,44.265,0,16.2,30.76,22.45
"HL2","99022",1999,6,27,-63.3197,44.265,10,14.19,30.74,22.86
"HL2","99022",1999,6,27,-63.3197,44.265,20,7.93,31.25,24.34
"HL2","99022",1999,6,27,-63.3197,44.265,30,3.48,31.47,25.03
"HL2","99022",1999,6,27,-63.3197,44.265,50,3.69,32.12,25.53
"HL2","99022",1999,6,27,-63.3197,44.265,75,3.43,32.69,26
"HL2","99022",1999,6,27,-63.3197,44.265,100,4.95,33.29,26.33
"HL2","99022",1999,6,27,-63.3197,44.265,125,6.45,33.87,26.6
"HL2","99022",1999,6,27,-63.3197,44.265,150,6.97,34.11,26.72
