latitude,longitude
45.78,-60.25
46.625,-60.35
47.0333,-60.4583
47.0333,-60.6
46.45,-61
45.5833,-61.5667
45.9167,-64
46.1167,-63.7833
46.2333,-64.5833
47.3,-64.9333
47.3,-64.9333
47.8817,-64.59
47.67,-65.6
47.9667,-66.1667
48.1167,-66.1667
48.1167,-65
48.5,-64.2167
48.85,-64.2167
48.8333,-67.2167
49,-67.2167
48.3333,-69
48.1667,-69.3333
48.1667,-69.5833
48.6667,-69
49,-68.5
49.29,-67.34
49.5,-67.2167
49.5,-67.2167
50.1833,-66.6833
50.2833,-64
50.2333,-60.6333
51.4333,-57.9
51.3167,-56.9167
51.2833,-56.6833
48.4667,-59.2833
47.8033,-59.3583
47.5833,-59.0167
47.53,-59.15
47.3,-58.46
47.08,-58.12
46.9,-57.85
46.54,-57.55
46.49,-57.38
45,-56.02
44.51,-56.09
44.45,-57.06
43.91,-58.88
43.9,-58.97
43.3,-61
43.01,-61.82
42.96,-62.2
42.91,-62.77
42.79,-63.85
42.73,-64.23
42.42,-64.95
42.8,-65.18
42.82,-65.55
43.16,-65.6
43.4,-65.61
43.71,-64.97
44.55,-63.25
45.02,-61.73
