mission_descriptor,mission_name,start_date
18VA99666,99666,1/1/1999
18VA99666,BCD99666,1/1/1999
18VA99669,BCD99669,1/1/1999
18PZ98078,98078,2/2/1999
18CY98079,98079,3/23/1999
18HU99005,99003,4/7/1999
18HU99022,99022,6/27/1999
18NE99025,99025,7/5/1999
18NE99029,99029,7/19/1999
18HU99054,99054,11/6/1999
18VA00666,BCD2000666,1/1/2000
18VA00669,BCD2000669,1/1/2000
18NE00065,99065,2/14/2000
18NE00065,NED99065,2/14/2000
18NE00066,99066,2/28/2000
18NE00066,NED99066,2/28/2000
18PZ00002,PAR2000002,4/7/2000
18PZ00001,PAR2000001,4/27/2000
18HU00009,HUD2000009,5/18/2000
18PZ00075,PAR2000075,6/12/2000
18NE00026,NED2000026,7/4/2000
18NE00031,NED2000031,7/17/2000
18HU00050,HUD2000050,9/30/2000
18VA01666,BCD2001666,1/1/2001
18VA01669,BCD2001669,1/1/2001
18NE01003,NED2001003,2/12/2001
18NE01004,NED2001004,2/26/2001
18HU01009,HUD2001009,5/1/2001
18HU01022,HUD2001022,5/30/2001
18NE01032,NED2001032,7/3/2001
18NE01037,NED2001037,7/16/2001
18HU01061,HUD2001061,10/14/2001
18HU01064,"HUD2001072,IML2001064",11/28/2001
18VA02666,BCD2002666,1/1/2002
18VA02669,BCD2002669,1/1/2002
18NE02002,NED2002002,2/18/2002
18NE02003,NED2002003,2/18/2002
18NE02003,NED2002003,3/5/2002
2002916,SWA2002916,5/4/2002
18HU02032,HUD2002032,6/23/2002
18NE02037,NED2002037,7/2/2002
18NE02040,NED2002040,7/17/2002
18NE02051,NED2002051,9/16/2002
18HU02054,HUD2002054,9/20/2002
18HU02064,HUD2002064,10/17/2002
18HU02075,HUD2002075,11/29/2002
18VA03666,BCD2003666,1/1/2003
18VA03669,BCD2003669,1/1/2003
18NE03002,NED2003002,2/16/2003
18NE03003,NED2003003,3/3/2003
18HU03005,HUD2003005,4/12/2003
18HU03010,HUD2003010,4/23/2003
18MH03014,MAT2003014,5/5/2003
18HU03021,HUD2003021,5/21/2003
18NE03036,NED2003036,6/26/2003
18HU03038,HUD2003038,7/13/2003
18NE03042,NED2003042,7/21/2003
18HU03067,HUD2003067,10/19/2003
18HU03072,HUD2003072,11/1/2003
18HU03078,HUD2003078,12/8/2003
18VA04666,BCD2004666,1/1/2004
18VA04669,BCD2004669,1/1/2004
181C04004,NED2004004,2/5/2004
18HU04005,HUD2004005,4/5/2004
18HU04009,HUD2004009,4/26/2004
18HU04016,HUD2004016,5/15/2004
18HU04019,HUD2004019,5/31/2004
18TL04529,2004529,7/5/2004
18TL04530,2004530,7/17/2004
18HU04055,HUD2004055,10/19/2004
18VA05666,BCD2005666,1/1/2005
18VA05669,BCD2005669,1/1/2005
18TL05545,TEL2005545,2/18/2005
18TL05546,TEL2005546,3/5/2005
18NE05004,NED2005004,3/30/2005
18HU05016,HUD2005016,5/26/2005
18HU05021,HUD2005021,6/10/2005
18TL05605,TEL2005605 - SUMMER GROUNDFISH,7/1/2005
18TL05633,TEL2005633- SUMMER GROUNDFISH,7/12/2005
18HU05055,HUD2005055,10/17/2005
18VA06666,BCD2006666,1/1/2006
18VA06669,BCD2006669,1/1/2006
18TL06614,TEL2006614,2/17/2006
18TL06615,TEL2006615,3/4/2006
18HU06008,HUD2006008,4/17/2006
18NE06030,NED2006030,7/5/2006
18NE06036,NED2006036,7/19/2006
18HU06052,HUD2006052,10/5/2006
18MH06059,MAT2006059,11/9/2006
18VA07666,BCD2007666,1/1/2007
18VA07669,BCD2007669,1/1/2007
181C07685,TEM2007685,2/20/2007
181C07686,TEM2007686,3/5/2007
18HU07001,2007001,4/11/2007
18HU07001,HUD2007001,4/11/2007
18HU07011,HUD2007011,5/10/2007
18TL07745,TEL2007745,7/7/2007
18HU07033,HUD2007033,8/2/2007
18HU07045,HUD2007045,9/30/2007
18VA08666,BCD2008666,1/1/2008
18VA08669,BCD2008669,1/1/2008
181C08775,TEM2008775,3/4/2008
18TL08805,TEL2008805,3/19/2008
18HU08004,HUD2008004,4/10/2008
18HU08006,HUD2008006,5/8/2008
18HU08009,HUD2008009,5/20/2008
181C08830,TEM2008830,7/6/2008
18HU08037,HUD2008037,9/28/2008
18VA09666,BCD2009666,1/1/2009
18VA09669,BCD2009669,1/1/2009
18NE09841,NED2009841,2/11/2009
18NE09002,NED2009002,2/25/2009
18HU09005,HUD2009005,4/17/2009
18NE09027,NED2009027,7/1/2009
18HU09048,HUD2009048,9/26/2009
18VA10666,BCD2010666,1/1/2010
18VA10666,Station 2,1/1/2010
18VA10669,BCD2010669,1/1/2010
18VA10669,Prince5,1/1/2010
18NE10001,NED2010-001,2/23/2010
18NE10002,NED2010-002,3/11/2010
18HU10006,HUD2010006,4/9/2010
18HU10014,HUD2010014,5/13/2010
18NE10027,NED2010-027,7/2/2010
18HU10070,IML-2010-70 Monito sections PMZA/Iceforecast,11/6/2010
18HU10070,IML-2010-70 Transects PMZA/ice forecast,11/6/2010
18HU10049,AZMP fall cruise,12/16/2010
18HU10049,HUD2010049,12/16/2010
18VA11666,BCD2011666,1/1/2011
18VA11669,2011669,1/1/2011
18NE11002,NED2011002,2/8/2011
18HU11004,2011004,4/7/2011
18HU11004,HUD2011004,4/7/2011
18HU11009,HUD2011009,5/6/2011
18NE11025,NED2011025,7/5/2011
18HU11043,HUD2011043,9/23/2011
18VA12666,BCD2012666,1/1/2012
18VA12669,BCD2012669,1/1/2012
18NE12002,NED2012002,2/7/2012
18MF12001,MLB2012001,6/1/2012
18NE12022,NED2012022,7/4/2012
18HU12042,HUD2012042,9/24/2012
18VA13666,BCD2013666,1/1/2013
18VA13669,BCD2013669,1/1/2013
18NE13002,NED2013002,2/25/2013
18HU13004,HUD2013004,4/4/2013
18HU13008,HUD2013008,5/4/2013
18HU13013,HUD2013013,6/4/2013
18NE13022,NED2013022,6/27/2013
18HU13037,HUD2013037,9/21/2013
18VA14669,BCD2014669,1/1/2014
18VA14666,BCD2014666,1/10/2014
18NE14002,NED2014002,2/17/2014
18NE14101,NED2014101,3/6/2014
18HU14004,HUD2014004,4/4/2014
18HU14007,HUD2014007,5/2/2014
18NE14018,NED2014018,6/28/2014
18HU14030,HUD2014030,9/19/2014
18VA15666,BCD2015666,1/1/2015
18VA15669,BCD2015669,1/1/2015
18NE15002,NED2015002,3/5/2015
18HU15004,HUD2015004,4/17/2015
18HU15006,HUD2015006,5/4/2015
18NE15015,NED2015015,6/24/2015
18NE15017,NED2015017,6/29/2015
18HU15030,HUD2015030,9/20/2015
18VA16666,BCD2016666,1/1/2016
18VA16669,BCD2016669,2/2/2016
18TL16002,TEL2016002,2/22/2016
18TL16003,TEL2016003,3/10/2016
18HU16003,HUD2016003,4/9/2016
18HU16006,HUD2016006,4/30/2016
18NE16016,NED2016016,6/28/2016
18HU16027,HUD2016027,9/15/2016
18VA17666,BCD2017666,1/16/2017
18VA17669,BCD2017669,1/19/2017
18NE17002,NED2017002,3/4/2017
18TL17002,TEL2017002,3/21/2017
18OL17001,COR2017001,4/18/2017
18NE17020,NED2017020,6/28/2017
32EV17606,EN606,11/24/2017
18VA18669,BCD2018669,1/16/2018
18VA18666,BCD2018666,2/7/2018
18HU18004,HUD2018004,4/6/2018
18HU18008,HUD2018008,4/27/2018
18TL18023,TEL2018023,7/14/2018
18HU18030,HUD2018030,9/15/2018
18VA19666,BCD2019666,1/14/2019
18VA19669,BCD2019669,1/17/2019
18NE19102,NED2019102,2/12/2019
18NE19002,NED2019002,2/19/2019
18OL19001,COR2019001,4/7/2019
18DL19001,AMU2019001,6/1/2019
18NE19030,NED2019030,7/3/2019
