year,mission_name,mission_descriptor
1999,99012,18HU99012
1999,99018,
1999,99028,18PZ99028
1999,99669,18VA99669
2000,HUD2000066,18HU00066
2002,SENTINEL02,
2003,NED2003035,18NE03036
2003,NED2003035,18NE03035
2003,SENTINEL03,
2004,TEL2004529,18TL04529
2004,TEL2004530,18TL04530
2004,TEM2004004,181C04004
2005,TEL2005605,18TL05605
2005,TEL2005633,18TL05633
2005,NED2005027,18NE05027
2006,HUD2006019,18HU06019
2010,HUD2010070,18HU10070
2010,NED2010027,18NE10027
2010,NED2010001,18NE10001
2010,NED2010002,18NE10002
2011,BCD2011669,18VA11669
2013,HUD2013021,
2014,NED2014015,18NE14018
2014,NED2014015,18NE14015
2017,EN2017606,32EV17606
2017,NED2017102,18NE17102
2020,HUD2020063,18HU20063
2020,NED2020025,18NE20025
2020,TEL2020002,18TL20002
2020,TEL2020102,18TL20102
2020,BCD2020666,18VA20666
2020,BCD2020669,18VA20669
