year,month,day,no3_0_50,no3_50_150
1999,1,13,242.2565,898.79925
1999,2,10,202.631,1038.511
1999,2,16,212.04,883.424
1999,3,31,5.0618,858.72225
1999,4,9,11.266,554.753
1999,4,18,31.1275,791.6345
1999,5,5,91.11865,538.981
1999,5,19,33.61015,893.2845
1999,6,10,62.41015,861.83975
1999,6,27,2.16583333333333,1070.5008908046
1999,7,5,55.362,1244.871
1999,7,17,48.915,1083.798
1999,7,31,14.14675,1055.07384051724
1999,8,13,67.02135,1198.376
1999,8,27,47.81745,1264.04275
1999,9,10,41.655525,1230.28025
1999,9,29,91.9755277777778,817.724547222222
1999,10,23,41.338,864.79867
1999,11,5,140.1785,1257.0895
1999,11,12,91.704,1148.0365
1999,11,24,2.9206,449.030115
1999,12,10,16.531,440.0785
1999,12,23,127.02625,800.82075
2000,1,10,193.77325,909.48275
2000,1,31,255.3715,812.05625
2000,2,15,324.176,876.270264423077
2000,3,2,314.65325,1126.57025
2000,3,17,310.676,1010.58
2000,4,6,119.9205,863.55705
2000,4,12,73.2825,605.00875
2000,4,23,49.7675,476.19887
2000,5,2,50.86035,888.168
2000,5,8,18.3695,1179.7015
2000,5,20,220.14525,1363.92375
2000,6,8,341.4635,1416.8666
2000,6,14,45.0565,997.5415
2000,6,29,28.752,1053.39601
2000,7,15,30.41525,976.45278125
2000,7,29,28.904,1044.90270588235
2000,8,22,109.61825,1278.02825
2000,9,12,59.844,1125.2245
2000,9,30,67.111,1076.3525
2000,10,7,62.239,1270.94183
2000,10,16,272.5275,1407.799
2000,10,25,68.089,949.911
2000,11,22,161.752,1219.21375
2000,12,8,166.9275,1086.78825
2001,1,5,301.413,839.0755
2001,1,20,277.7835,634.336
2001,2,13,287.9075,942.35625
2001,2,27,309.15225,829.855386363636
2001,3,14,344.706,828.02425
2001,3,30,307.67125,779.6345
2001,4,10,143.184,419.19225
2001,5,1,61.2705,779.56
2001,5,6,107.5985,717.47074
2001,5,16,137.303,698.62
2001,5,25,72.202,588.57374
2001,5,30,21.12675,701.645
2001,5,30,21.4234971774194,717.574202822581
2001,6,15,76.07375,897.061035
2001,7,3,79.16675,921.835620370371
2001,7,16,122.19425,1040.81504807692
2001,7,30,55.89475,872.78325
2001,8,15,118.929,1134.74775
2001,8,30,56.11725,1036.4455
2001,9,18,36.7045,1020.44125
2001,10,12,144.42,874.75975
2001,10,23,121.24,1031.3115
2001,10,28,96.95075,1110.97379
2001,11,7,152.788,1066.99125
2001,11,23,81.57175,830.407
2001,12,8,117.383,881.00475
2002,1,11,187.1635,650.20075
2002,3,1,252.812,866.441379807692
2002,3,13,158.86275,908.1185
2002,3,18,250.31675,763.62275
2002,3,19,242.27525,737.426
2002,3,29,32.008,678.998
2002,4,12,101.29,992.91725
2002,4,18,56.6675,1110.4295
2002,5,4,27.2705,658.631
2002,5,22,60.286,947.7125
2002,6,5,80.9395,1157.576
2002,7,2,29.897,1123.1365
2002,7,16,78.6845,1130.80846153846
2002,7,30,23.57,1402.529
2002,8,13,48.94,1487.03
2002,8,28,22.96,1386.7615
2002,9,28,138.5875,1290.4200462963
2002,10,3,75.0075,1141.795
2002,10,18,50.0895,1053.63909
2002,10,22,51.46,1184.562
2002,10,31,55.015,1204.41659090909
2002,11,21,51.2195,784.2805
2002,12,12,195.219561468005,389.070088531995
2002,12,12,165.172610423453,690.419939576547
2003,1,15,265.468,956.9
2003,2,17,403.44875,1323.30425
2003,3,4,NA,732.306696078431
