# Filename: seaLevelHeight_NorthSydney_en.dat
# Creation date: 2020-12-09 19:04:46
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Station name: North Sydney
# Station ID: 612
# Longitude: -60.25
# Latitude: 46.216667
# Slope: 39.2 cm/century
time,elevation,elevationResidual
1970-01-19 14:00:00,0.9, 0.2314
1970-02-14 23:30:00,0.7, 0.0101
1970-03-16 11:30:00,0.7, 0.0599
1970-04-15 23:30:00,0.7, 0.0519
1970-05-16 11:30:00,0.6,-0.0695
1970-06-15 23:30:00,0.7,-0.0023
1970-07-16 11:30:00,0.7,-0.0030
1970-08-16 11:30:00,0.8, 0.0733
1970-09-15 23:30:00,0.8, 0.0785
1970-10-16 11:30:00,0.7, 0.0341
1970-11-15 23:30:00,0.8, 0.1008
1970-12-16 11:30:00,0.9, 0.2657
1971-01-16 11:30:00,0.9, 0.2116
1971-02-14 23:30:00,0.7, 0.0016
1971-03-16 11:30:00,0.8, 0.1265
1971-04-15 23:30:00,0.7, 0.0391
1971-05-16 11:30:00,0.7,-0.0002
1971-06-15 23:30:00,0.7, 0.0453
1971-07-16 11:30:00,0.7, 0.0007
1971-08-16 11:30:00,0.7, 0.0183
1971-09-15 23:30:00,0.7, 0.0508
1971-10-16 11:30:00,0.8, 0.0851
1971-11-15 23:30:00,0.8, 0.1584
1971-12-16 11:30:00,0.8, 0.1311
1972-01-16 11:30:00,0.8, 0.0726
1972-02-15 11:30:00,0.7, 0.0284
1972-03-16 11:30:00,0.7,-0.0342
1972-04-15 23:30:00,0.7, 0.0267
1972-05-16 11:30:00,0.7,-0.0172
1972-06-15 23:30:00,0.7,-0.0154
1972-07-16 11:30:00,0.7, 0.0108
1972-08-16 11:30:00,0.7, 0.0411
1972-09-15 23:30:00,0.8, 0.0660
1972-10-16 11:30:00,0.7, 0.0520
1972-11-15 23:30:00,0.8, 0.1061
1972-12-17 11:09:18,0.9, 0.1698
1973-01-16 11:30:00,0.9, 0.1791
1973-02-14 23:30:00,0.7, 0.0358
1973-03-16 11:30:00,0.7,-0.0231
1973-04-15 23:30:00,0.7, 0.0026
1973-05-16 11:30:00,0.6,-0.0758
1973-06-15 23:30:00,0.7,-0.0304
1973-07-16 11:30:00,0.7, 0.0080
