# Filename: seaLevelHeight_Yarmouth_en.dat
# Creation date: 2020-12-09 19:04:46
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Station name: Yarmouth
# Station ID: 365
# Longitude: -66.116667
# Latitude: 43.833333
# Slope: 37.3 cm/century
time,elevation,elevationResidual
1966-09-15 23:30:00,2, 0.04577
1966-10-16 11:30:00,2,-0.02464
1966-11-15 23:30:00,2, 0.00068
1966-12-16 11:30:00,3, 0.05888
1967-01-16 11:30:00,3, 0.08056
1967-02-14 23:30:00,2, 0.04510
1967-03-16 11:30:00,3, 0.06288
1967-04-15 23:30:00,3, 0.11009
1967-05-16 11:30:00,3, 0.12495
1967-06-15 23:30:00,3, 0.15125
1967-07-16 11:30:00,2,-0.03643
1967-08-16 11:30:00,2,-0.04975
1967-09-15 23:30:00,2,-0.01005
1967-10-16 11:30:00,2,-0.02489
1967-11-15 23:30:00,2, 0.03986
1967-12-16 11:30:00,3, 0.06664
1968-01-16 11:30:00,2,-0.01400
1968-02-15 11:30:00,3, 0.06210
1968-03-16 11:30:00,2, 0.02284
1968-04-15 23:30:00,2,-0.02359
1968-05-16 11:30:00,2, 0.00914
1968-07-16 14:00:00,2,-0.01625
1968-09-16 02:00:00,2, 0.01578
1968-10-16 11:30:00,2, 0.00059
1968-11-15 23:30:00,3, 0.07614
1968-12-16 11:30:00,3, 0.04979
1969-01-16 11:30:00,2, 0.02407
1969-02-14 23:30:00,3, 0.08229
1969-03-16 11:30:00,3, 0.07650
1969-04-15 23:30:00,2,-0.01696
1969-05-16 11:30:00,2,-0.00781
1969-06-15 23:30:00,2,-0.00326
1969-07-16 11:30:00,2, 0.00380
1969-08-16 11:30:00,3, 0.06502
1969-09-15 23:30:00,2, 0.00507
1969-10-16 11:30:00,3, 0.09577
1969-11-15 23:30:00,3, 0.11624
1969-12-16 11:30:00,3, 0.12700
1970-01-16 11:30:00,3, 0.12161
1970-02-14 23:30:00,2, 0.03418
1970-03-16 11:30:00,2, 0.03137
1970-04-15 23:30:00,3, 0.04349
1970-05-16 11:30:00,2,-0.04930
1970-06-15 23:30:00,2, 0.02436
1970-07-16 11:30:00,2,-0.01619
1970-08-16 11:30:00,2, 0.02735
1970-09-15 23:30:00,3, 0.07856
1970-10-16 11:30:00,3, 0.05977
1970-11-15 23:30:00,3, 0.11768
1970-12-16 11:30:00,3, 0.13924
1971-01-16 11:30:00,3, 0.14562
1971-02-14 23:30:00,3, 0.04639
1971-03-16 11:30:00,3, 0.10710
1971-04-15 23:30:00,3, 0.12844
1971-05-16 11:30:00,3, 0.05935
1971-06-15 23:30:00,3, 0.03914
1971-07-16 11:30:00,2,-0.01974
1971-08-16 11:30:00,2,-0.03065
1971-09-15 23:30:00,2,-0.04452
1971-10-16 11:30:00,3, 0.03566
1971-11-15 23:30:00,3, 0.09675
1971-12-16 11:30:00,3, 0.03434
1972-01-16 11:30:00,3, 0.05397
1972-02-15 11:30:00,3, 0.04387
1972-03-16 11:30:00,3, 0.05963
1972-04-15 23:30:00,3, 0.05414
1972-05-16 11:30:00,2, 0.02648
1972-06-15 23:30:00,2, 0.01913
1972-07-16 11:30:00,2, 0.00391
1972-08-16 11:30:00,2,-0.00626
1972-09-15 23:30:00,2, 0.00315
1972-10-16 11:30:00,3, 0.03286
1972-11-15 23:30:00,3, 0.11402
1972-12-16 11:30:00,3, 0.11789
1973-01-16 11:30:00,3, 0.12267
1973-02-14 23:30:00,3, 0.06674
1973-03-16 11:30:00,3, 0.06648
1973-04-15 23:30:00,3, 0.08020
1973-05-16 11:30:00,2, 0.00674
1973-06-15 23:30:00,2,-0.03516
1973-07-16 11:30:00,2,-0.01846
1973-08-16 11:30:00,2,-0.06002
1973-09-15 23:30:00,2, 0.00432
1973-10-16 11:30:00,2, 0.02106
1973-11-15 23:30:00,2,-0.00870
1973-12-16 11:30:00,2,-0.06935
1974-01-16 11:30:00,2,-0.01960
1974-02-14 23:30:00,3, 0.02917
1974-03-16 11:30:00,2,-0.00580
1974-04-15 23:30:00,2,-0.01120
1974-05-16 11:30:00,2,-0.01109
1974-06-15 23:30:00,2,-0.02614
1974-07-16 11:30:00,2, 0.00433
1974-08-16 11:30:00,2,-0.06626
1974-09-15 23:30:00,2,-0.04141
1974-10-16 11:30:00,2,-0.08726
1974-11-15 23:30:00,3, 0.03751
1974-12-16 11:30:00,3, 0.04585
1975-01-16 11:30:00,3, 0.03569
1975-02-14 23:30:00,3, 0.03267
1975-03-16 11:30:00,2, 0.01691
1975-04-15 23:30:00,3, 0.01880
1975-05-16 11:30:00,2,-0.03155
1975-06-15 23:30:00,2, 0.01361
1975-07-15 21:39:52,2,-0.03438
1975-08-16 11:30:00,2,-0.04082
1975-09-16 23:33:18,2,-0.16033
1975-10-16 17:46:42,3, 0.01710
1975-11-15 23:30:00,3, 0.11424
1975-12-16 02:00:00,3, 0.05687
1976-01-16 13:30:00,3, 0.05441
1976-02-13 16:42:46,3, 0.01601
1976-03-16 11:30:00,2,-0.03769
1976-04-18 00:23:34,2,-0.02669
1976-05-16 11:30:00,2,-0.04431
1976-06-15 23:30:00,2,-0.04846
1976-09-18 15:18:03,3, 0.02820
1976-10-19 17:36:17,2, 0.00148
1976-11-12 23:12:51,3, 0.03551
1977-01-18 09:30:00,2,-0.02937
1977-02-13 20:36:18,2,-0.06127
1977-03-19 18:45:49,3, 0.03731
1977-04-16 12:20:15,2,-0.04436
1977-05-16 11:30:00,2,-0.00532
1977-06-15 23:30:00,3, 0.03597
1977-07-16 11:30:00,2,-0.02850
1977-08-16 11:30:00,2,-0.04141
1977-09-16 07:36:12,3, 0.02451
1977-10-16 11:30:00,3, 0.03898
1977-11-15 23:30:00,3, 0.01573
1977-12-16 11:30:00,3, 0.08234
1978-01-16 11:30:00,3, 0.04433
1978-02-14 23:30:00,3, 0.11261
1978-03-16 11:30:00,2,-0.01142
1978-04-15 23:30:00,3, 0.03856
1978-05-16 11:30:00,2,-0.03162
1978-06-15 23:30:00,2,-0.03686
1978-07-16 11:30:00,2,-0.05236
1978-08-16 11:30:00,2,-0.04562
1978-09-15 23:30:00,2, 0.00425
1978-10-16 11:30:00,2,-0.01788
1978-11-15 23:30:00,2,-0.01246
1978-12-16 11:30:00,3, 0.04897
1979-01-16 11:30:00,3, 0.07473
1979-02-14 23:30:00,3, 0.04263
1979-03-16 11:30:00,2,-0.03717
1979-04-15 23:30:00,2,-0.02546
1979-05-17 00:04:33,2,-0.06877
1979-08-20 10:30:00,2,-0.04674
1979-09-16 03:45:45,2,-0.06196
1979-11-19 07:00:00,2,-0.04900
1979-12-16 11:30:00,2,-0.04678
1980-01-16 11:30:00,2,-0.01364
1980-02-15 11:30:00,3, 0.00452
1980-03-14 04:11:44,2,-0.08773
1980-04-12 14:18:17,2,-0.03563
1980-05-19 05:30:00,2,-0.01910
1980-06-15 23:30:00,2,-0.01121
1980-07-16 11:30:00,2,-0.01967
1980-08-20 06:55:42,2,-0.04731
1980-09-15 23:30:00,2,-0.04352
1980-12-17 23:44:31,2,-0.04118
1981-01-17 20:48:13,2,-0.06702
1981-02-14 23:30:00,2,-0.08183
1981-05-16 07:58:02,3, 0.00085
1981-06-15 23:30:00,3, 0.02611
1981-07-19 17:11:47,3, 0.00157
1981-08-16 11:30:00,2,-0.02428
1981-09-18 23:49:35,3, 0.07051
1981-10-19 03:17:07,2,-0.05190
1981-11-15 04:10:00,3, 0.01583
1982-01-22 19:30:00,2,-0.00922
1982-02-18 04:05:19,2,-0.01149
1982-03-19 08:43:49,2,-0.01577
1982-04-17 08:14:55,3, 0.07232
1982-05-16 11:30:00,3, 0.09566
1982-06-15 23:30:00,3, 0.07093
1982-07-16 09:06:56,2,-0.01264
1982-08-16 11:30:00,2,-0.05855
1982-09-12 06:12:29,2,-0.09239
1982-11-17 04:00:00,2,-0.07596
1982-12-17 01:06:48,3, 0.00820
1983-01-16 11:30:00,3,-0.00894
1983-02-14 23:30:00,3, 0.09282
1983-03-16 10:37:24,3, 0.11381
1983-04-15 23:30:00,3, 0.04957
1983-05-16 05:56:02,3, 0.00269
1983-06-15 23:30:00,3, 0.07807
1983-08-23 11:30:00,3, 0.03620
1983-09-19 04:07:01,3, 0.00858
1983-10-16 11:30:00,3, 0.04643
1983-11-16 07:09:13,3, 0.09312
1983-12-14 20:34:29,3, 0.02509
1984-01-21 11:20:55,2,-0.09383
1984-02-15 11:30:00,3, 0.02243
1984-04-16 02:00:00,3, 0.11276
1984-05-16 11:30:00,2,-0.03417
1984-06-15 23:30:00,3, 0.00146
1984-07-19 01:25:55,2,-0.02719
1984-08-16 11:30:00,2,-0.05930
