"station","cruiseNumber","year","month","day","longitude","latitude","pressure","temperature","salinity","sigmaTheta"
"HL2","99054",1999,10,23,-63.3263,44.262,0,11.74,30.12,22.84
"HL2","99054",1999,10,23,-63.3263,44.262,10,11.95,30.59,23.18
"HL2","99054",1999,10,23,-63.3263,44.262,20,12.53,30.88,23.3
"HL2","99054",1999,10,23,-63.3263,44.262,30,12.93,31.15,23.43
"HL2","99054",1999,10,23,-63.3263,44.262,40,13.26,31.45,23.59
"HL2","99054",1999,10,23,-63.3263,44.262,50,9.24,32,24.74
"HL2","99054",1999,10,23,-63.3263,44.262,60,5.21,32.37,25.57
"HL2","99054",1999,10,23,-63.3263,44.262,70,3.78,32.33,25.69
"HL2","99054",1999,10,23,-63.3263,44.262,80,3.51,32.4,25.77
"HL2","99054",1999,10,23,-63.3263,44.262,90,3.42,32.48,25.83
"HL2","99054",1999,10,23,-63.3263,44.262,100,3.71,32.62,25.92
"HL2","99054",1999,10,23,-63.3263,44.262,120,4.34,32.98,26.15
"HL2","99054",1999,10,23,-63.3263,44.262,140,4.65,33.11,26.22
"BBL1","99054",1999,10,24,-65.4787,43.2485,0,11.06,31.32,23.9
"BBL1","99054",1999,10,24,-65.4787,43.2485,10,11.01,31.77,24.26
"BBL1","99054",1999,10,24,-65.4787,43.2485,20,8.33,31.97,24.85
"BBL1","99054",1999,10,24,-65.4787,43.2485,30,7.4,32.06,25.05
"BBL1","99054",1999,10,24,-65.4787,43.2485,40,7.37,32.08,25.07
"BBL1","99054",1999,10,24,-65.4787,43.2485,50,7.34,32.09,25.08
"BBL1","99054",1999,10,24,-65.4787,43.2485,60,7.33,32.09,25.08
"BBL2","99054",1999,10,24,-65.4658,42.9922,0,10.96,31.57,24.11
"BBL2","99054",1999,10,24,-65.4658,42.9922,10,10.88,32.25,24.66
"BBL2","99054",1999,10,24,-65.4658,42.9922,20,10.9,32.26,24.66
"BBL2","99054",1999,10,24,-65.4658,42.9922,30,10.51,32.42,24.86
"BBL2","99054",1999,10,24,-65.4658,42.9922,40,9.83,32.78,25.25
"BBL2","99054",1999,10,24,-65.4658,42.9922,50,8.5,32.89,25.54
"BBL2","99054",1999,10,24,-65.4658,42.9922,60,7.93,33.18,25.86
"BBL2","99054",1999,10,24,-65.4658,42.9922,70,8.62,33.46,25.98
"BBL2","99054",1999,10,24,-65.4658,42.9922,80,8.66,33.49,25.99
"BBL2","99054",1999,10,24,-65.4658,42.9922,90,8.66,33.49,25.99
"BBL2","99054",1999,10,24,-65.4658,42.9922,100,8.66,33.49,25.99
"BBL3","99054",1999,10,24,-65.4715,42.7532,0,12.94,33.12,24.95
"BBL3","99054",1999,10,24,-65.4715,42.7532,10,12.92,33.26,25.06
"BBL3","99054",1999,10,24,-65.4715,42.7532,20,12.92,33.26,25.06
"BBL3","99054",1999,10,24,-65.4715,42.7532,30,12.93,33.26,25.06
"BBL3","99054",1999,10,24,-65.4715,42.7532,40,12.9,33.28,25.08
"BBL3","99054",1999,10,24,-65.4715,42.7532,50,12.43,33.32,25.2
"BBL3","99054",1999,10,24,-65.4715,42.7532,60,11.54,33.5,25.51
"BBL3","99054",1999,10,24,-65.4715,42.7532,70,9.97,33.53,25.81
"BBL3","99054",1999,10,24,-65.4715,42.7532,80,8.96,33.47,25.93
"BBL3","99054",1999,10,24,-65.4715,42.7532,90,8.73,33.46,25.95
"BBL4","99054",1999,10,24,-65.4847,42.455,0,NA,NA,NA
"BBL4","99054",1999,10,24,-65.4847,42.455,10,12.18,32.64,24.72
"BBL4","99054",1999,10,24,-65.4847,42.455,20,12.18,32.64,24.72
"BBL4","99054",1999,10,24,-65.4847,42.455,30,11.05,33.12,25.3
"BBL4","99054",1999,10,24,-65.4847,42.455,40,10.05,33.45,25.74
"BBL4","99054",1999,10,24,-65.4847,42.455,50,10.05,33.47,25.75
"BBL4","99054",1999,10,24,-65.4847,42.455,60,10.05,33.47,25.75
"BBL4","99054",1999,10,24,-65.4847,42.455,70,10.07,33.47,25.75
"BBL4","99054",1999,10,24,-65.4847,42.455,80,10.08,33.47,25.75
"BBL4","99054",1999,10,24,-65.4847,42.455,90,10.09,33.47,25.75
"BBL5","99054",1999,10,25,-65.492,42.1398,0,11.06,31.16,23.78
"BBL5","99054",1999,10,25,-65.492,42.1398,10,13.06,32.78,24.66
"BBL5","99054",1999,10,25,-65.492,42.1398,20,14.64,33.43,24.84
"BBL5","99054",1999,10,25,-65.492,42.1398,30,14.81,33.49,24.85
"BBL5","99054",1999,10,25,-65.492,42.1398,40,15,33.62,24.91
"BBL5","99054",1999,10,25,-65.492,42.1398,50,14.95,33.97,25.19
"BBL5","99054",1999,10,25,-65.492,42.1398,60,14.47,34.49,25.7
"BBL5","99054",1999,10,25,-65.492,42.1398,70,11.08,34.26,26.19
"BBL5","99054",1999,10,25,-65.492,42.1398,80,16.07,35.91,26.44
"BBL5","99054",1999,10,25,-65.492,42.1398,90,15.75,35.95,26.54
"BBL5","99054",1999,10,25,-65.492,42.1398,100,14.4,35.67,26.63
"BBL5","99054",1999,10,25,-65.492,42.1398,120,13.89,35.72,26.77
"BBL5","99054",1999,10,25,-65.492,42.1398,140,13.06,35.64,26.88
"BBL6","99054",1999,10,25,-65.4642,41.9975,0,13.46,33.47,25.11
