# Filename: bottomTemperatureAnomalyNafoZone_4V_en.dat
# Creation date: 2020-09-22 14:45:20
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Division name: 4V
# Division longitude: -59,-59,-59.6,-59.6,-60,-60.2,-60.2,-60.4,-60,-59.8,-59.4,-59,-58.8,-58.4,-58,-57.8,-57.6,-57.4,-57,-57,-57.2,-57.8,-58.6,-59,-59,-60,-60,-59.6
# Division latitude: 46,46.2,46.4,46.7,46.7,46.6,47,47.2,47.2,47,46.8,46.6,46.4,46.2,46,45.8,45.6,45.4,45.2,44.6,44.4,44.2,44,43.8,44.2,44.2,45.6,45.8
# Climatological mean: 3.46
# Climatological standard deviation: 0.61
# Climatological reference years: 1981 to 2010
year,anomaly
1970, 0.52
1971, 0.12
1972, 0.22
1973,-0.35
1974, 0.33
1975, 0.93
1976, 0.16
1977, 0.97
1978, 0.70
1979, 0.73
1980, 0.92
1981, 0.91
1982,-0.64
1983,-0.04
1984, 1.72
1985,-0.05
1986, 0.38
1987,-0.70
1988, 0.67
1989,-0.59
1990,-0.85
1991,-0.88
1992,-0.20
1993,-0.11
1994,-0.50
1995,-0.24
1996,-0.55
1997,-0.02
1998,-0.03
1999, 0.51
2000, 0.73
2001,-0.02
2002, 0.34
2003,-0.73
2004,-0.69
2005, 0.41
2006, 0.74
2007,-0.23
2008, 0.02
2009, 0.29
2010, 0.37
2011, 0.76
2012, 1.05
2013, 0.63
2014, 1.11
2015, 1.69
2016, 1.32
2017, 1.17
2018,   NA
2019, 0.86
