# Filename: bottomTemperatureAnomalyNafoZone_4Vs_en.dat
# Creation date: 2020-09-22 14:45:20
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Division name: 4Vs
# Division longitude: -59,-58.6,-57.8,-57.2,-57,-57,-57.4,-57.6,-60,-60,-59
# Division latitude: 43.8,44,44.2,44.4,44.6,45.2,45.4,45.6,45.6,44.2,44.2
# Climatological mean: 3.28
# Climatological standard deviation: 0.70
# Climatological reference years: 1981 to 2010
year,anomaly
1970, 0.57
1971, 0.15
1972, 0.35
1973,-0.29
1974, 0.31
1975, 1.35
1976, 0.40
1977, 1.12
1978, 0.68
1979, 0.73
1980, 0.93
1981, 0.99
1982,-0.78
1983, 0.09
1984, 2.00
1985,-0.06
1986, 0.36
1987,-0.91
1988, 0.78
1989,-0.79
1990,-1.01
1991,-0.95
1992,-0.14
1993,-0.14
1994,-0.61
1995,-0.22
1996,-0.45
1997,-0.13
1998, 0.11
1999, 0.51
2000, 0.93
2001,-0.13
2002, 0.41
2003,-0.89
2004,-0.78
2005, 0.45
2006, 0.76
2007,-0.28
2008, 0.02
2009, 0.42
2010, 0.43
2011, 0.80
2012, 1.24
2013, 0.77
2014, 1.09
2015, 1.94
2016, 1.47
2017, 1.33
2018,   NA
2019, 0.82
