# Filename: bottomTemperatureAnomalyNafoZone_4W_en.dat
# Creation date: 2020-09-22 14:45:20
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Division name: 4W
# Division longitude: -63.2,-62.6,-61.6,-61,-60.2,-59.6,-59.2,-59.2,-60.2,-60.2,-60.4,-61.2,-61.8,-62.6,-63.2,-63.4,-63.2
# Division latitude: 42.8,42.8,43,43.2,43.4,43.6,43.8,44,44,45.6,45.4,45,44.8,44.6,44.4,44.4,44.2
# Climatological mean: 6.38
# Climatological standard deviation: 0.76
# Climatological reference years: 1981 to 2010
year,anomaly
1970,-0.75
1971, 0.18
1972, 0.20
1973,-0.40
1974, 0.85
1975,-0.04
1976, 0.67
1977, 1.14
1978,-0.20
1979, 0.82
1980, 0.69
1981, 0.60
1982,-0.65
1983, 0.06
1984, 1.58
1985, 1.26
1986, 0.99
1987,-0.49
1988,-0.54
1989,-0.26
1990,-0.33
1991,-0.57
1992,-0.15
1993, 0.36
1994, 0.40
1995, 0.27
1996,-0.17
1997,-0.10
1998,-1.39
1999, 0.37
2000, 1.08
2001,-0.54
2002, 0.38
2003,-0.58
2004,-1.63
2005, 0.02
2006, 1.01
2007,-0.76
2008,-1.00
2009, 0.26
2010, 0.51
2011, 0.17
2012, 1.71
2013, 0.56
2014, 1.95
2015, 1.56
2016, 1.74
2017, 0.84
2018,   NA
2019, 0.89
