# Filename: bottomTemperatureAnomalyNafoZone_4X_en.dat
# Creation date: 2020-09-22 14:45:20
# Contact: Chantelle Layton <Chantelle.Layton@dfo-mpo.gc.ca>
# Description: 
# Division name: 4X
# Division longitude: -65.8,-65.2,-64.8,-64.4,-63.4,-63.4,-64,-64.2,-64.4,-64.8,-65.2,-65.4,-66.6,-66.6,-66.8,-66.4,-66.2,-66.4,-66.6,-67,-67.2,-67.2,-67.4,-67.4,-67.6,-67.4,-67.2,-67,-66
# Division latitude: 42.2,42.2,42.4,42.6,42.8,44.2,44.2,44,43.8,43.6,43.4,43,43,44,44.2,44.4,44.6,44.6,44.4,44.2,44,43.8,43.6,43.2,43,42.8,42.6,42.4,42.4
# Climatological mean: 7.23
# Climatological standard deviation: 0.73
# Climatological reference years: 1981 to 2010
year,anomaly
1970,-0.91
1971,-0.12
1972,-0.93
1973, 0.60
1974, 0.84
1975, 0.09
1976, 1.40
1977,-0.14
1978,-0.08
1979, 0.66
1980, 0.40
1981,-0.33
1982, 0.24
1983, 0.16
1984, 0.68
1985, 1.24
1986, 0.54
1987,-0.92
1988,-0.11
1989, 0.01
1990,-0.09
1991,-0.57
1992, 0.21
1993,-0.17
1994, 0.90
1995,-0.45
1996,-0.24
1997, 0.19
1998,-2.00
1999, 0.68
2000, 1.03
2001,-0.86
2002, 0.89
2003, 0.22
2004,-1.19
2005, 0.04
2006, 0.91
2007,-0.99
2008,-0.35
2009, 0.01
2010, 0.34
2011, 0.47
2012, 2.13
2013, 1.05
2014, 1.68
2015, 0.92
2016, 1.86
2017, 1.58
2018, 1.41
2019, 1.15
