"year","area","temperature_at_sea_floor"
1970,"4V",3.98
1971,"4V",3.58
1972,"4V",3.68
1973,"4V",3.11
1974,"4V",3.79
1975,"4V",4.39
1976,"4V",3.62
1977,"4V",4.43
1978,"4V",4.16
1979,"4V",4.19
1980,"4V",4.38
1981,"4V",4.37
1982,"4V",2.82
1983,"4V",3.42
1984,"4V",5.18
1985,"4V",3.41
1986,"4V",3.84
1987,"4V",2.76
1988,"4V",4.13
1989,"4V",2.87
1990,"4V",2.61
1991,"4V",2.58
1992,"4V",3.26
1993,"4V",3.35
1994,"4V",2.96
1995,"4V",3.22
1996,"4V",2.91
1997,"4V",3.44
1998,"4V",3.43
1999,"4V",3.97
2000,"4V",4.19
2001,"4V",3.44
2002,"4V",3.8
2003,"4V",2.73
2004,"4V",2.77
2005,"4V",3.87
2006,"4V",4.2
2007,"4V",3.23
2008,"4V",3.48
2009,"4V",3.75
2010,"4V",3.83
2011,"4V",4.22
2012,"4V",4.51
2013,"4V",4.09
2014,"4V",4.57
2015,"4V",5.15
2016,"4V",4.78
2017,"4V",4.63
2018,"4V",NA
2019,"4V",4.32
1970,"4Vn",4.349
1971,"4Vn",4.057
1972,"4Vn",3.814
1973,"4Vn",3.469
1974,"4Vn",4.374
1975,"4Vn",3.641
1976,"4Vn",3.4
1977,"4Vn",4.522
1978,"4Vn",4.742
1979,"4Vn",4.716
1980,"4Vn",4.864
1981,"4Vn",4.644
1982,"4Vn",3.786
1983,"4Vn",3.544
1984,"4Vn",4.863
1985,"4Vn",3.961
1986,"4Vn",4.445
1987,"4Vn",3.934
1988,"4Vn",4.351
1989,"4Vn",4.007
1990,"4Vn",3.617
1991,"4Vn",3.326
1992,"4Vn",3.644
1993,"4Vn",3.962
1994,"4Vn",3.813
1995,"4Vn",3.694
1996,"4Vn",3.128
1997,"4Vn",4.326
1998,"4Vn",3.548
1999,"4Vn",4.52
2000,"4Vn",4.131
2001,"4Vn",4.303
2002,"4Vn",4.106
2003,"4Vn",3.743
2004,"4Vn",3.566
2005,"4Vn",4.302
2006,"4Vn",4.67
2007,"4Vn",3.937
2008,"4Vn",4.034
2009,"4Vn",3.889
2010,"4Vn",4.205
2011,"4Vn",4.669
2012,"4Vn",4.473
2013,"4Vn",4.202
2014,"4Vn",5.159
2015,"4Vn",4.915
2016,"4Vn",4.864
2017,"4Vn",4.67
2018,"4Vn",NA
2019,"4Vn",4.988
1970,"4Vs",3.85
1971,"4Vs",3.43
1972,"4Vs",3.63
1973,"4Vs",2.99
1974,"4Vs",3.59
1975,"4Vs",4.63
1976,"4Vs",3.68
1977,"4Vs",4.4
1978,"4Vs",3.96
1979,"4Vs",4.01
1980,"4Vs",4.21
1981,"4Vs",4.27
1982,"4Vs",2.5
1983,"4Vs",3.37
1984,"4Vs",5.28
1985,"4Vs",3.22
1986,"4Vs",3.64
1987,"4Vs",2.37
1988,"4Vs",4.06
1989,"4Vs",2.49
1990,"4Vs",2.27
1991,"4Vs",2.33
1992,"4Vs",3.14
1993,"4Vs",3.14
1994,"4Vs",2.67
1995,"4Vs",3.06
1996,"4Vs",2.83
1997,"4Vs",3.15
1998,"4Vs",3.39
1999,"4Vs",3.79
2000,"4Vs",4.21
2001,"4Vs",3.15
2002,"4Vs",3.69
2003,"4Vs",2.39
2004,"4Vs",2.5
2005,"4Vs",3.73
2006,"4Vs",4.04
2007,"4Vs",3
2008,"4Vs",3.3
2009,"4Vs",3.7
2010,"4Vs",3.71
2011,"4Vs",4.08
2012,"4Vs",4.52
2013,"4Vs",4.05
2014,"4Vs",4.37
2015,"4Vs",5.22
2016,"4Vs",4.75
2017,"4Vs",4.61
2018,"4Vs",NA
