mission_descriptor,mission_name
18VA99666,BCD99666
18PZ98078,NW ATLANTIC GEORGES BANK STUDY
18CY98079,98079
18HU99005,99003
18HU99022,99022
18NE99025,99025
18NE99029,99029
18HU99054,99054
18VA00666,BCD2000666
18NE00065,99065
18NE00066,99066
18PZ00002,PAR2000002
18PZ00001,PAR2000001
18HU00009,HUD2000009
18PZ00075,PAR2000075
18NE00026,NED2000026
18NE00031,NED2000031
18HU00050,HUD2000050
18HU00068,HUD2000062
18VA01666,BCD2001666
18NE01003,NED2001003
18NE01004,NED2001004
18HU01009,HUD2001009
18HU01022,HUD2001022
18NE01032,NED2001032
18NE01037,NED2001037
18HU01061,HUD2001061
18HU01064,"HUD2001072,IML2001064"
18VA02666,BCD2002666
18NE02002,NED2002002
18NE02003,NED2002003
18HU02032,HUD2002032
18NE02037,NED2002037
18NE02040,NED2002040
18NE02051,NED2002051
18HU02054,HUD2002054
18HU02064,HUD2002064
18HU02075,HUD2002075
18VA03666,BCD2003666
18NE03002,NED2003002
18NE03003,NED2003003
18HU03005,HUD2003005
18MH03014,MAT2003014
18HU03010,HUD2003010
18HU03021,HUD2003021
18HU03038,HUD2003038
18NE03042,NED2003042
18HU03067,HUD2003067
18HU03072,HUD2003072
18HU03078,HUD2003078
18VA04666,BCD2004666
18HU04005,HUD2004005
18HU04009,HUD2004009
18HU04016,HUD2004016
18HU04019,HUD2004019
18TL04529,2004529
18TL04530,2004530
18HU04055,HUD2004055
18TL05545,TEL2005545
18TL05546,TEL2005546
18NE05004,NED2005004
18VA05666,BCD2005666
18HU05016,HUD2005016
18HU05021,HUD2005021
18TL05605,TEL2005605 - SUMMER GROUNDFISH
18TL05633,TEL2005633- SUMMER GROUNDFISH
18HU05055,HUD2005055
18VA06666,BCD2006666
18TL06614,TEL2006614
18TL06615,TEL2006615
18HU06008,HUD2006008
18NE06030,NED2006030
18NE06036,NED2006036
18HU06052,HUD2006052
18MH06059,MAT2006059
18VA07666,BCD2007666
181C07685,TEM2007685
181C07686,TEM2007686
18HU07001,HUD2007001
18HU07011,HUD2007011
18TL07745,TEL2007745
18HU07033,HUD2007033
18HU07045,HUD2007045
18VA08666,BCD2008666
181C08775,TEM2008775
18TL08805,TEL2008805
18HU08004,HUD2008004
18HU08006,HUD2008006
18HU08009,HUD2008009
181C08830,TEM2008830
18HU08037,HUD2008037
18VA09666,BCD2009666
18NE09841,NED2009841
18HU09005,HUD2009005
18NE09027,NED2009027
18HU09048,HUD2009048
18VA10666,Station 2
18NE10001,NED2010-001
18NE10002,NED2010-002
18HU10006,HUD2010006
18HU10014,HUD2010014
18NE10027,NED2010-027
18HU10070,IML-2010-070 Monito sections P
18HU10049,AZMP fall cruise
18VA11666,BCD2011666
18NE11002,NED2011002
18HU11004,HUD2011004
18HU11009,HUD2011009
18NE11025,NED2011025
18HU11043,HUD2011043
18VA12666,BCD2012666
18NE12002,NED2012002
18MF12001,MLB2012001
18NE12022,NED2012022
18HU12042,HUD2012042
18VA13666,BCD2013666
18NE13002,NED2013002
18HU13004,HUD2013004
18HU13008,HUD2013008
18HU13013,HUD2013013
18NE13022,NED2013022
18HU13037,HUD2013037
18VA14666,BCD2014666
18NE14002,NED2014002
18NE14101,NED2014101
18HU14004,HUD2014004
18HU14007,HUD2014007
18NE14018,NED2014018
18HU14030,HUD2014030
18VA15666,BCD2015666
18NE15002,NED2015002
18HU15004,HUD2015004
18HU15006,HUD2015006
18NE15015,NED2015015
18NE15017,NED2015017
18HU15030,HUD2015030
18VA16666,BCD2016666
18TL16002,TEL2016002
18TL16003,TEL2016003
18HU16003,HUD2016003
18HU16006,HUD2016006
18NE16016,NED2016016
18HU16027,HUD2016027
18VA17666,BCD2017666
18NE17002,NED2017002
18OL17001,COR2017001
18NE17020,NED2017020
32EV17606,EN606
18VA18666,BCD2018666
18HU18004,HUD2018004
18HU18008,HUD2018008
18TL18023,TEL2018023
18HU18030,HUD2018030
18VA19666,BCD2019666
18NE19102,NED2019102
18OL19001,COR2019001
18DL19001,AMU2019001
18NE19030,NED2019030
18VA20666,BCD2020666
18TL20002,TEL2020002
18TL20102,TEL2020102
18NE20025,NED2020025
18HU20063,HUD2020063
