mission_id,,bc_mission_descriptor,bc_mission_name,,odf_cruiseNumber,odf_cruise
18VA99666,,18VA99666,BCD99666,,99666,STATION 2 (SCOTIAN SHELF)
18PZ98078,,18PZ98078,NW ATLANTIC GEORGES BANK STUDY,,98078,GEORGES BANK SOUTHWEST SCOTIAN SHELF
18CY98079,,18CY98079,98079,,98079,GEORGES BANK SOUTHWEST SCOTIAN SHELF
18HU99005,,18HU99005,99003,,99003,SCOTIAN SHELF CABOT STRAIT
,,,,,99018,FORCHU BANQURERU GRAND BANKS
18HU99022,,18HU99022,99022,,99022,LABRADOR SEA SCOTIAN SHELF SLOPE
18NE99025,,18NE99025,99025,,99025,SOUTHWEST SCOTIAN SHELF BAY OF FUNDY
18NE99029,,18NE99029,99029,,99029,EASTERN SCOTIAN SHELF
18PZ99028,,99028,,,99028,BROWNS BANK GEORGES BANK
18HU99054,,18HU99054,99054,,99054,SCOTIAN SHELF
18VA00666,,18VA00666,BCD2000666,,BCD2000666,STATION 2 (SCOTIAN SHELF)
18NE00065,,18NE00065,99065,,99065,GEORGES BANK
18NE00066,,18NE00066,99066,,99066,4VW EASTERN SCOTIAN SHELF
18PZ00002,,18PZ00002,PAR2000002,,PAR2000002,SCOTIAN SHELF ~ CABOT STRAIT ~ BROWNS BANK ~ THE GULLEY
18PZ00001,,18PZ00001,PAR2000001,,PAR2000001,ST. PIERRE BANK GRAND BANKS LAURENTIAN FAN SCOTIAN SHELF
18HU00009,,18HU00009,HUD2000009,,HUD2000009,LABRADOR SEA ~ SCOTIAN SHELF
18PZ00075,,18PZ00075,PAR2000075,,PAR2000075,SCOTIAN SHELF SLOPE
18NE00026,,18NE00026,NED2000026,,NED2000026,SCOTIAN SHELF GULF OF MAINE BAY OF FUNDY
18NE00031,,18NE00031,NED2000031,,NED2000031,NAFO 4VW EASTERN SCOTIAN SHELF
18HU00050,,18HU00050,HUD2000050,,HUD2000050,SCOTIAN SHELF and CABOT STRAIT
18HU00050,,18HU00050,HUD2000050,,HUD2000050,SCOTIAN SHELF and SLOPE
18HU00066,,18HU00066,HUD2000066,,HUD2000066,EASTERN SCOTIAN SHELF and ST. PIERRE BANK
18HU00068,,18HU00068,HUD2000062,,IML2000062,GSL / ESL
18VA01666,,18VA01666,BCD2001666,,BCD2001666,STATION 2 (SCOTIAN SHELF)
18NE01003,,18NE01003,NED2001003,,NED2001003,NAFO FISHING ZONE 5ZE ~ GEORGES BANK
18NE01004,,18NE01004,NED2001004,,NED2001004,NAFO FISHING ZONE 4VW (EASTERN SCOTIAN SHELF)
18HU01009,,18HU01009,HUD2001009,,HUD2001009,SCOTIAN SHELF
18HU01022,,18HU01022,HUD2001022,,HUD2001022,LABRADOR SEA SCOTIAN SHELF
18NE01032,,18NE01032,NED2001032,,NED2001032,NAFO FISHING ZONE 4WX (GULF OF MAINE ~ BAY OF FUNDY)
18NE01037,,18NE01037,NED2001037,,NED2001037,NAFO FISHING ZONE 4VW (EASTERN SCOTIAN SHELF)
18HU01061,,18HU01061,HUD2001061,,HUD2001061,Scotia Shelf
18HU01061,,18HU01061,HUD2001061,,HUD2001061,Halifax Line
18HU01061,,18HU01061,HUD2001061,,HUD2001061,Halifax Line 2
18HU01064,,18HU01064,"HUD2001072,IML2001064",,HUD2001072,GSL ESL
18VA02666,,18VA02666,BCD2002666,,BCD2002666,STATION 2 (SCOTIAN SHELF)
18NE02002,,18NE02002,NED2002002,,NED2002002,5ZE GEORGES BANK
18NE02003,,18NE02003,NED2002003,,NED2002003,4VsW EASTERN SCOTIAN SHELF
18WA02916,,18WA02916,SWA2002916,,SWA2002916,HALIFAX LINE SCOTIAN SHELF
2002916,,2002916,SWA2002916,,SWA2002916,HALIFAX LINE SCOTIAN SHELF
18HU02032,,18HU02032,HUD2002032,,HUD2002032,LABRADOR SEA SCOTIAN SHELF
18NE02037,,18NE02037,NED2002037,,NED2002037,4VWX SCOTIAN SHELF GULF OF MAINE BAY OF FUNDY
18NE02040,,18NE02040,NED2002040,,NED2002040,4VWX SCOTIAN SHELF GULF OF MAINE BAY OF FUNDY
18NE02051,,18NE02051,NED2002051,,NED2002051,SOUTHERN GULF OF ST. LAWRENCE
18HU02054,,18HU02054,HUD2002054,,HUD2002054,LAURENTIAN CHANNEL SCOTIAN SHELF
18HU02064,,18HU02064,HUD2002064,,HUD2002064,SCOTIAN SHELF AND SLOPE ~ CABOT STRAIT
18HU02075,,18HU02075,HUD2002075,,HUD2002075,LABRADOR SEA
18VA03666,,18VA03666,BCD2003666,,BCD2003666,STATION 2 (SCOTIAN SHELF)
18NE03002,,18NE03002,NED2003002,,NED2003002,GEORGES BANK
18NE03003,,18NE03003,NED2003003,,NED2003003,4VsW SCOTIAN SHELF SLOPE
18HU03005,,18HU03005,HUD2003005,,HUD2003005,SCOTIAN SHELF AND SLOPE
18MH03014,,18MH03014,MAT2003014,,MAT2003014,
18HU03010,,18HU03010,HUD2003010,,HUD2003010,NORTH WEST ATLANTIC
18HU03021,,18HU03021,HUD2003021,,HUD2003021,EASTERN SCOTIAN SHELF CABOT STRAIT
,,,,,NED2003035,SCOTIAN SHELF
18HU03038,,18HU03038,HUD2003038,,HUD2003038,SCOTIAN SHELF SLOPE LAURENTIAN CHANNEL FLEMISH PASS LABRADOR SEA
18NE03036,,18NE03036,NED2003036,,NED2003036,STATION 2 (SCOTIAN SHELF)
18NE03042,,18NE03042,NED2003042,,NED2003042,4WX EASTERN SCOTIAN SHELF
18HU03067,,18HU03067,HUD2003067,,HUD2003067,SCOTIAN SHELF
18HU03072,,18HU03072,HUD2003072,,HUD2003072,SCOTIAN SHELF CABOT STRAIT LAURENTIAN CHANNEL
18HU03078,,18HU03078,HUD2003078,,HUD2003078,SCOTIAN SHELF GRAND BANKS LAURENTIAN FAN
18VA04666,,18VA04666,BCD2004666,,BCD2004666,STATION 2 (SCOTIAN SHELF)
181C04004,,181C04004,NED2004004,,TEM2004004,GEORGES BANK
18HU04005,,18HU04005,HUD2004005,,HUD2004005,SCOTIAN SHELF SLOPE
18HU04009,,18HU04009,HUD2004009,,HUD2004009,SCOTIAN SHELF
18HU04016,,18HU04016,HUD2004016,,HUD2004016,LABRADOR SEA SCOTIAN SHELF SLOPE
18HU04019,,18HU04019,HUD2004019,,HUD2004019,ORPHAN BASIN FLEMISH PASS LAURENTIAN FAN SCOTIAN SHELF
18TL04529,,18TL04529,2004529,,TEL2004529,4VWX BAY OF FUNDY COASTAL NOVA SCOTIA
18TL04530,,18TL04530,2004530,,TEL2004530,EASTERN SCOTIAN SHELF
18HU04055,,18HU04055,HUD2004055,,HUD2004055,SCOTIAN SHELF
