mission_descriptor	collector_event_id	collector_sample_id	collector_station_name	year	month	day	time	latitude	longitude	start_depth	end_depth
18VA99666	99666001	201201	HL2 - ZMP STATION2	1999	1	13	1453	44.265	-63.3175	1	1
18VA99666	99666001	201202	HL2 - ZMP STATION2	1999	1	13	1453	44.265	-63.3175	5	5
18VA99666	99666001	201203	HL2 - ZMP STATION2	1999	1	13	1453	44.265	-63.3175	10	10
18VA99666	99666001	201204	HL2 - ZMP STATION2	1999	1	13	1453	44.265	-63.3175	20	20
18VA99666	99666001	201205	HL2 - ZMP STATION2	1999	1	13	1453	44.265	-63.3175	30	30
18VA99666	99666001	201206	HL2 - ZMP STATION2	1999	1	13	1453	44.265	-63.3175	40	40
18VA99666	99666001	201207	HL2 - ZMP STATION2	1999	1	13	1453	44.265	-63.3175	50	50
18VA99666	99666001	201208	HL2 - ZMP STATION2	1999	1	13	1453	44.265	-63.3175	75	75
18VA99666	99666001	201209	HL2 - ZMP STATION2	1999	1	13	1453	44.265	-63.3175	100	100
18VA99666	99666001	201210	HL2 - ZMP STATION2	1999	1	13	1453	44.265	-63.3175	140	140
18PZ98078	98078003	201211	3	1999	2	10	2235	44.26633	-63.3175	1	1
18PZ98078	98078003	201212	3	1999	2	10	2235	44.26633	-63.3175	5	5
18PZ98078	98078003	201213	3	1999	2	10	2235	44.26633	-63.3175	10	10
18PZ98078	98078003	201214	3	1999	2	10	2235	44.26633	-63.3175	20	20
18PZ98078	98078003	201215	3	1999	2	10	2235	44.26633	-63.3175	30	30
18PZ98078	98078003	201216	3	1999	2	10	2235	44.26633	-63.3175	40	40
18PZ98078	98078003	201217	3	1999	2	10	2235	44.26633	-63.3175	50	50
18PZ98078	98078003	201218	3	1999	2	10	2235	44.26633	-63.3175	75	75
18PZ98078	98078003	201219	3	1999	2	10	2235	44.26633	-63.3175	100	100
18PZ98078	98078003	201220	3	1999	2	10	2235	44.26633	-63.3175	140	140
18PZ98078	98078057	212383	HL2	1999	2	16	1030	44.265	-63.3175	1	1
18PZ98078	98078057	212384	HL2	1999	2	16	1030	44.265	-63.3175	5	5
18PZ98078	98078057	212385	HL2	1999	2	16	1030	44.265	-63.3175	10	10
18PZ98078	98078057	212386	HL2	1999	2	16	1030	44.265	-63.3175	20	20
18PZ98078	98078057	212387	HL2	1999	2	16	1030	44.265	-63.3175	30	30
18PZ98078	98078057	212388	HL2	1999	2	16	1030	44.265	-63.3175	40	40
18PZ98078	98078057	212389	HL2	1999	2	16	1030	44.265	-63.3175	50	50
18PZ98078	98078057	212390	HL2	1999	2	16	1030	44.265	-63.3175	75	75
18PZ98078	98078057	212391	HL2	1999	2	16	1030	44.265	-63.3175	100	100
18PZ98078	98078057	212392	HL2	1999	2	16	1030	44.265	-63.3175	140	140
18CY98079	98079037	201221	2	1999	3	31	2030	44.2667	-63.3167	1	1
18CY98079	98079037	201222	2	1999	3	31	2030	44.2667	-63.3167	5	5
18CY98079	98079037	201223	2	1999	3	31	2030	44.2667	-63.3167	10	10
18CY98079	98079037	201224	2	1999	3	31	2030	44.2667	-63.3167	20	20
18CY98079	98079037	201225	2	1999	3	31	2030	44.2667	-63.3167	30	30
18CY98079	98079037	201226	2	1999	3	31	2030	44.2667	-63.3167	40	40
18CY98079	98079037	201227	2	1999	3	31	2030	44.2667	-63.3167	50	50
18CY98079	98079037	201228	2	1999	3	31	2030	44.2667	-63.3167	75	75
18CY98079	98079037	201229	2	1999	3	31	2030	44.2667	-63.3167	100	100
18CY98079	98079037	201230	2	1999	3	31	2030	44.2667	-63.3167	140	140
18HU99005	99003013	210019	HL2	1999	4	9	200	44.26716	-63.31633	104.36	104.36
18HU99005	99003013	210024	HL2	1999	4	9	204	44.26716	-63.31633	32.86	32.86
18HU99005	99003013	210027	HL2	1999	4	9	206	44.26716	-63.31633	13.55	13.55
18HU99005	99003013	210029	HL2	1999	4	9	208	44.26716	-63.31633	3.68	3.68
18HU99005	99003013	210030	HL2	1999	4	9	211	44.26	-63.31	1	1
18HU99005	99003013	210028	HL2	1999	4	9	211	44.26	-63.31	5	5
18HU99005	99003013	210026	HL2	1999	4	9	211	44.26	-63.31	20	20
18HU99005	99003013	210025	HL2	1999	4	9	211	44.26	-63.31	30	30
18HU99005	99003013	210023	HL2	1999	4	9	211	44.26	-63.31	40	40
18HU99005	99003013	210022	HL2	1999	4	9	211	44.26	-63.31	50	50
18HU99005	99003013	210021	HL2	1999	4	9	211	44.26	-63.31	75	75
18HU99005	99003013	210020	HL2	1999	4	9	211	44.26	-63.31	100	100
18HU99005	99003013	210018	HL2	1999	4	9	211	44.26	-63.31	140	140
18HU99005	99003216	210554	HL2	1999	4	18	511	44.27	-63.31	1	1
18HU99005	99003216	210553	HL2	1999	4	18	511	44.27	-63.31	5	5
18HU99005	99003216	210552	HL2	1999	4	18	511	44.27	-63.31	10	10
18HU99005	99003216	210551	HL2	1999	4	18	511	44.27	-63.31	20	20
18HU99005	99003216	210550	HL2	1999	4	18	511	44.27	-63.31	30	30
18HU99005	99003216	210549	HL2	1999	4	18	511	44.27	-63.31	40	40
18HU99005	99003216	210548	HL2	1999	4	18	511	44.27	-63.31	50	50
18HU99005	99003216	210547	HL2	1999	4	18	511	44.27	-63.31	75	75
18HU99005	99003216	210546	HL2	1999	4	18	511	44.27	-63.31	100	100
18HU99005	99003216	210545	HL2	1999	4	18	511	44.27	-63.31	125	125
18HU99005	99003216	210544	HL2	1999	4	18	511	44.27	-63.31	140	140
18VA99666	99666008	201231	HL2 - ZMP STATION2	1999	5	5	800	44.26667	-63.31667	1	1
18VA99666	99666008	201232	HL2 - ZMP STATION2	1999	5	5	800	44.26667	-63.31667	5	5
18VA99666	99666008	201233	HL2 - ZMP STATION2	1999	5	5	800	44.26667	-63.31667	10	10
18VA99666	99666008	201234	HL2 - ZMP STATION2	1999	5	5	800	44.26667	-63.31667	20	20
18VA99666	99666008	201235	HL2 - ZMP STATION2	1999	5	5	800	44.26667	-63.31667	30	30
18VA99666	99666008	201236	HL2 - ZMP STATION2	1999	5	5	800	44.26667	-63.31667	40	40
18VA99666	99666008	201237	HL2 - ZMP STATION2	1999	5	5	800	44.26667	-63.31667	50	50
18VA99666	99666008	201238	HL2 - ZMP STATION2	1999	5	5	800	44.26667	-63.31667	75	75
18VA99666	99666008	201239	HL2 - ZMP STATION2	1999	5	5	800	44.26667	-63.31667	100	100
18VA99666	99666008	201240	HL2 - ZMP STATION2	1999	5	5	800	44.26667	-63.31667	140	140
18VA99666	99666009	201241	HL2 - ZMP STATION2	1999	5	19	2000	44.266	-63.3175	1	1
18VA99666	99666009	201242	HL2 - ZMP STATION2	1999	5	19	2000	44.266	-63.3175	5	5
18VA99666	99666009	201243	HL2 - ZMP STATION2	1999	5	19	2000	44.266	-63.3175	10	10
18VA99666	99666009	201244	HL2 - ZMP STATION2	1999	5	19	2000	44.266	-63.3175	20	20
18VA99666	99666009	201245	HL2 - ZMP STATION2	1999	5	19	2000	44.266	-63.3175	30	30
18VA99666	99666009	201246	HL2 - ZMP STATION2	1999	5	19	2000	44.266	-63.3175	40	40
18VA99666	99666009	201247	HL2 - ZMP STATION2	1999	5	19	2000	44.266	-63.3175	50	50
18VA99666	99666009	201248	HL2 - ZMP STATION2	1999	5	19	2000	44.266	-63.3175	75	75
18VA99666	99666009	201249	HL2 - ZMP STATION2	1999	5	19	2000	44.266	-63.3175	100	100
18VA99666	99666009	201250	HL2 - ZMP STATION2	1999	5	19	2000	44.266	-63.3175	140	140
18VA99666	99666010	201251	HL2 - ZMP STATION2	1999	6	10	1430	44.266	-63.3175	1	1
18VA99666	99666010	201252	HL2 - ZMP STATION2	1999	6	10	1430	44.266	-63.3175	5	5
18VA99666	99666010	201253	HL2 - ZMP STATION2	1999	6	10	1430	44.266	-63.3175	10	10
18VA99666	99666010	201254	HL2 - ZMP STATION2	1999	6	10	1430	44.266	-63.3175	20	20
18VA99666	99666010	201255	HL2 - ZMP STATION2	1999	6	10	1430	44.266	-63.3175	30	30
