mission_descriptor	collector_event_id	collector_sample_id	collector_station_name	year	month	day	time	latitude	longitude	start_depth	end_depth
18VA99666	99666001	99666102001001	HL2	1999	1	13	1453	44.26	-63.31	150	0
18PZ98078	98078001	98078102003001	HL2	1999	2	10	2235	44.26	-63.31	140	0
18PZ98078	98078057	98078102004001	HL2	1999	2	16	1021	44.26	-63.31	151	0
18CY98079	98079037	98079102005001	HL2	1999	3	31	1955	44.26	-63.31	151	0
18HU99005	99003013	99003102003002	HL2	1999	4	8	211	44.26	-63.31	155	0
18HU99005	99003212	99003102037002	HL2	1999	4	17	48	44.26	-63.31	140	0
18HU99005	99003216	99003102038001	HL2	1999	4	17	510	44.26	-63.31	155	0
18VA99666	99666008	99666102008001	HL2	1999	5	5	800	44.26	-63.31	150	0
18VA99666	99666009	99666102009001	HL2	1999	5	19	2000	44.26	-63.31	155	0
18VA99666	99666010	99666102010001	HL2	1999	6	10	1430	44.26	-63.31	145	0
18HU99022	99022008	99022102002001	HL2	1999	6	27	2111	44.26	-63.31	151	0
18NE99025	99025001	99025102001001	SET1=HL2	1999	7	5	2202	44.26	-63.31	145	0
18NE99025	99025097	99025102097001	HL2	1999	7	17	805	44.26	-63.31	141	0
18NE99029	99029107	99029102107001	HL2 set 107	1999	7	31	2008	44.26	-63.31	151	0
18VA99666	99666011	99666102011001	HL2	1999	8	13	1318	44.26	-63.31	145	0
18VA99666	99666012	99666102012001	HL2	1999	8	27	1522	44.26	-63.31	154	0
18VA99666	99666013	99666102013001	HL2	1999	9	10	1300	44.26	-63.31	150	0
18HU99054	99054005	99054102001001	HL2	1999	10	24	6	44.26	-63.33	150	0
18HU99054	99054220	99054102050003	HL2	1999	11	5	840	44.27	-63.3	135	0
18HU99054	99054284	99054102055001	HL2	1999	11	12	2217	44.26	-63.32	148	0
18VA99666	99666014	99666102014001	HL2	1999	11	24	1548	44.26	-63.31	150	0
18VA99666	99666015	99666102015001	HL2	1999	12	10	1225	44.26	-63.31	150	0
18VA99666	99666016	99666102016001	HL2	1999	12	23	1408	44.26	-63.31	150	0
18VA00666	2000666001	2000666102001001	HL2	2000	1	10	1630	44.26	-63.31	158	0
18VA00666	2000666002	2000666102002001	HL2	2000	1	31	1630	44.26	-63.31	155	0
18NE00065	99065000	99065102000001	HL2	2000	2	15	1331	44.26	-63.33	153	0
18NE00066	99066001	99066102001001	HL2	2000	3	2	2010	44.26	-63.31	141	0
18NE00066	99066123	99066102123001	Stn2	2000	3	17	216	44.26	-63.31	130	0
18PZ00002	2000002005	2000002102001001	HL2	2000	4	6	15	44.26	-63.31	140	0
