record,sname,lname,type,depth,area
1,HL2,Halifax 2,station,149,
2,P5,Prince 5,station,95,
3,BBL1,Browns Bank 1,section,53,
4,BBL2,Browns Bank 2,section,122,
5,BBL3,Browns Bank 3,section,107,
6,BBL4,Browns Bank 4,section,101,
7,BBL5,Browns Bank 5,section,179,
8,BBL6,Browns Bank 6,section,983,
9,BBL7,Browns Bank 7,section,1904,
10,HL1,Halifax 1,section,84,
11,HL2,Halifax 2,section,149,
12,HL3,Halifax 3,section,264,
13,HL4,Halifax 4,section,84,
14,HL5,Halifax 5,section,107,
15,HL6,Halifax 6,section,1035,
16,HL7,Halifax 7,section,2777,
17,LL1,Louisbourg 1,section,85,
18,LL2,Louisbourg 2,section,140,
19,LL3,Louisbourg 3,section,144,
20,LL4,Louisbourg 4,section,102,
21,LL5,Louisbourg 5,section,202,
22,LL6,Louisbourg 6,section,66,
23,LL7,Louisbourg 7,section,728,
24,LL8,Louisbourg 8,section,2868,
25,LL9,Louisbourg 9,section,3672,
26,CSL1,Cabot Strait 1,section,80,
27,CSL2,Cabot Strait 2,section,186,
28,CSL3,Cabot Strait 3,section,340,
29,CSL4,Cabot Strait 4,section,468,
30,CSL5,Cabot Strait 5,section,477,
31,CSL6,Cabot Strait 6,section,260,
32,4VN,NAFO 4VN,nafo,,
33,4VS,NAFO 4VS,nafo,,
