record,sname,lname,type,depth,area
1,HL2,Halifax 2,station,149,
2,P5,Prince 5,station,95,
3,BBL1,Browns Bank 1,section station,53,
4,BBL2,Browns Bank 2,section station,122,
5,BBL3,Browns Bank 3,section station,107,
6,BBL4,Browns Bank 4,section station,101,
7,BBL5,Browns Bank 5,section station,179,
8,BBL6,Browns Bank 6,section station,983,
9,BBL7,Browns Bank 7,section station,1904,
10,HL1,Halifax 1,section station,84,
11,HL2,Halifax 2,section station,149,
12,HL3,Halifax 3,section station,264,
13,HL4,Halifax 4,section station,84,
14,HL5,Halifax 5,section station,107,
15,HL6,Halifax 6,section station,1035,
16,HL7,Halifax 7,section station,2777,
17,LL1,Louisbourg 1,section station,85,
18,LL2,Louisbourg 2,section station,140,
19,LL3,Louisbourg 3,section station,144,
20,LL4,Louisbourg 4,section station,102,
21,LL5,Louisbourg 5,section station,202,
22,LL6,Louisbourg 6,section station,66,
23,LL7,Louisbourg 7,section station,728,
24,LL8,Louisbourg 8,section station,2868,
25,LL9,Louisbourg 9,section station,3672,
26,CSL1,Cabot Strait 1,section station,80,
27,CSL2,Cabot Strait 2,section station,186,
28,CSL3,Cabot Strait 3,section station,340,
29,CSL4,Cabot Strait 4,section station,468,
30,CSL5,Cabot Strait 5,section station,477,
31,CSL6,Cabot Strait 6,section station,260,
32,4VN,NAFO 4VN,nafo,,
33,4VS,NAFO 4VS,nafo,,
34,test,Test station,test station,100,
35,HL,Halifax Section,section,,
