record,vertice,latitude,longitude
1,1,44.2675,-63.3175
2,1,44.9307,-66.8495
3,1,43.25,-65.48
4,1,43,-65.48
5,1,42.76,-65.483
6,1,42.45,-65.483
7,1,42.133,-65.5
8,1,42,-65.51
9,1,41.867,-65.35
10,1,44.4,-63.45
11,1,44.267,-63.317
12,1,43.883,-62.883
13,1,43.479,-62.451
14,1,43.183,-62.098
15,1,42.85,-61.733
16,1,42.533,-61.4
17,1,45.825,-59.85
18,1,45.658,-59.702
19,1,45.492,-59.517
20,1,45.158,-59.175
21,1,44.817,-58.85
22,1,44.475,-58.508
23,1,44.133,-58.175
24,1,43.783,-57.833
25,1,43.473,-57.527
26,1,46.958,-60.217
27,1,47.023,-60.117
28,1,47.1,-59.992
29,1,47.272,-59.783
30,1,47.433,-59.558
31,1,47.583,-59.342
32,1,45.8,-59.6
32,2,45.8,-57.8
32,3,46,-58
32,4,46.2,-58.4
32,5,46.4,-58.8
32,6,46.6,-59
32,7,46.8,-59.4
32,8,47,-59.8
32,9,47.2,-60
32,10,47.2,-60.4
32,11,47,-60.2
32,12,46.6,-60.2
32,13,46.7,-60
32,14,46.7,-59.6
32,15,46.4,-59.6
32,16,46.2,-59
32,17,46,-59
33,1,43.8,-59
33,2,44,-58.6
33,3,44.2,-57.8
33,4,44.4,-57.2
33,5,44.6,-57
33,6,45.2,-57
33,7,45.4,-57.4
33,8,45.6,-57.6
33,9,45.6,-60
33,10,44.2,-60
33,11,44.2,-59
